"tow.id","date","time","tow.number","species","sampler","crab.number","carapace.width","chela.height","abdomen.width","sex","shell.condition","missing.legs","comment","maturity"
"GP354F","2023-07-10","05:36:02",1,2521,"Murray McWilliams",1,41.09,NA,NA,2,"1","**********","",""
"GP342F","2023-07-10","13:26:51",2,2521,"Murray McWilliams",1,28.71,NA,12.67,2,"1","**********","Imm 12.67","immature"
"GP043F","2023-07-10","15:08:48",3,2521,"Murray McWilliams",1,38.27,NA,NA,1,"1","*********1","",""
"GP043F","2023-07-10","15:09:24",3,2521,"Murray McWilliams",2,36.71,NA,NA,1,"1","**********","",""
"GP043F","2023-07-10","15:09:51",3,2521,"Murray McWilliams",3,67.96,19.03,NA,1,"1","*****1*1*1","",""
"GP043F","2023-07-10","15:10:17",3,2521,"Murray McWilliams",4,33.76,NA,NA,2,"1","********11","",""
"GP043F","2023-07-10","15:10:48",3,2521,"Murray McWilliams",5,43.67,NA,NA,2,"1","**********","",""
"GP043F","2023-07-10","15:10:59",3,2521,"Murray McWilliams",6,46.24,NA,NA,2,"1","**********","",""
"GP043F","2023-07-10","15:11:09",3,2521,"Murray McWilliams",7,42.41,NA,NA,2,"1","**********","",""
"GP225F","2023-07-10","15:36:51",4,2521,"Murray McWilliams",1,17.63,NA,NA,1,"1","**********","",""
"GP225F","2023-07-10","15:37:12",4,2521,"Murray McWilliams",2,63.8,18.83,NA,1,"1","**********","",""
"GP225F","2023-07-10","15:37:30",4,2521,"Murray McWilliams",3,30.47,NA,NA,1,"1","*******1**","",""
"GP225F","2023-07-10","15:37:39",4,2521,"Murray McWilliams",4,68.41,21.33,NA,1,"1","**********","",""
"GP225F","2023-07-10","15:37:54",4,2521,"Murray McWilliams",5,39.01,NA,NA,2,"1","**********","",""
"GP225F","2023-07-10","15:38:34",4,2521,"Murray McWilliams",6,23.15,NA,9.44,2,"1","**********","imm 9.44","immature"
"GP225F","2023-07-10","15:38:59",4,2527,"Murray McWilliams",7,49.95,NA,NA,2,"1","****1*****","",""
"GP225F","2023-07-10","15:39:16",4,2527,"Murray McWilliams",8,53.42,NA,NA,2,"1","*1**1****1","",""
"GP323F","2023-07-10","16:34:20",5,2527,"Murray McWilliams",1,68.9,20.49,NA,1,"1","**********","",""
"GP323F","2023-07-10","16:36:29",5,2527,"Murray McWilliams",2,79.34,24.13,NA,1,"1","**********","",""
"GP323F","2023-07-10","16:36:44",5,2527,"Murray McWilliams",3,47.09,NA,NA,2,"1","*1********","",""
"GP323F","2023-07-10","16:37:12",5,2527,"Murray McWilliams",4,49.18,NA,NA,2,"1","*11*****1*","",""
"GP323F","2023-07-10","16:37:30",5,2527,"Murray McWilliams",5,46.63,NA,NA,2,"1","****1**1*1","",""
