"date","set.number","experiment","species","size.class","sex","ratio","length","length.unit","comment","cruise"
"2011-07-21",2,1,42,1,2,1,13,"cm","","O129"
"2011-07-21",2,1,42,1,2,1,16,"cm","","O129"
"2011-07-21",2,1,42,1,2,1,18,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
"2011-07-21",2,1,43,1,1,1,13,"cm","","O129"
