"date","start.time","cruise","station","stratum","block.number","valid","experiment","distance","duration","longitude.start","longitude.end","latitude.start","latitude.end","card.type","set.number","gear","auxiliary","speed","depth.start","depth.end","wind.direction","wind.force","tide","surface.temperature","bottom.temperature","warp.port","warp.starboard","comment"
"2012-07-17","07:45:00","O026","251",402,3,1,1,0.61,15,6425.89,6425.76,4622.13,4621.53,5,2,16,0,2.5,14,14,6,3,1,NA,18.1,NA,NA,"mud station:251"
"2012-07-17","08:59:00","O026","268",402,3,1,1,0.63,15,6416.99,6416.44,4620.03,4619.52,5,3,16,0,2.5,16,15,6,3,1,NA,18.1,NA,NA,"stn 268 shale bottom"
"2012-07-17","10:04:00","O026","271",402,3,1,1,0.58,15,6408.73,6408.26,4620,4619.52,5,4,16,0,2.5,14,16,8,3,NA,NA,18.1,NA,NA,"sand station:271"
"2012-07-17","11:03:00","O026","273",402,3,1,1,0.62,15,6403.37,6403.61,4619.94,4619.34,5,5,16,0,2.5,13,14,7,3,1,NA,19.2,NA,NA,"stn 273; unknown bottom"
"2012-07-17","12:48:00","O026","260",NA,3,1,1,0.63,15,6400.59,6400.86,4621.79,4621.19,5,6,16,0,2.5,7,7,8,3,3,NA,20.9,NA,NA,"unknown bottom/station:273; not towed into current"
"2012-07-17","13:48:00","O026","289",402,3,1,1,0.63,15,6358.02,6358.34,4617.45,4616.85,5,7,16,0,2.5,14,18,7,3,3,NA,18.5,NA,NA,"stn 289; bottom:gravel not towed into current"
"2012-07-17","14:34:00","O026","302",402,3,1,1,0.62,15,6403.26,6404.15,4616.21,4616.27,5,8,16,0,2.5,16,15,8,2,1,NA,18.5,NA,NA,"unknown bottom/station:302"
"2012-07-18","07:53:00","O026","232",NA,3,1,1,0.59,15,6428.36,6427.91,4625.31,4624.82,5,9,16,0,2.5,10,11,8,6,1,NA,19.2,NA,NA,"sand/station: 232"
"2012-07-18","10:01:00","O026","199",NA,1,1,1,0.6,15,6439.83,6438.99,4633.85,4633.71,5,10,16,0,2.5,12,13,8,4,2,NA,15.6,NA,NA,"stn 199 bttm:sand and shale;  not towed into current"
"2012-07-18","12:49:00","O026","142",NA,1,1,1,0.61,15,6443.41,6443.64,4645.76,4645.17,5,11,16,0,2.5,19,17,8,2,1,NA,9.8,NA,NA,"sand/station: 142"
