name_en,name_fr,stacac,nafo,rv
Atlantic cod,Morue Atlantique,100,101,10
Greenland/Rock cod,Morue de roche,101,NA,118
Arctic cod,Saida,102,NA,110
Ling cod,Julienne,103,NA,NA
Haddock,Aiglefin,110,102,11
Redfish,Sebaste,120,103,23
Cunner,Tanche-Tautogue,121,NA,122
Atlantic halibut,Fl‚tan Atltantique,130,120,30
American plaice,Plie canadienne,140,112,40
Yellowtail flounder,Limande … queue jaune,141,116,42
Witch flounder/Greysole,Plie grise,142,114,41
Winter flounder,Plie rouge,143,122,43
Greenland halibut/Turbot,Fletan du Groenland,144,118,31
Windowpane,Turbot de sable,145,NA,143
Flounder unspecified,Plies non-identifi‚es,149,129,49
Skate,Raie,160,479,211
Dogfish,Aiguillat,161,459,274
Black dogfish,Aiguillat noir,162,NA,221
Butterfish/Dollarfish,Stromate,166,NA,701
Pollock,Goberge,170,106,16
White hake,Merluche blanche,171,186,12
Silver hake,Merluche argent‚e,172,104,14
Cusk,Brosme,173,144,15
Wolffish,Loup de mer,174,188,59
Tomcod,Poulamon,175,138,17
Lumpfish,Lompe,176,154,501
Monkfish,Baudroie,177,NA,400
Sandlance,Lan‡on d'Am‚rique,178,172,610
Roundnose grenadier,Grenadier de roche,179,168,414
Red hake,Merluche rouge,180,105,13
Sculpin,Chaboisseau,181,NA,309
Roughhead grenadier,Grenadier berglax,182,NA,411
Oceanpout,Loquette d'Am‚rique,183,NA,640
Chimaera,Chim_re,184,NA,242
Wrymouth,Terrassier,185,NA,630
Snakeblenny,Lomp‚nie serpent,186,NA,NA
Northern catfish,Barbue de rivi_re,187,NA,NA
Blue hake,Hoki,188,NA,NA
Tilefish,TILE,190,NA,NA
Striped wolffish,Loup Atlantique,192,NA,50
Hagfish,Myxine,197,NA,241
Scalefish,Poisson ecailles,198,NA,NA
Groundfish Unsp.,Poisson de fond non-specifie,199,199,NA
Atlantic herring,Hareng Atlantique,200,202,60
Herring / Mackerel,Hareng / Maquereau,202,NA,NA
Menhaden,Alose tyran,210,NA,164
Anchovy,Anchois,215,NA,NA
Atlantic Mackerel,Maquereau,250,204,70
Swordfish,Espadon,251,264,72
Albacore tuna,Germon Atlantique,252,272,190
Bigeye tuna,Thon ventru,253,278,192
Bluefin tuna,Thon rouge,254,280,71
Skipjack tuna,Bonite … ventre ray‚,255,282,172
Yellowfin tuna,Albacore … nageoires jaunes,256,284,191
Tuna restricted,Thon restreint,257,NA,NA
Tuna unspecified,Thon non-sp‚cifi‚,259,289,NA
Billfish,Balaou,260,NA,NA
Blue marlin,Makaire bleu,261,NA,33
White marlin,Makaire blanc,262,NA,32
Mahi mahi (dolphin),MAHI -MAHI (CORYPH?NE),263,NA,NA
Escolar,,270,NA,NA
Pelagic unspecified,Poisson p‚lagique non-sp‚cifi‚,299,299,NA
Alewife/Gaspareau,Gaspareau,350,302,62
Argentine,Grande argentine,351,312,160
Eel,Anguille,352,308,440
Salmon,Saumon,354,318,65
Atlantic shad,Alose savoureuse,355,310,61
Atlantic smelt,êperlan Atlantique,357,NA,63
Striped bass,Bar ray‚,358,420,24
Sturgeon,Esturgeon,359,422,272
Capelin,Capelan,360,340,64
Arctic char,Omble chevalier,361,342,76
Trout,Truite,363,432,273
Silverside,Capucette,364,320,770
White perch,Baret,365,NA,120
Pickerel,Brochet,366,NA,NA
SUCKERS (MULLET ETC),Meuniers,367,370,NA
Whitefish,Cisco,368,NA,67
SHARK PORBEAGLE/MACKEREL,MARA?CHE/MAQUEREAU,369,NA,230
SHARK GREENLAND,REQUIN DU GROENLAND,370,NA,237
