name,product,company,description
minilog,,Vemco,Measures ambient water temperature and depth.
star.oddi,DST-TD;DST-Tilt,Star Oddi,TD probe measures ambient water temperature and depth. Tilt probe measures tilt angles and acceleration in addition to temperature and depth.
scanmar,,Scanmar International Inc.,Acoustic trawl monitoring system.
netmind,,Northstar Technical Inc.,Acoustic trawl monitoring system.
esonar,Trawl vue Monitoring System,eSonar,Acoustic trawl monitoring system.
notus,Notus Trawlmaster,NOTUS Electronics Ltd.,Acoustic trawl monitoring system.
flowmeter,,,Doppler acoustic flowmeter.
colorimeter,CR-400 Chroma Meter,Konica Minolta ,Measures colour of a sample.
gps,,,Geolocation device.
winch,,,Trawl Winch speed and warp length measurement.
