date,tow.id,probe,location,position,event,time,
2022-07-13,GP354F,Star Oddi DST-TD,footrope,center,touchdown,,
2022-07-13,GP354F,Star Oddi DST-TD,footrope,center,liftoff,,
2022-07-13,GP351F,Star Oddi DST-TD,footrope,center,touchdown,16:30:21,
2022-07-13,GP351F,Star Oddi DST-TD,footrope,center,liftoff,16:35:35,
2022-07-13,GP353F,Star Oddi DST-TD,footrope,center,touchdown,17:44:16,
2022-07-13,GP353F,Star Oddi DST-TD,footrope,center,liftoff,17:54:58,
2022-07-13,GP352F,Star Oddi DST-TD,footrope,center,touchdown,,
2022-07-13,GP352F,Star Oddi DST-TD,footrope,center,liftoff,,
2022-07-14,GP350F,Star Oddi DST-TD,footrope,center,touchdown,05:11:58,
2022-07-14,GP350F,Star Oddi DST-TD,footrope,center,liftoff,05:17:51,
2022-07-14,GP346F,Star Oddi DST-TD,footrope,center,touchdown,06:40:46,
2022-07-14,GP346F,Star Oddi DST-TD,footrope,center,liftoff,06:47:08,
2022-07-14,GP043F,Star Oddi DST-TD,footrope,center,touchdown,08:02:30,
2022-07-14,GP043F,Star Oddi DST-TD,footrope,center,liftoff,08:07:54,
2022-07-14,GP342F,Star Oddi DST-TD,footrope,center,touchdown,09:18:59,
2022-07-14,GP342F,Star Oddi DST-TD,footrope,center,liftoff,09:24:11,
2022-07-14,GP225F,Star Oddi DST-TD,footrope,center,touchdown,10:48:25,
2022-07-14,GP225F,Star Oddi DST-TD,footrope,center,liftoff,10:53:47,
2022-07-14,GP323F,Star Oddi DST-TD,footrope,center,touchdown,11:35:11,
2022-07-14,GP323F,Star Oddi DST-TD,footrope,center,liftoff,11:40:31,
2022-07-14,GP325F,Star Oddi DST-TD,footrope,center,touchdown,12:56:18,
2022-07-14,GP325F,Star Oddi DST-TD,footrope,center,liftoff,13:01:36,
2022-07-14,GP335F,Star Oddi DST-TD,footrope,center,touchdown,14:12:57,
2022-07-14,GP335F,Star Oddi DST-TD,footrope,center,liftoff,14:18:01,
2022-07-14,GP344F,Star Oddi DST-TD,footrope,center,touchdown,16:07:02,
2022-07-14,GP344F,Star Oddi DST-TD,footrope,center,liftoff,16:12:22,
2022-07-14,GP341F,Star Oddi DST-TD,footrope,center,touchdown,17:22:49,
2022-07-14,GP341F,Star Oddi DST-TD,footrope,center,liftoff,17:28:14,
2022-07-14,GP331F,Star Oddi DST-TD,footrope,center,touchdown,18:50:50,
2022-07-14,GP331F,Star Oddi DST-TD,footrope,center,liftoff,18:55:41,
2022-07-14,GP324F,Star Oddi DST-TD,footrope,center,touchdown,19:52:10,
2022-07-14,GP324F,Star Oddi DST-TD,footrope,center,liftoff,19:57:14,
2022-07-15,GP320F,Star Oddi DST-TD,footrope,center,touchdown,05:21:35,
2022-07-15,GP320F,Star Oddi DST-TD,footrope,center,liftoff,05:28:05,
2022-07-15,GP312F,Star Oddi DST-TD,footrope,center,touchdown,06:54:58,
2022-07-15,GP312F,Star Oddi DST-TD,footrope,center,liftoff,07:01:49,
2022-07-15,GP313F,Star Oddi DST-TD,footrope,center,touchdown,08:35:27,
2022-07-15,GP313F,Star Oddi DST-TD,footrope,center,liftoff,08:39:36,
2022-07-15,GP326FR2,Star Oddi DST-TD,footrope,center,touchdown,12:00:13,
2022-07-15,GP326FR2,Star Oddi DST-TD,footrope,center,liftoff,12:05:18,
2022-07-15,GP315FR2,Star Oddi DST-TD,footrope,center,touchdown,14:36:31,
2022-07-15,GP315FR2,Star Oddi DST-TD,footrope,center,liftoff,14:41:50,
2022-07-15,GP303F,Star Oddi DST-TD,footrope,center,touchdown,18:24:14,
2022-07-15,GP303F,Star Oddi DST-TD,footrope,center,liftoff,18:29:44,
2022-07-15,GP287F,Star Oddi DST-TD,footrope,center,touchdown,19:30:40,
2022-07-15,GP287F,Star Oddi DST-TD,footrope,center,liftoff,19:35:38,
2022-07-15,GP290F,Star Oddi DST-TD,footrope,center,touchdown,20:21:16,
2022-07-15,GP290F,Star Oddi DST-TD,footrope,center,liftoff,20:26:39,
2022-07-16,GP295F,Star Oddi DST-TD,footrope,center,touchdown,05:12:00,
2022-07-16,GP295F,Star Oddi DST-TD,footrope,center,liftoff,05:17:26,
2022-07-16,GP316F,Star Oddi DST-TD,footrope,center,touchdown,07:37:08,
2022-07-16,GP316F,Star Oddi DST-TD,footrope,center,liftoff,07:43:58,
2022-07-16,GP293F,Star Oddi DST-TD,footrope,center,touchdown,10:09:50,
2022-07-16,GP293F,Star Oddi DST-TD,footrope,center,liftoff,10:17:20,
2022-07-16,GP282F,Star Oddi DST-TD,footrope,center,touchdown,12:08:45,
2022-07-16,GP282F,Star Oddi DST-TD,footrope,center,liftoff,12:17:40,
2022-07-16,GP273F,Star Oddi DST-TD,footrope,center,touchdown,14:14:33,
2022-07-16,GP273F,Star Oddi DST-TD,footrope,center,liftoff,14:19:11,
2022-07-16,GP260F,Star Oddi DST-TD,footrope,center,touchdown,16:00:41,
2022-07-16,GP260F,Star Oddi DST-TD,footrope,center,liftoff,16:07:47,
2022-07-16,GP269F,Star Oddi DST-TD,footrope,center,touchdown,17:23:32,
2022-07-16,GP269F,Star Oddi DST-TD,footrope,center,liftoff,17:30:31,
2022-07-16,GP250F,Star Oddi DST-TD,footrope,center,touchdown,19:21:05,
2022-07-16,GP250F,Star Oddi DST-TD,footrope,center,liftoff,19:27:02,
2022-07-17,GP235F,Star Oddi DST-TD,footrope,center,touchdown,05:26:54,
2022-07-17,GP235F,Star Oddi DST-TD,footrope,center,liftoff,05:32:49,
2022-07-17,GP237F,Star Oddi DST-TD,footrope,center,touchdown,06:56:54,
2022-07-17,GP237F,Star Oddi DST-TD,footrope,center,liftoff,07:05:18,
2022-07-17,GP334F,Star Oddi DST-TD,footrope,center,touchdown,09:02:19,
2022-07-17,GP334F,Star Oddi DST-TD,footrope,center,liftoff,09:09:15,
2022-07-17,GP208F,Star Oddi DST-TD,footrope,center,touchdown,11:22:36,
2022-07-17,GP208F,Star Oddi DST-TD,footrope,center,liftoff,11:27:46,
2022-07-17,GP181F,Star Oddi DST-TD,footrope,center,touchdown,13:02:31,
2022-07-17,GP181F,Star Oddi DST-TD,footrope,center,liftoff,13:07:35,
2022-07-17,GP187F,Star Oddi DST-TD,footrope,center,touchdown,14:36:47,
2022-07-17,GP187F,Star Oddi DST-TD,footrope,center,liftoff,14:42:59,
2022-07-17,GP166F,Star Oddi DST-TD,footrope,center,touchdown,,
2022-07-17,GP166F,Star Oddi DST-TD,footrope,center,liftoff,,
2022-07-17,GP156F,Star Oddi DST-TD,footrope,center,touchdown,18:15:24,
2022-07-17,GP156F,Star Oddi DST-TD,footrope,center,liftoff,18:22:34,
2022-07-17,GP134F,Star Oddi DST-TD,footrope,center,touchdown,19:46:44,
2022-07-17,GP134F,Star Oddi DST-TD,footrope,center,liftoff,19:52:14,
2022-07-17,GP203F,Star Oddi DST-TD,footrope,center,touchdown,20:57:26,
2022-07-17,GP203F,Star Oddi DST-TD,footrope,center,liftoff,21:03:17,
2022-07-18,GP121F,Star Oddi DST-TD,footrope,center,touchdown,05:24:43,
2022-07-18,GP121F,Star Oddi DST-TD,footrope,center,liftoff,05:30:25,
2022-07-18,GP142F,Star Oddi DST-TD,footrope,center,touchdown,06:46:50,
2022-07-18,GP142F,Star Oddi DST-TD,footrope,center,liftoff,06:53:52,
2022-07-18,GP122F,Star Oddi DST-TD,footrope,center,touchdown,08:04:50,
2022-07-18,GP122F,Star Oddi DST-TD,footrope,center,liftoff,08:10:05,
