"date","zone","tow.number","loran.x.start","loran.y.start","depth","sampler"
"1987-07-30","12",1,14880,30287,40,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-07-30","12",2,14840.5,30242,NA,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-07-30","12",3,14844.7,30262.3,NA,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-07-30","12",4,14871.2,30300.6,NA,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-07-30","12",6,14844.2,30229.4,NA,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-07-30","12",7,14848.5,30245.6,38,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-07-31","12",2,14867.8,30263.3,40,"PIERRE DEGRACE"
"1987-07-31","12",3,14857.4,30250.2,38,"PIERRE DEGRACE"
"1987-07-31","12",4,14856.6,30246.7,38,"PIERRE DEGRACE"
"1987-07-31","12",5,14845,30260.6,38,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-07-31","12",6,14848,30208.7,42,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-07-31","12",7,14852.8,30238.1,38,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-07-31","12",8,14855.2,30318.8,40,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-08-01","12",2,14859.2,30263.5,38,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-08-01","12",3,14861.4,30314.6,36,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-08-01","12",4,14862.5,30315.3,36,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-08-01","12",5,14843,30232.5,42,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-08-01","12",6,14847.5,30220,40,"PIERRE DEGRACE"
"1987-08-01","12",7,14851.7,30201.8,40,""
"1987-08-01","12",8,14852.2,30195.1,41,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-08-01","12",9,14853.7,30199.5,40,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-08-01","12",10,14853.5,30231.5,38,"PIERRE DEGRACE"
"1987-08-02","12",1,14854.9,30226.7,38,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-08-02","12",2,14852.1,30222.1,39,""
"1987-08-10","12",1,14982.1,30502.3,44,"PIERRE DEGRACE, PIERRE MALLET, WADE LANDSBURG"
"1987-08-10","12",2,14837.4,30201.4,44,"PIERRE MALLET"
"1987-08-10","12",3,14843.6,30192.6,45,""
"1987-08-10","12",4,14842.5,30194,45,""
"1987-08-10","12",5,14838.9,30174.3,43,""
"1987-08-10","12",6,14831.7,30155.3,42,""
"1987-08-10","12",7,14831,30157.8,42,""
"1987-08-10","12",8,14838.3,30156.2,44,""
"1987-08-10","12",9,14898,30182.6,43,""
"1987-08-11","12",1,14826.3,30161.6,40,""
"1987-08-11","12",2,14818.7,30178.3,40,""
"1987-08-11","12",4,14862.8,30211.2,38,""
"1987-08-11","12",5,14859.4,30206.9,40,""
"1987-08-11","12",6,14858.4,30187.5,40,""
"1987-08-12","12",1,14878.4,30200.7,44,""
"1987-08-12","12",2,14880.2,30184.2,46,""
"1987-08-12","12",3,14874.4,30184.7,42,"PIERRE DEGRACE"
"1987-08-12","12",5,14864,30163.4,41,"PIERRE DEGRACE"
"1987-08-12","12",6,14858,30184.3,40,""
"1987-08-12","12",7,14852.4,30171.4,40,""
"1987-08-12","12",8,14857.7,30147.9,44,"PIERRE DEGRACE"
"1987-08-12","12",9,14863.4,30132.5,45,"PIERRE DEGRACE"
"1987-08-12","12",10,14866.8,30120.5,47,"PIERRE DEGRACE"
"1987-08-13","12",1,14860.1,30101.9,46,""
"1987-08-13","12",2,14855.6,30110.8,46,""
"1987-08-13","12",3,14845.5,30124.7,48,""
"1987-08-13","12",4,14842.6,30141.5,43,""
"1987-08-13","12",5,14865.4,30226.4,39,""
"1987-08-13","12",7,14875,30205.9,42,""
"1987-08-13","12",8,14880.1,30190.3,45,""
"1987-08-28","12",1,14970.3,30435.8,45,"PIERRE DEGRACE"
"1987-08-28","12",2,14879,30156.7,44,""
"1987-08-28","12",3,14871.3,30138.6,42,"PIERRE DEGRACE"
"1987-08-28","12",4,14865.2,30121,45,"PIERRE DEGRACE, WADE LANDSBURG"
"1987-08-28","12",5,14866.1,30091,42,"PIERRE DEGRACE"
"1987-08-28","12",6,14868.7,30101.4,46,"PIERRE DEGRACE"
"1987-08-29","12",1,14879.5,30190,44,""
"1987-08-29","12",2,14885.2,30174.9,43,""
"1987-08-29","12",4,14890,30158.9,45,""
"1987-08-29","12",6,14903.2,30184.2,44,""
"1987-08-30","12",1,14903.7,30145.9,44,""
"1987-08-30","12",2,14898.1,30168,43,"PIERRE DEGRACE"
"1987-08-30","12",3,14891.2,30174.9,45,""
"1987-08-30","12",4,14890,30179.1,45,"PIERRE DEGRACE"
"1987-08-30","12",5,14887.2,30220.3,43,""
"1987-08-30","12",6,14883.2,30225,40,""
"1987-08-30","12",7,14877.5,30236.4,39,""
"1987-08-31","12",1,14965.2,30439.9,46,""
"1987-08-31","12",2,14968.4,30422.5,41,""
"1987-08-31","12",3,14963.9,30390.6,48,""
"1987-08-31","12",4,14957.1,30362.3,42,""
"1987-08-31","12",5,14957,30387.6,45,""
"1987-08-31","12",6,14958.4,30426.7,45,""
