"date","tow.id","species","length","length.unit","length.precision","comment"
"2016-08-21","GP002A1",40,9,"cm",1,""
"2016-08-21","GP002A1",40,10,"cm",1,""
"2016-08-21","GP002A1",40,16,"cm",1,""
"2016-08-21","GP002A1",40,16,"cm",1,""
"2016-08-21","GP002A1",40,17,"cm",1,""
"2016-08-21","GP002A1",40,17,"cm",1,""
"2016-08-21","GP002A1",40,18,"cm",1,""
"2016-08-21","GP002A1",40,18,"cm",1,""
"2016-08-21","GP002A1",40,18,"cm",1,""
"2016-08-21","GP002A1",40,19,"cm",1,""
"2016-08-21","GP002A1",40,19,"cm",1,""
"2016-08-21","GP002A1",40,21,"cm",1,""
"2016-08-21","GP002A1",40,22,"cm",1,""
"2016-08-21","GP002A1",40,22,"cm",1,""
"2016-08-21","GP002A1",40,23,"cm",1,""
"2016-08-21","GP002A1",40,23,"cm",1,""
"2016-08-21","GP002A1",40,24,"cm",1,""
"2016-08-21","GP002A1",40,26,"cm",1,""
"2016-08-21","GP002A1",40,27,"cm",1,""
"2016-08-21","GP002A1",40,28,"cm",1,""
"2016-08-21","GP002A1",40,29,"cm",1,""
"2016-08-21","GP002A1",40,30,"cm",1,""
"2016-08-21","GP002A1",40,31,"cm",1,""
"2016-08-21","GP002A1",40,32,"cm",1,""
"2016-08-21","GP002A1",40,32,"cm",1,""
"2016-08-21","GP002A1",40,35,"cm",1,""
"2016-08-21","GP002A1",40,36,"cm",1,""
"2016-08-21","GP002A1",40,37,"cm",1,""
"2016-08-21","GP002A1",40,37,"cm",1,""
"2016-08-21","GP002A1",40,37,"cm",1,""
"2016-08-21","GP002A1",40,44,"cm",1,""
"2016-08-21","GP002A1",114,17,"cm",1,""
"2016-08-21","GP002A1",622,33,"cm",1,""
"2016-08-21","GP002A1",622,41,"cm",1,""
"2016-08-21","GP002A1",632,12,"cm",1,""
"2016-08-21","GP002A1",632,12,"cm",1,""
"2016-08-21","GP004F",40,12,"cm",1,""
"2016-08-21","GP004F",40,13,"cm",1,""
"2016-08-21","GP004F",40,15,"cm",1,""
"2016-08-21","GP004F",40,15,"cm",1,""
"2016-08-21","GP004F",40,15,"cm",1,""
"2016-08-21","GP004F",40,17,"cm",1,""
"2016-08-21","GP004F",40,18,"cm",1,""
"2016-08-21","GP004F",40,18,"cm",1,""
"2016-08-21","GP004F",40,18,"cm",1,""
"2016-08-21","GP004F",40,19,"cm",1,""
"2016-08-21","GP004F",40,19,"cm",1,""
"2016-08-21","GP004F",40,19,"cm",1,""
"2016-08-21","GP004F",40,19,"cm",1,""
"2016-08-21","GP004F",40,20,"cm",1,""
"2016-08-21","GP004F",40,20,"cm",1,""
"2016-08-21","GP004F",40,20,"cm",1,""
"2016-08-21","GP004F",40,21,"cm",1,""
"2016-08-21","GP004F",40,22,"cm",1,""
"2016-08-21","GP004F",40,22,"cm",1,""
"2016-08-21","GP004F",40,23,"cm",1,""
"2016-08-21","GP004F",40,24,"cm",1,""
"2016-08-21","GP004F",40,24,"cm",1,""
"2016-08-21","GP004F",40,25,"cm",1,""
"2016-08-21","GP004F",40,26,"cm",1,""
"2016-08-21","GP004F",40,26,"cm",1,""
"2016-08-21","GP004F",40,26,"cm",1,""
"2016-08-21","GP004F",40,29,"cm",1,""
"2016-08-21","GP004F",40,30,"cm",1,""
"2016-08-21","GP004F",40,30,"cm",1,""
"2016-08-21","GP004F",40,31,"cm",1,""
"2016-08-21","GP004F",40,33,"cm",1,""
"2016-08-21","GP004F",40,34,"cm",1,""
"2016-08-21","GP004F",40,36,"cm",1,""
"2016-08-21","GP004F",350,17,"cm",1,""
"2016-08-24","GP014F",10,25,"cm",1,""
"2016-08-24","GP014F",10,48,"cm",1,""
"2016-08-24","GP014F",31,23,"cm",1,""
"2016-08-24","GP014F",40,7,"cm",1,""
"2016-08-24","GP014F",40,10,"cm",1,""
"2016-08-24","GP014F",40,13,"cm",1,""
"2016-08-24","GP014F",40,13,"cm",1,""
"2016-08-24","GP014F",40,13,"cm",1,""
"2016-08-24","GP014F",40,13,"cm",1,""
"2016-08-24","GP014F",40,13,"cm",1,""
"2016-08-24","GP014F",40,13,"cm",1,""
"2016-08-24","GP014F",40,14,"cm",1,""
"2016-08-24","GP014F",40,14,"cm",1,""
"2016-08-24","GP014F",40,14,"cm",1,""
"2016-08-24","GP014F",40,14,"cm",1,""
"2016-08-24","GP014F",40,14,"cm",1,""
"2016-08-24","GP014F",40,14,"cm",1,""
"2016-08-24","GP014F",40,15,"cm",1,""
"2016-08-24","GP014F",40,15,"cm",1,""
"2016-08-24","GP014F",40,15,"cm",1,""
"2016-08-24","GP014F",40,16,"cm",1,""
"2016-08-24","GP014F",40,16,"cm",1,""
"2016-08-24","GP014F",40,16,"cm",1,""
"2016-08-24","GP014F",40,16,"cm",1,""
"2016-08-24","GP014F",40,16,"cm",1,""
"2016-08-24","GP014F",40,16,"cm",1,""
"2016-08-24","GP014F",40,16,"cm",1,""
"2016-08-24","GP014F",40,17,"cm",1,""
"2016-08-24","GP014F",40,17,"cm",1,""
"2016-08-24","GP014F",40,17,"cm",1,""
"2016-08-24","GP014F",40,17,"cm",1,""
"2016-08-24","GP014F",40,17,"cm",1,""
"2016-08-24","GP014F",40,17,"cm",1,""
"2016-08-24","GP014F",40,17,"cm",1,""
"2016-08-24","GP014F",40,17,"cm",1,""
"2016-08-24","GP014F",40,17,"cm",1,""
"2016-08-24","GP014F",40,18,"cm",1,""
"2016-08-24","GP014F",40,18,"cm",1,""
"2016-08-24","GP014F",40,18,"cm",1,""
"2016-08-24","GP014F",40,18,"cm",1,""
"2016-08-24","GP014F",40,18,"cm",1,""
"2016-08-24","GP014F",40,18,"cm",1,""
"2016-08-24","GP014F",40,18,"cm",1,""
"2016-08-24","GP014F",40,18,"cm",1,""
"2016-08-24","GP014F",40,18,"cm",1,""
"2016-08-24","GP014F",40,18,"cm",1,""
"2016-08-24","GP014F",40,19,"cm",1,""
"2016-08-24","GP014F",40,19,"cm",1,""
"2016-08-24","GP014F",40,19,"cm",1,""
"2016-08-24","GP014F",40,19,"cm",1,""
"2016-08-24","GP014F",40,19,"cm",1,""
"2016-08-24","GP014F",40,20,"cm",1,""
"2016-08-24","GP014F",40,20,"cm",1,""
"2016-08-24","GP014F",40,20,"cm",1,""
"2016-08-24","GP014F",40,20,"cm",1,""
"2016-08-24","GP014F",40,20,"cm",1,""
"2016-08-24","GP014F",40,20,"cm",1,""
"2016-08-24","GP014F",40,20,"cm",1,""
"2016-08-24","GP014F",40,21,"cm",1,""
"2016-08-24","GP014F",40,21,"cm",1,""
"2016-08-24","GP014F",40,21,"cm",1,""
"2016-08-24","GP014F",40,21,"cm",1,""
"2016-08-24","GP014F",40,21,"cm",1,""
"2016-08-24","GP014F",40,21,"cm",1,""
"2016-08-24","GP014F",40,21,"cm",1,""
"2016-08-24","GP014F",40,21,"cm",1,""
"2016-08-24","GP014F",40,22,"cm",1,""
"2016-08-24","GP014F",40,22,"cm",1,""
"2016-08-24","GP014F",40,22,"cm",1,""
"2016-08-24","GP014F",40,22,"cm",1,""
"2016-08-24","GP014F",40,22,"cm",1,""
"2016-08-24","GP014F",40,22,"cm",1,""
"2016-08-24","GP014F",40,23,"cm",1,""
"2016-08-24","GP014F",40,23,"cm",1,""
"2016-08-24","GP014F",40,23,"cm",1,""
"2016-08-24","GP014F",40,23,"cm",1,""
"2016-08-24","GP014F",40,23,"cm",1,""
"2016-08-24","GP014F",40,24,"cm",1,""
"2016-08-24","GP014F",40,24,"cm",1,""
"2016-08-24","GP014F",40,24,"cm",1,""
"2016-08-24","GP014F",40,24,"cm",1,""
"2016-08-24","GP014F",40,24,"cm",1,""
"2016-08-24","GP014F",40,24,"cm",1,""
"2016-08-24","GP014F",40,24,"cm",1,""
"2016-08-24","GP014F",40,25,"cm",1,""
"2016-08-24","GP014F",40,25,"cm",1,""
"2016-08-24","GP014F",40,25,"cm",1,""
"2016-08-24","GP014F",40,25,"cm",1,""
"2016-08-24","GP014F",40,25,"cm",1,""
"2016-08-24","GP014F",40,25,"cm",1,""
"2016-08-24","GP014F",40,26,"cm",1,""
"2016-08-24","GP014F",40,26,"cm",1,""
"2016-08-24","GP014F",40,26,"cm",1,""
"2016-08-24","GP014F",40,27,"cm",1,""
"2016-08-24","GP014F",40,28,"cm",1,""
"2016-08-24","GP014F",40,28,"cm",1,""
"2016-08-24","GP014F",40,29,"cm",1,""
"2016-08-24","GP014F",40,31,"cm",1,""
"2016-08-24","GP014F",40,33,"cm",1,""
"2016-08-24","GP014F",40,34,"cm",1,""
"2016-08-24","GP014F",40,34,"cm",1,""
"2016-08-24","GP014F",40,34,"cm",1,""
"2016-08-24","GP014F",40,36,"cm",1,""
"2016-08-24","GP014F",60,25,"cm",1,""
"2016-08-24","GP014F",60,25,"cm",1,""
"2016-08-24","GP014F",60,26,"cm",1,""
"2016-08-24","GP014F",60,26,"cm",1,""
"2016-08-24","GP014F",60,27,"cm",1,""
"2016-08-24","GP014F",301,27,"cm",1,""
"2016-08-24","GP014F",313,8,"cm",1,""
"2016-08-24","GP014F",313,11,"cm",1,""
"2016-08-24","GP014F",313,12,"cm",1,""
"2016-08-24","GP014F",313,12,"cm",1,""
"2016-08-24","GP014F",313,16,"cm",1,""
"2016-08-24","GP014F",313,16,"cm",1,""
"2016-08-24","GP014F",313,18,"cm",1,""
"2016-08-24","GP014F",340,10,"cm",1,""
"2016-08-24","GP014F",340,11,"cm",1,""
"2016-08-24","GP014F",340,11,"cm",1,""
"2016-08-24","GP014F",340,12,"cm",1,""
"2016-08-24","GP014F",340,12,"cm",1,""
"2016-08-24","GP014F",340,12,"cm",1,""
"2016-08-24","GP014F",340,12,"cm",1,""
"2016-08-24","GP014F",340,13,"cm",1,""
"2016-08-24","GP014F",340,13,"cm",1,""
"2016-08-24","GP014F",340,14,"cm",1,""
"2016-08-24","GP014F",340,14,"cm",1,""
"2016-08-24","GP014F",350,12,"cm",1,""
"2016-08-24","GP014F",350,12,"cm",1,""
"2016-08-24","GP014F",350,20,"cm",1,""
"2016-08-24","GP014F",505,13,"cm",1,""
"2016-08-24","GP014F",505,15,"cm",1,""
"2016-08-24","GP014F",505,18,"cm",1,""
"2016-08-24","GP014F",505,19,"cm",1,""
"2016-08-24","GP014F",628,21,"cm",1,""
"2016-08-24","GP014F",628,22,"cm",1,""
"2016-08-18","GP015F",40,8,"cm",1,""
"2016-08-18","GP015F",40,12,"cm",1,""
"2016-08-18","GP015F",40,13,"cm",1,""
"2016-08-18","GP015F",40,14,"cm",1,""
"2016-08-18","GP015F",40,15,"cm",1,""
"2016-08-18","GP015F",40,16,"cm",1,""
"2016-08-18","GP015F",40,16,"cm",1,""
"2016-08-18","GP015F",40,17,"cm",1,""
"2016-08-18","GP015F",40,18,"cm",1,""
"2016-08-18","GP015F",40,23,"cm",1,""
"2016-08-18","GP015F",40,27,"cm",1,""
"2016-08-18","GP015F",42,12,"cm",1,""
"2016-08-18","GP015F",42,12,"cm",1,""
"2016-08-18","GP015F",42,12,"cm",1,""
"2016-08-18","GP015F",42,13,"cm",1,""
"2016-08-18","GP015F",42,13,"cm",1,""
"2016-08-18","GP015F",42,13,"cm",1,""
"2016-08-18","GP015F",42,13,"cm",1,""
"2016-08-18","GP015F",42,13,"cm",1,""
"2016-08-18","GP015F",42,13,"cm",1,""
"2016-08-18","GP015F",42,13,"cm",1,""
"2016-08-18","GP015F",42,14,"cm",1,""
"2016-08-18","GP015F",42,14,"cm",1,""
