date,tow.id,probe,location,position,event,time
2017-08-22,GP206F,Star Oddi DST-Tilt,footrope,center,touchdown,6:13:40
2017-08-22,GP215F,Star Oddi DST-Tilt,footrope,center,touchdown,7:41:27
2017-08-22,GP198A1,Star Oddi DST-Tilt,footrope,center,touchdown,10:52:21
2017-08-22,GP191F,Star Oddi DST-Tilt,footrope,center,touchdown,12:28:53
2017-08-22,GP179F,Star Oddi DST-Tilt,footrope,center,touchdown,13:32:40
2017-08-22,GP176FR,Star Oddi DST-Tilt,footrope,center,touchdown,15:04:41
2017-08-22,GP158F,Star Oddi DST-Tilt,footrope,center,touchdown,16:26:44
2017-08-22,GP149F,Star Oddi DST-Tilt,footrope,center,touchdown,17:29:26
2017-08-22,GP147F,Star Oddi DST-Tilt,footrope,center,touchdown,18:21:27
2017-08-24,GP202F,Star Oddi DST-Tilt,footrope,center,touchdown,6:15:38
2017-08-24,GP184F,Star Oddi DST-Tilt,footrope,center,touchdown,7:51:15
2017-08-24,GP150A3,Star Oddi DST-Tilt,footrope,center,touchdown,16:33:09
2017-08-24,GP106A1,Star Oddi DST-Tilt,footrope,center,touchdown,18:34:25
2017-08-24,GP105F,Star Oddi DST-Tilt,footrope,center,touchdown,19:40:50
2017-08-25,GP069F,Star Oddi DST-Tilt,footrope,center,touchdown,6:19:25
2017-08-25,GP062F,Star Oddi DST-Tilt,footrope,center,touchdown,7:32:44
2017-08-25,GP045F,Star Oddi DST-Tilt,footrope,center,touchdown,9:13:27
2017-08-25,GP039F,Star Oddi DST-Tilt,footrope,center,touchdown,10:15:52
2017-08-25,GP031F,Star Oddi DST-Tilt,footrope,center,touchdown,11:48:02
2017-08-25,GP030F,Star Oddi DST-Tilt,footrope,center,touchdown,12:57:43
2017-08-25,GP022F,Star Oddi DST-Tilt,footrope,center,touchdown,13:55:13
2017-08-25,GP040F,Star Oddi DST-Tilt,footrope,center,touchdown,14:56:52
2017-08-25,GP042F,Star Oddi DST-Tilt,footrope,center,touchdown,16:15:49
2017-08-25,GP041FR,Star Oddi DST-Tilt,footrope,center,touchdown,18:59:12
2017-08-25,GP051F,Star Oddi DST-Tilt,footrope,center,touchdown,20:12:23
2017-08-26,GP052F,Star Oddi DST-Tilt,footrope,center,touchdown,6:26:35
2017-08-26,GP063A1,Star Oddi DST-Tilt,footrope,center,touchdown,8:42:38
2017-08-26,GP070F,Star Oddi DST-Tilt,footrope,center,touchdown,9:41:48
2017-08-26,GP093A1,Star Oddi DST-Tilt,footrope,center,touchdown,11:39:54
2017-08-26,GP091F,Star Oddi DST-Tilt,footrope,center,touchdown,12:37:49
2017-08-26,GP066F,Star Oddi DST-Tilt,footrope,center,touchdown,14:14:26
2017-08-26,GP050A1,Star Oddi DST-Tilt,footrope,center,touchdown,17:38:26
2017-08-26,GP048F,Star Oddi DST-Tilt,footrope,center,touchdown,18:38:11
2017-08-26,GP067F,Star Oddi DST-Tilt,footrope,center,touchdown,19:46:42
2017-08-27,GP195A1,Star Oddi DST-Tilt,footrope,center,touchdown,7:16:30
2017-08-27,GP173F,Star Oddi DST-Tilt,footrope,center,touchdown,9:10:33
2017-08-27,GP171F,Star Oddi DST-Tilt,footrope,center,touchdown,9:55:48
2017-08-27,GP175F,Star Oddi DST-Tilt,footrope,center,touchdown,11:03:41
2017-08-27,GP155F,Star Oddi DST-Tilt,footrope,center,touchdown,12:39:50
2017-08-27,GP132F,Star Oddi DST-Tilt,footrope,center,touchdown,15:26:44
2017-08-27,GP119F,Star Oddi DST-Tilt,footrope,center,touchdown,16:29:46
2017-09-06,GP256F,Star Oddi DST-Tilt,footrope,center,touchdown,16:08:29
2017-09-06,GP241F,Star Oddi DST-Tilt,footrope,center,touchdown,17:22:07
2017-09-08,GP231F,Star Oddi DST-Tilt,footrope,center,touchdown,7:28:56
2017-09-08,GP238F,Star Oddi DST-Tilt,footrope,center,touchdown,8:48:57
2017-09-08,GP262F,Star Oddi DST-Tilt,footrope,center,touchdown,10:24:39
2017-09-08,GP264F,Star Oddi DST-Tilt,footrope,center,touchdown,11:14:13
2017-09-08,GP270F,Star Oddi DST-Tilt,footrope,center,touchdown,12:10:04
2017-09-08,GP271F,Star Oddi DST-Tilt,footrope,center,touchdown,13:23:17
2017-09-08,GP277F,Star Oddi DST-Tilt,footrope,center,touchdown,15:26:34
2017-09-08,GP266F,Star Oddi DST-Tilt,footrope,center,touchdown,16:44:53
2017-09-08,GP254F,Star Oddi DST-Tilt,footrope,center,touchdown,18:12:26
2017-09-08,GP267F,Star Oddi DST-Tilt,footrope,center,touchdown,19:38:50
2017-09-09,GP272F,Star Oddi DST-Tilt,footrope,center,touchdown,6:31:21
2017-09-09,GP265F,Star Oddi DST-Tilt,footrope,center,touchdown,8:01:06
2017-09-09,GP274F,Star Oddi DST-Tilt,footrope,center,touchdown,8:58:09
2017-09-09,GP268F,Star Oddi DST-Tilt,footrope,center,touchdown,10:03:33
2017-09-09,GP259F,Star Oddi DST-Tilt,footrope,center,touchdown,11:15:02
2017-09-09,GP248F,Star Oddi DST-Tilt,footrope,center,touchdown,12:23:55
2017-09-09,GP245F,Star Oddi DST-Tilt,footrope,center,touchdown,13:24:48
2017-09-09,GP252F,Star Oddi DST-Tilt,footrope,center,touchdown,15:46:38
2017-09-09,GP246A1,Star Oddi DST-Tilt,footrope,center,touchdown,18:27:21
2017-09-09,GP244F,Star Oddi DST-Tilt,footrope,center,touchdown,19:27:35
2017-09-10,GP255A1,Star Oddi DST-Tilt,footrope,center,touchdown,8:07:54
2017-09-10,GP232F,Star Oddi DST-Tilt,footrope,center,touchdown,10:07:17
2017-09-10,GP221F,Star Oddi DST-Tilt,footrope,center,touchdown,11:05:16
2017-09-10,GP210F,Star Oddi DST-Tilt,footrope,center,touchdown,12:06:30
2017-09-13,GP097F,Star Oddi DST-Tilt,footrope,center,touchdown,7:09:51
2017-09-13,GP090F,Star Oddi DST-Tilt,footrope,center,touchdown,8:21:09
2017-09-13,GP079F,Star Oddi DST-Tilt,footrope,center,touchdown,9:11:11
2017-09-13,GP104F,Star Oddi DST-Tilt,footrope,center,touchdown,10:24:57
2017-09-13,GP117F,Star Oddi DST-Tilt,footrope,center,touchdown,11:37:32
2017-09-13,GP108F,Star Oddi DST-Tilt,footrope,center,touchdown,13:14:17
2017-09-13,GP102F,Star Oddi DST-Tilt,footrope,center,touchdown,14:22:37
2017-09-13,GP148F,Star Oddi DST-Tilt,footrope,center,touchdown,16:43:13
2017-09-14,GP167A3,Star Oddi DST-Tilt,footrope,center,touchdown,6:48:28
2017-09-14,GP140F,Star Oddi DST-Tilt,footrope,center,touchdown,8:45:03
2017-09-14,GP160F,Star Oddi DST-Tilt,footrope,center,touchdown,10:20:22
2017-09-14,GP161A1,Star Oddi DST-Tilt,footrope,center,touchdown,12:32:53
2017-09-14,GP146F,Star Oddi DST-Tilt,footrope,center,touchdown,14:15:17
2017-09-14,GP116F,Star Oddi DST-Tilt,footrope,center,touchdown,15:20:42
2017-09-14,GP124F,Star Oddi DST-Tilt,footrope,center,touchdown,16:51:46
2017-09-14,GP151FR,Star Oddi DST-Tilt,footrope,center,touchdown,18:52:48
2017-09-15,GP164F,Star Oddi DST-Tilt,footrope,center,touchdown,6:47:16
2017-09-15,GP163F,Star Oddi DST-Tilt,footrope,center,touchdown,8:02:04
2017-09-15,GP177F,Star Oddi DST-Tilt,footrope,center,touchdown,9:23:35
2017-09-15,GP196F,Star Oddi DST-Tilt,footrope,center,touchdown,12:29:01
2017-09-15,GP182F,Star Oddi DST-Tilt,footrope,center,touchdown,14:27:18
2017-09-15,GP199F,Star Oddi DST-Tilt,footrope,center,touchdown,15:49:01
2017-09-16,GP294F,Star Oddi DST-Tilt,footrope,center,touchdown,6:49:53
2017-07-10,GP354F,Star Oddi DST-Tilt,footrope,center,touchdown,8:49:26
2017-07-10,GP351F,Star Oddi DST-Tilt,footrope,center,touchdown,10:05:46
2017-07-10,GP353F,Star Oddi DST-Tilt,footrope,center,touchdown,11:27:00
2017-07-10,GP352F,Star Oddi DST-Tilt,footrope,center,touchdown,12:55:14
2017-07-10,GP350F,Star Oddi DST-Tilt,footrope,center,touchdown,14:15:49
2017-07-10,GP346F,Star Oddi DST-Tilt,footrope,center,touchdown,15:34:04
2017-07-10,GP342F,Star Oddi DST-Tilt,footrope,center,touchdown,16:52:18
2017-07-10,GP334F,Star Oddi DST-Tilt,footrope,center,touchdown,18:14:52
2017-07-10,GP323F,Star Oddi DST-Tilt,footrope,center,touchdown,19:29:32
2017-07-11,GP335F,Star Oddi DST-Tilt,footrope,center,touchdown,5:24:40
2017-07-11,GP344F,Star Oddi DST-Tilt,footrope,center,touchdown,6:41:42
2017-07-11,GP341F,Star Oddi DST-Tilt,footrope,center,touchdown,7:43:06
2017-07-11,GP331F,Star Oddi DST-Tilt,footrope,center,touchdown,9:28:21
2017-07-11,GP326F,Star Oddi DST-Tilt,footrope,center,touchdown,10:27:31
2017-07-11,GP315A2,Star Oddi DST-Tilt,footrope,center,touchdown,14:57:30
2017-07-11,GP324F,Star Oddi DST-Tilt,footrope,center,touchdown,16:38:44
2017-07-11,GP313F,Star Oddi DST-Tilt,footrope,center,touchdown,18:09:20
2017-07-12,GP320F,Star Oddi DST-Tilt,footrope,center,touchdown,6:06:15
2017-07-12,GP312F,Star Oddi DST-Tilt,footrope,center,touchdown,7:59:28
2017-07-12,GP316F,Star Oddi DST-Tilt,footrope,center,touchdown,9:43:48
