"date","set.number","species","cruise","valid","experiment","number.caught","weight.caught","number.basket","extra","weight.sampled","comment"
"2014-07-16",2,43,"P021",1,1,129,4.12,1,"",4.12,""
"2014-07-16",2,60,"P021",1,1,394,1.97,2,"",1,""
"2014-07-16",2,62,"P021",1,1,13,1.47,1,"",1.47,""
"2014-07-16",2,63,"P021",1,1,1407,18.6,3,"",2.71,""
"2014-07-16",2,70,"P021",1,1,14,3.41,1,"",3.41,""
"2014-07-16",2,114,"P021",1,1,1,0.014,1,"",0.014,""
"2014-07-16",2,143,"P021",1,1,8,0.549,1,"",0.549,""
"2014-07-16",2,204,"P021",1,1,1,0.149,1,"",0.149,""
"2014-07-16",2,220,"P021",1,1,1,5.46,1,"",5.46,""
"2014-07-16",2,251,"P021",1,1,5,0.006,1,"",0.006,""
"2014-07-16",2,2550,"P021",1,1,47,16.9,1,"",16.9,""
"2014-07-16",2,8500,"P021",1,1,0,0.074,1,"",0,""
"2014-07-17",3,10,"P021",1,1,339,17.1,1,"",17.1,""
"2014-07-17",3,42,"P021",1,1,3,0.156,1,"",0.156,""
"2014-07-17",3,43,"P021",1,1,30,1.19,1,"",1.19,""
"2014-07-17",3,63,"P021",1,1,120,4.11,1,"",4.11,""
"2014-07-17",3,118,"P021",1,1,25,2.35,2,"",2.35,""
"2014-07-17",3,122,"P021",1,1,26,1.39,1,"",1.39,""
"2014-07-17",3,251,"P021",1,1,27,0.583,1,"",0.583,""
"2014-07-17",3,320,"P021",1,1,2,0.452,1,"",0.452,""
"2014-07-17",3,611,"P021",1,1,28,0.184,1,"",0.184,""
"2014-07-17",3,2550,"P021",1,1,94,22,1,"",22,""
"2014-07-17",3,8500,"P021",1,1,0,1.02,1,"",0,""
"2014-07-17",4,42,"P021",1,1,24,0.897,1,"",0.897,""
"2014-07-17",4,63,"P021",1,1,1,0.021,1,"",0.021,""
"2014-07-17",4,251,"P021",1,1,1,0.013,1,"",0.013,""
"2014-07-17",4,611,"P021",1,1,441,2.77,2,"",1.27,""
"2014-07-17",4,2550,"P021",1,1,2,0.562,1,"",0.562,""
"2014-07-17",5,42,"P021",1,1,11,0.356,1,"",0.356,""
"2014-07-17",5,43,"P021",1,1,3,0.375,1,"",0.375,""
"2014-07-17",5,611,"P021",1,1,191,1.69,1,"",1.69,""
"2014-07-17",5,2550,"P021",1,1,1,0.252,1,"",0.252,""
"2014-07-17",5,6500,"P021",1,1,0,0.024,1,"",0,""
"2014-07-17",6,43,"P021",1,1,4,0.229,2,"",0.229,""
"2014-07-17",6,122,"P021",1,1,100,7.16,1,"",7.16,""
"2014-07-17",6,251,"P021",1,1,2,0.045,1,"",0.045,""
"2014-07-17",6,2550,"P021",1,1,53,17.6,1,"",17.6,""
"2014-07-17",6,6118,"P021",1,1,0,0.003,1,"",0,""
"2014-07-17",7,10,"P021",1,1,1,0.035,1,"",0.035,""
"2014-07-17",7,17,"P021",1,1,1,0.093,1,"",0.093,""
"2014-07-17",7,43,"P021",1,1,33,1.23,1,"",1.23,""
"2014-07-17",7,122,"P021",1,1,17,1.26,1,"",1.26,""
"2014-07-17",7,2417,"P021",1,1,0,0.001,1,"",0,""
"2014-07-17",7,2513,"P021",1,1,1,0.022,1,"",0.022,""
"2014-07-17",7,2550,"P021",1,1,46,12.5,1,"",12.5,""
"2014-07-17",7,3500,"P021",1,1,0,0.001,1,"",0,""
"2014-07-17",7,6118,"P021",1,1,0,0.003,1,"",0,""
"2014-07-17",7,8300,"P021",1,1,0,0.165,1,"",0,""
