date,tow.id,probe,location,position,event,time
2015-07-09,GP344A1,Star Oddi DST-Tilt,footrope,center,touchdown,13:18:42
2015-07-09,GP341F,Star Oddi DST-Tilt,footrope,center,touchdown,14:37:47
2015-07-09,GP335F,Star Oddi DST-Tilt,footrope,center,touchdown,16:09:01
2015-07-09,GP325F,Star Oddi DST-Tilt,footrope,center,touchdown,17:20:46
2015-07-09,GP326F,Star Oddi DST-Tilt,footrope,center,touchdown,18:21:57
2015-07-09,GP331F,Star Oddi DST-Tilt,footrope,center,touchdown,19:16:55
2015-07-09,GP324F,Star Oddi DST-Tilt,footrope,center,touchdown,20:31:10
2015-07-10,GP315F,Star Oddi DST-Tilt,footrope,center,touchdown,5:02:51
2015-07-10,GP295F,Star Oddi DST-Tilt,footrope,center,touchdown,18:11:06
2015-07-10,GP293F,Star Oddi DST-Tilt,footrope,center,touchdown,19:41:04
2015-07-10,GP300A1,Star Oddi DST-Tilt,footrope,center,touchdown,7:51:31
2015-07-10,GP303A1,Star Oddi DST-Tilt,footrope,center,touchdown,10:02:07
2015-07-10,GP313F,Star Oddi DST-Tilt,footrope,center,touchdown,11:23:41
2015-07-10,GP320F,Star Oddi DST-Tilt,footrope,center,touchdown,12:48:47
2015-07-10,GP316F,Star Oddi DST-Tilt,footrope,center,touchdown,14:27:21
2015-07-10,GP312F,Star Oddi DST-Tilt,footrope,center,touchdown,16:03:30
2015-07-17,GP038F,Star Oddi DST-Tilt,footrope,center,touchdown,5:07:23
2015-07-17,GP065F,Star Oddi DST-Tilt,footrope,center,touchdown,16:12:53
2015-07-17,GP096A1,Star Oddi DST-Tilt,footrope,center,touchdown,20:19:26
2015-07-17,GP033F,Star Oddi DST-Tilt,footrope,center,touchdown,6:23:41
2015-07-17,GP027F,Star Oddi DST-Tilt,footrope,center,touchdown,7:24:50
2015-07-17,GP034A1,Star Oddi DST-Tilt,footrope,center,touchdown,9:42:34
2015-07-17,GP029F,Star Oddi DST-Tilt,footrope,center,touchdown,10:50:24
2015-07-17,GP037F,Star Oddi DST-Tilt,footrope,center,touchdown,12:06:43
2015-07-17,GP058F,Star Oddi DST-Tilt,footrope,center,touchdown,13:40:47
2015-07-17,GP059F,Star Oddi DST-Tilt,footrope,center,touchdown,14:53:12
2015-07-18,GP083F,Star Oddi DST-Tilt,footrope,center,touchdown,5:09:40
2015-07-18,GP074F,Star Oddi DST-Tilt,footrope,center,touchdown,6:19:19
2015-07-18,GP057F,Star Oddi DST-Tilt,footrope,center,touchdown,7:49:59
2015-07-18,GP056F,Star Oddi DST-Tilt,footrope,center,touchdown,9:17:58
2015-07-18,GP035A1,Star Oddi DST-Tilt,footrope,center,touchdown,12:23:38
2015-07-19,GP195F,Star Oddi DST-Tilt,footrope,center,touchdown,9:50:13
2015-07-22,GP222F,Star Oddi DST-Tilt,footrope,center,touchdown,12:16:37
2015-07-23,GP290F,Star Oddi DST-Tilt,footrope,center,touchdown,17:19:58
2015-07-23,GP239A2,Star Oddi DST-Tilt,footrope,center,touchdown,7:15:34
2015-07-23,GP253F,Star Oddi DST-Tilt,footrope,center,touchdown,8:29:03
2015-07-23,GP258F,Star Oddi DST-Tilt,footrope,center,touchdown,10:04:31
2015-07-23,GP281F,Star Oddi DST-Tilt,footrope,center,touchdown,11:53:07
2015-07-23,GP287F,Star Oddi DST-Tilt,footrope,center,touchdown,13:05:13
2015-07-23,GP278A1,Star Oddi DST-Tilt,footrope,center,touchdown,15:19:23
2015-07-25,GP273A1,Star Oddi DST-Tilt,footrope,center,touchdown,5:21:47
2015-07-25,GP230F,Star Oddi DST-Tilt,footrope,center,touchdown,20:27:43
2015-07-25,GP282F,Star Oddi DST-Tilt,footrope,center,touchdown,7:47:13
2015-07-25,GP260F,Star Oddi DST-Tilt,footrope,center,touchdown,11:15:16
2015-07-25,GP250F,Star Oddi DST-Tilt,footrope,center,touchdown,12:21:53
2015-07-25,GP235F,Star Oddi DST-Tilt,footrope,center,touchdown,14:15:32
2015-07-25,GP237A1,Star Oddi DST-Tilt,footrope,center,touchdown,17:16:04
2015-07-25,GP227F,Star Oddi DST-Tilt,footrope,center,touchdown,19:29:50
2015-07-26,GP236F,Star Oddi DST-Tilt,footrope,center,touchdown,5:22:11
2015-07-26,GP228F,Star Oddi DST-Tilt,footrope,center,touchdown,15:50:40
2015-07-26,GP224F,Star Oddi DST-Tilt,footrope,center,touchdown,16:53:42
2015-07-26,GP213F,Star Oddi DST-Tilt,footrope,center,touchdown,17:56:53
2015-07-26,GP205F,Star Oddi DST-Tilt,footrope,center,touchdown,18:55:15
2015-07-26,GP211F,Star Oddi DST-Tilt,footrope,center,touchdown,20:11:26
2015-07-26,GP243F,Star Oddi DST-Tilt,footrope,center,touchdown,6:25:34
2015-07-26,GP249F,Star Oddi DST-Tilt,footrope,center,touchdown,7:12:53
2015-07-26,GP261F,Star Oddi DST-Tilt,footrope,center,touchdown,8:04:45
2015-07-26,GP257F,Star Oddi DST-Tilt,footrope,center,touchdown,8:59:02
2015-07-26,GP247F,Star Oddi DST-Tilt,footrope,center,touchdown,10:21:38
2015-07-26,GP242F,Star Oddi DST-Tilt,footrope,center,touchdown,11:35:16
