"date","tow.number","species","species.name.logbook","number.caught","weight.caught","presence","comment"
"1991-07-10",1,10,"morue","3",NA,1,""
"1991-07-10",1,346,"plie grise et blanche","20",NA,1,""
"1991-07-10",1,NA,"","10",NA,1,"pas dans le logbook"
"1991-07-10",1,4310,"palourde",NA,NA,1,""
"1991-07-10",1,6200,"ophiure",NA,NA,1,""
"1991-07-12",1,346,"plie grise et blanche","15",NA,1,""
"1991-07-12",1,NA,"","7.5",NA,1,"pas dans le logbook"
"1991-07-12",1,640,"loche","3",NA,1,""
"1991-07-12",1,2520,"hyas","20",NA,1,""
"1991-07-12",1,6100,"etoile de mer","4",NA,1,""
"1991-07-12",2,10,"morue","2",NA,1,""
"1991-07-12",2,41,"plie grise  ","20",NA,1,""
"1991-07-12",2,640,"loche","3",NA,1,""
"1991-07-12",2,4210,"bigorneau",NA,NA,1,""
"1991-07-12",2,6100,"etoile de mer","3",NA,1,""
"1991-07-12",2,6400,"oursin",NA,NA,1,"beaucoup"
"1991-07-12",3,10,"morue","2",NA,1,""
"1991-07-12",3,346,"plie","20",NA,1,""
"1991-07-12",3,4400,"limace","1",NA,1,""
"1991-07-12",3,640,"loche","6",NA,1,""
"1991-07-12",3,4210,"bigorneau",NA,NA,1,""
"1991-07-12",3,4310,"palourde",NA,NA,1,"quelques"
"1991-07-12",3,6100,"grosse etoile de mer","4",NA,1,""
"1991-07-12",4,10,"morue","10",NA,1,""
"1991-07-12",4,346,"plie","15",NA,1,""
"1991-07-12",4,640,"loche","2",NA,1,""
"1991-07-12",4,6100,"etoile de mer",NA,NA,1,""
"1991-07-12",4,6400,"oursin",NA,NA,1,""
"1991-07-12",4,6500,"dollar de sable",NA,NA,1,""
"1991-07-12",4,8600,"eponge",NA,NA,1,""
"1991-07-12",5,10,"morue","8",NA,1,""
"1991-07-12",5,346,"plie grise et blanche","50 a 70",NA,1,""
"1991-07-12",5,NA,"","30",NA,1,"pas dans le logbook"
"1991-07-12",5,640,"loche","7",NA,1,""
"1991-07-12",5,6100,"etoile de mer",NA,NA,1,""
"1991-07-12",5,6500,"dollar de sable",NA,NA,1,""
"1991-07-12",6,10,"morue","1",NA,1,""
"1991-07-12",6,346,"plie grise et blanche","7",NA,1,""
"1991-07-12",6,NA,"","3.5",NA,1,"pas dans le logbook"
"1991-07-12",6,640,"loche","6",NA,1,""
"1991-07-12",6,2100,"crevette",NA,NA,1,""
"1991-07-12",6,2520,"hyas","15",NA,1,""
"1991-07-12",6,6100,"etoile de mer",NA,NA,1,""
"1991-07-12",6,6400,"oursin",NA,NA,1,""
