"date","zone","tow.id","tow.number","valid","duration","longitude","latitude","loran.x","loran.y","loran.x.start.logbook","loran.x.end.logbook","loran.y.start.logbook","loran.y.end.logbook","start.time.logbook","end.time.logbook","depth.fathom","bottom.temperature","swept.area","sampler","comment"
"1988-08-05","12","GP001",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"08:30:00","        ",NA,NA,NA,"",""
"1988-08-05","12","GP002",2,1,"",NA,NA,15017.3,30352.3,NA,NA,NA,NA,"17:00:00","        ",NA,4.8,2412,"RENALD HACHE","Scanmar pas tres bien fonctionne pour la hauteur du chalut"
"1988-08-05","12","GP003",3,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"18:25:00","        ",NA,0.04,2412,"","Belly fendu d'un boute a l'autre"
"1988-08-06","12","GP004",1,1,"",NA,NA,15070.6,30266.3,NA,NA,NA,NA,"07:40:00","        ",80,NA,2412,"MARCEL HEBERT,PIERRE DEGRACE, RENALD HACHE",""
"1988-08-06","12","GP005",2,1,"",NA,NA,15086.5,30248.5,NA,NA,NA,NA,"09:15:00","        ",90,NA,2412,"PIERRE DEGRACE","terrain rough. Probablement que le chalut n'ouvre pas a sa pleine largeur"
"1988-08-06","12","GP006",3,1,"",NA,NA,15028.5,30069.9,NA,NA,NA,NA,"12:20:00","        ",70,NA,2412,"MARCEL HEBERT, PIERRE DEGRACE, RENALD HACHE","Scanmar pas fonctionner tres bien"
"1988-08-06","12","GP007",4,1,"",NA,NA,15012.9,30033.3,NA,NA,NA,NA,"13:15:00","        ",NA,NA,2412,"MARCEL HEBERT, RENALD HACHE","Scanmar pas fonctionne tres bien"
"1988-08-06","12","GP008",5,1,"",NA,NA,15007.1,30086.9,NA,NA,NA,NA,"15:00:00","        ",NA,NA,2412,"MARCEL HEBERT,RENALD HACHE, PIERRE DEGRACE","scanmar pas fonctionne; les batteries sont a terre"
"1988-08-06","12","GP009",6,1,"",NA,NA,14990,30055.9,NA,NA,NA,NA,"16:00:00","        ",NA,0.4,2412,"MARCEL HEBERT, RENALD HACHE,PIERRE DEGRACE","Pas de scanmar; les batteries sont morte"
"1988-08-06","12","GP010",7,1,"",NA,NA,14991,30140.1,NA,NA,NA,NA,"17:45:00","        ",NA,NA,2412,"MARCEL HEBERT, PIERRE DEGRACE","Bien ete jusqu_a temps qu'on leve; l'aile est toute dechire mais le coup est bon"
"1988-08-07","12","GP011",1,1,"",NA,NA,15072.1,30505.4,NA,NA,NA,NA,"09:00:00","        ",NA,0.5,2412,"RENALD HACHE","Probleme avec le scanmar; pas charger; faut s'organiser"
"1988-08-07","12","GP012",2,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"10:15:00","        ",NA,0.4,NA,"",""
