name,name.long,keywords,description
scs,Snow crab survey,bottom trawl;benthic;snow crab;survey;sGSL;gulf,Southern Gulf of St. Lawrence snow crab survey
sco,Snow crab Observer Program,sea sampling; at-sea; snow crab;GSL;gulf,Snow crab at-sea observer sampling program
rvs,September multispecies survey,september;multispecies;bottom trawl;research vessel;groundfish;survey;gulf;rv,Southern Gulf of St. Lawrence muiltispecies survey
rvsq,Quebec August multispecies survey,quebec;august;multispecies;bottom trawl;research vessel;groundfish;survey;rv,Quebec Gulf of St. Lawrence muiltispecies survey
nss,Northumberland Strait survey,northumberland;strait;bottom trawl;lobster;coastal;survey;sGSL;rv,Northumberland Strait multispecies survey
scfec,snow crab fecundity,egg count;fertility;gonad;sperm;fecundity;snow crab;sGSL,Southern Gulf of St. Lawrence snow crab fecundity studies
alsi,Atlantic lobster settlement index program,larvae collectors;lobster;coastal;rock crab;sGSL,Southern Gulf of St. Lawrence component of the Atlantic Lobster Settlement Index (ALSI) program
