date,tow.id,probe,probe.type,location,position,event,time
13-07-09,GP110A2,minilog,TD,headline,center,touchdown,8:38:41
13-07-09,GP152F,minilog,TD,headline,center,touchdown,10:29:08
13-07-09,GP131F,minilog,TD,headline,center,touchdown,11:39:39
13-07-09,GP130F,minilog,TD,headline,center,touchdown,12:54:37
13-07-09,GP151F,minilog,TD,headline,center,touchdown,14:33:20
13-07-09,GP150F,minilog,TD,headline,center,touchdown,16:10:42
13-07-09,GP169A1,minilog,TD,headline,center,touchdown,18:38:23
13-07-09,GP187FR,minilog,TD,headline,center,touchdown,20:24:38
13-07-10,GP205A1,minilog,TD,headline,center,touchdown,7:11:03
13-07-10,GP220F,minilog,TD,headline,center,touchdown,13:08:42
13-07-10,GP235F,minilog,TD,headline,center,touchdown,14:51:01
13-07-10,GP234F,minilog,TD,headline,center,touchdown,16:12:36
13-07-10,GP250A1,minilog,TD,headline,center,touchdown,18:47:05
13-07-10,GP249F,minilog,TD,headline,center,touchdown,20:21:42
13-07-10,GP264F,minilog,TD,headline,center,touchdown,21:14:40
13-07-11,GP279F,minilog,TD,headline,center,touchdown,5:27:50
13-07-12,GP314F,minilog,TD,headline,center,touchdown,5:18:22
13-07-12,GP315F,minilog,TD,headline,center,touchdown,7:26:06
13-07-12,GP328F,minilog,TD,headline,center,touchdown,9:28:43
13-07-12,GP313F,minilog,TD,headline,center,touchdown,11:01:02
13-07-12,GP327F,minilog,TD,headline,center,touchdown,12:28:09
13-07-12,GP338F,minilog,TD,headline,center,touchdown,13:50:32
13-07-12,GP346F,minilog,TD,headline,center,touchdown,15:43:52
13-07-12,GP345F,minilog,TD,headline,center,touchdown,17:20:39
13-07-12,GP337F,minilog,TD,headline,center,touchdown,19:20:31
13-07-12,GP325F,minilog,TD,headline,center,touchdown,20:36:59
13-07-13,GP326A1,minilog,TD,headline,center,touchdown,6:25:36
13-07-13,GP301A1,minilog,TD,headline,center,touchdown,12:59:40
13-07-13,GP302F,minilog,TD,headline,center,touchdown,14:24:30
13-07-13,GP290F,minilog,TD,headline,center,touchdown,15:47:35
13-07-13,GP291F,minilog,TD,headline,center,touchdown,16:57:13
13-07-13,GP303F,minilog,TD,headline,center,touchdown,18:03:36
13-07-13,GP292F,minilog,TD,headline,center,touchdown,20:10:21
13-07-14,GP280F,minilog,TD,headline,center,touchdown,5:19:17
13-07-14,GP265F,minilog,TD,headline,center,touchdown,6:46:01
13-07-14,GP266F,minilog,TD,headline,center,touchdown,8:45:21
13-07-14,GP251F,minilog,TD,headline,center,touchdown,11:01:54
13-07-14,GP237A1,minilog,TD,headline,center,touchdown,15:29:08
13-07-14,GP236A1,minilog,TD,headline,center,touchdown,18:41:16
13-07-14,GP221F,minilog,TD,headline,center,touchdown,21:10:08
13-07-15,GP189F,minilog,TD,headline,center,touchdown,5:48:41
13-07-15,GP188A1,minilog,TD,headline,center,touchdown,8:14:09
13-07-15,GP170F,minilog,TD,headline,center,touchdown,9:49:42
13-07-15,GP171F,minilog,TD,headline,center,touchdown,10:50:35
13-07-15,GP172F,minilog,TD,headline,center,touchdown,13:29:11
13-07-15,GP153F,minilog,TD,headline,center,touchdown,15:33:08
13-07-15,GP132F,minilog,TD,headline,center,touchdown,17:03:43
13-07-15,GP111F,minilog,TD,headline,center,touchdown,19:23:20
13-07-22,GP038A1,minilog,TD,headline,center,touchdown,7:03:54
13-07-22,GP037A1,minilog,TD,headline,center,touchdown,9:23:27
13-07-22,GP052F,minilog,TD,headline,center,touchdown,10:37:06
13-07-22,GP027A1,minilog,TD,headline,center,touchdown,17:46:39
13-07-22,GP026F,minilog,TD,headline,center,touchdown,19:09:47
13-07-22,GP025F,minilog,TD,headline,center,touchdown,20:42:44
13-07-23,GP024F,minilog,TD,headline,center,touchdown,5:36:30
13-07-23,GP016A1,minilog,TD,headline,center,touchdown,7:50:48
13-07-23,GP015F,minilog,TD,headline,center,touchdown,8:55:51
13-07-23,GP014F,minilog,TD,headline,center,touchdown,10:41:02
13-07-23,GP023F,minilog,TD,headline,center,touchdown,11:59:35
13-07-23,GP022F,minilog,TD,headline,center,touchdown,13:21:12
13-07-23,GP021A1,minilog,TD,headline,center,touchdown,16:52:56
13-07-23,GP020F,minilog,TD,headline,center,touchdown,18:20:10
13-07-24,GP045A2,minilog,TD,headline,center,touchdown,7:14:47
13-07-24,GP062F,minilog,TD,headline,center,touchdown,8:22:09
13-07-24,GP061F,minilog,TD,headline,center,touchdown,9:40:15
13-07-24,GP080A1,minilog,TD,headline,center,touchdown,12:41:31
13-07-24,GP098A1,minilog,TD,headline,center,touchdown,15:34:31
13-07-24,GP079A1,minilog,TD,headline,center,touchdown,17:17:05
13-07-24,GP097A1,minilog,TD,headline,center,touchdown,19:37:48
13-07-25,GP078F,minilog,TD,headline,center,touchdown,5:35:57
13-07-25,GP060A1,minilog,TD,headline,center,touchdown,8:06:55
13-07-25,GP077A1,minilog,TD,headline,center,touchdown,11:18:02
13-07-25,GP096F,minilog,TD,headline,center,touchdown,12:12:09
13-07-25,GP116F,minilog,TD,headline,center,touchdown,13:58:21
13-07-25,GP115F,minilog,TD,headline,center,touchdown,15:27:53
13-07-25,GP137A1,minilog,TD,headline,center,touchdown,17:49:53
13-07-25,GP157F,minilog,TD,headline,center,touchdown,19:33:29
13-07-25,GP138F,minilog,TD,headline,center,touchdown,20:47:26
13-07-26,GP158F,minilog,TD,headline,center,touchdown,5:45:46
13-07-26,GP139F,minilog,TD,headline,center,touchdown,6:57:39
13-08-02,GP277F,minilog,TD,headline,center,touchdown,18:13:38
13-08-02,GP278A1,minilog,TD,headline,center,touchdown,19:20:28
13-08-03,GP263F,minilog,TD,headline,center,touchdown,5:39:56
13-08-03,GP248F,minilog,TD,headline,center,touchdown,6:43:36
13-08-03,GP233F,minilog,TD,headline,center,touchdown,7:54:41
13-08-03,GP219F,minilog,TD,headline,center,touchdown,9:57:02
13-08-03,GP202F,minilog,TD,headline,center,touchdown,11:20:27
13-08-03,GP203F,minilog,TD,headline,center,touchdown,12:32:08
13-08-03,GP185F,minilog,TD,headline,center,touchdown,14:10:15
13-08-03,GP186F,minilog,TD,headline,center,touchdown,15:40:09
13-08-03,GP167F,minilog,TD,headline,center,touchdown,17:21:20
13-08-03,GP168F,minilog,TD,headline,center,touchdown,18:35:06
13-08-04,GP149A1,minilog,TD,headline,center,touchdown,6:53:42
13-08-04,GP129F,minilog,TD,headline,center,touchdown,8:40:05
13-08-04,GP128F,minilog,TD,headline,center,touchdown,9:51:10
13-08-04,GP108F,minilog,TD,headline,center,touchdown,11:09:14
13-08-04,GP107F,minilog,TD,headline,center,touchdown,12:33:09
13-08-04,GP088F,minilog,TD,headline,center,touchdown,14:08:08
13-08-04,GP070F,minilog,TD,headline,center,touchdown,15:57:07
13-08-04,GP053A2,minilog,TD,headline,center,touchdown,19:36:02
13-08-05,GP054F,minilog,TD,headline,center,touchdown,5:49:32
13-08-05,GP071F,minilog,TD,headline,center,touchdown,7:10:11
13-08-05,GP089F,minilog,TD,headline,center,touchdown,8:36:02
13-08-05,GP090F,minilog,TD,headline,center,touchdown,10:05:27
13-08-05,GP109F,minilog,TD,headline,center,touchdown,11:21:52
13-08-05,GP091F,minilog,TD,headline,center,touchdown,12:38:52
13-08-05,GP072F,minilog,TD,headline,center,touchdown,13:54:48
13-08-05,GP055F,minilog,TD,headline,center,touchdown,15:20:32
13-08-05,GP056F,minilog,TD,headline,center,touchdown,16:46:17
13-08-05,GP073F,minilog,TD,headline,center,touchdown,18:12:03
13-08-06,GP057A1,minilog,TD,headline,center,touchdown,13:43:14
13-08-06,GP058F,minilog,TD,headline,center,touchdown,16:10:09
13-08-07,GP059F,minilog,TD,headline,center,touchdown,5:50:40
13-08-07,GP076F,minilog,TD,headline,center,touchdown,7:34:22
13-08-07,GP094F,minilog,TD,headline,center,touchdown,9:09:48
13-08-07,GP095F,minilog,TD,headline,center,touchdown,10:44:05
13-08-07,GP114F,minilog,TD,headline,center,touchdown,12:56:15
13-08-07,GP135F,minilog,TD,headline,center,touchdown,15:02:02
13-08-07,GP113F,minilog,TD,headline,center,touchdown,17:16:39
13-08-07,GP134F,minilog,TD,headline,center,touchdown,19:25:58
13-08-07,GP154F,minilog,TD,headline,center,touchdown,20:49:45
13-08-08,GP133F,minilog,TD,headline,center,touchdown,5:57:07
13-08-08,GP112F,minilog,TD,headline,center,touchdown,7:52:33
13-08-08,GP093F,minilog,TD,headline,center,touchdown,9:48:18
