"date","cruise","set.number","species","specimen","sex","length","weight","egg.condition","fish.number","age.material","shell.condition","maturity","chela","missing.legs","disc.width","comment"
"2012-07-17","O026",2,17,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,43,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,63,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,70,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,70,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,122,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,122,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,143,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,143,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,143,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,143,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,204,NA,1,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,204,NA,2,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",2,2550,10,1,68,NA,NA,10,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",2,2550,11,1,64,NA,NA,11,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",2,2550,12,1,83,NA,NA,12,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",2,2550,13,2,73,NA,NA,13,1,1,NA,NA,NA,NA,"0"
"2012-07-17","O026",2,2550,14,1,61,NA,NA,14,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",2,2550,15,1,93,NA,NA,15,1,3,NA,NA,NA,NA,""
"2012-07-17","O026",2,2550,16,2,88,NA,NA,16,1,1,NA,NA,NA,NA,"0"
"2012-07-17","O026",2,2550,17,1,69,NA,NA,17,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",2,2550,18,1,99,NA,NA,18,1,1,NA,NA,NA,NA,""
"2012-07-17","O026",2,2550,19,2,86,NA,NA,19,1,2,NA,NA,NA,NA,"0"
"2012-07-17","O026",2,2550,20,1,63,NA,NA,20,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",2,2550,21,2,64,NA,NA,21,1,2,NA,NA,NA,NA,"0"
"2012-07-17","O026",2,2550,22,1,46,NA,NA,22,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",2,2550,23,1,51,NA,NA,23,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",2,2550,24,1,57,NA,NA,24,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",2,2550,25,1,72,NA,NA,25,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",2,2550,26,2,66,NA,NA,26,1,2,NA,NA,NA,NA,"0"
"2012-07-17","O026",2,2550,27,2,82,NA,NA,27,1,2,NA,NA,NA,NA,"0"
"2012-07-17","O026",2,2550,28,2,55,NA,NA,28,1,2,NA,NA,NA,NA,"0"
"2012-07-17","O026",2,2550,29,2,50,NA,NA,29,1,2,NA,NA,NA,NA,"0"
"2012-07-17","O026",2,2550,30,1,55,NA,NA,30,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",3,43,NA,2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,63,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,63,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,70,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,122,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,122,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,122,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,122,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,122,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,122,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,204,NA,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,204,NA,1,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,2518,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"2012-07-17","O026",3,2518,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"2012-07-17","O026",3,2518,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"2012-07-17","O026",3,2518,NA,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,2518,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",3,2539,1,1,93,NA,NA,1,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",3,2539,2,1,94,NA,NA,2,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",3,2539,3,2,54,NA,NA,3,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",3,2550,31,1,66,NA,NA,31,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",3,2550,32,1,80,NA,NA,32,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",3,2550,33,2,48,NA,NA,33,1,2,NA,NA,NA,NA,"0"
"2012-07-17","O026",3,2550,34,2,65,NA,NA,34,1,2,NA,NA,NA,NA,"0"
"2012-07-17","O026",3,2550,35,2,77,NA,NA,35,1,1,NA,NA,NA,NA,"0"
"2012-07-17","O026",3,2550,36,1,80,NA,NA,36,1,1,NA,NA,NA,NA,""
"2012-07-17","O026",3,2550,37,1,92,NA,NA,37,1,1,NA,NA,NA,NA,""
"2012-07-17","O026",3,2550,38,2,80,NA,NA,38,1,2,NA,NA,NA,NA,"1"
"2012-07-17","O026",3,2550,39,1,69,NA,NA,39,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",3,2550,40,1,79,NA,NA,40,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",3,2550,41,1,78,NA,NA,41,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",3,2550,42,1,74,NA,NA,42,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",3,2550,43,2,59,NA,NA,43,1,2,NA,NA,NA,NA,"0"
"2012-07-17","O026",3,2550,44,1,80,NA,NA,44,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",3,2550,45,1,77,NA,NA,45,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",4,43,NA,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,62,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,63,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,70,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,70,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,70,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,122,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,122,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,204,NA,1,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",4,2539,4,1,92,NA,NA,4,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",4,2539,5,2,48,NA,NA,5,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",4,2539,6,1,89,NA,NA,6,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",4,2539,7,1,67,NA,NA,7,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",4,2550,46,2,80,NA,NA,46,1,2,NA,NA,NA,NA,"0"
"2012-07-17","O026",4,2550,47,2,98,NA,NA,47,1,2,NA,NA,NA,NA,"0"
"2012-07-17","O026",4,2550,48,2,84,NA,NA,48,1,2,NA,NA,NA,NA,"0"
"2012-07-17","O026",4,2550,49,1,68,NA,NA,49,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",4,2550,50,2,85,NA,NA,50,1,2,NA,NA,NA,NA,"0"
"2012-07-17","O026",4,2550,51,1,89,NA,NA,51,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",4,2550,52,2,75,NA,NA,52,1,3,NA,NA,NA,NA,"0"
"2012-07-17","O026",4,2550,53,2,77,NA,NA,53,1,2,NA,NA,NA,NA,"0"
"2012-07-17","O026",4,2550,54,1,54,NA,NA,54,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",5,43,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",5,43,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",5,122,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",5,204,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",5,204,NA,1,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2012-07-17","O026",5,2539,8,1,84,NA,NA,8,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",5,2539,9,1,102,NA,NA,9,1,3,NA,NA,NA,NA,""
"2012-07-17","O026",5,2539,10,2,50,NA,NA,10,1,2,NA,NA,NA,NA,""
"2012-07-17","O026",5,2550,55,1,150,NA,NA,55,1,2,NA,NA,NA,NA,"lt verified; big male!!!"
