"date","set.number","experiment","species","size.class","sex","ratio","length","length.unit","comment","cruise"
"2002-05-29",1,1,43,1,9,1,18,"cm","","O218"
"2002-05-29",1,1,43,1,9,1,22,"cm","","O218"
"2002-05-29",1,1,43,1,9,1,27,"cm","","O218"
"2002-05-29",1,1,43,1,9,1,27,"cm","","O218"
"2002-05-29",1,1,43,1,9,1,28,"cm","","O218"
"2002-05-29",1,1,43,1,9,1,30,"cm","","O218"
"2002-05-29",1,1,43,1,9,1,31,"cm","","O218"
"2002-05-29",1,1,2550,1,1,1,43,"mm","","O218"
"2002-05-29",1,1,2550,1,1,1,59,"mm","","O218"
"2002-05-29",1,1,2550,1,1,1,65,"mm","","O218"
"2002-05-29",1,1,2550,1,1,1,65,"mm","","O218"
"2002-05-29",1,1,2550,1,1,1,69,"mm","","O218"
"2002-05-29",1,1,2550,1,1,1,76,"mm","","O218"
"2002-05-29",1,1,2550,1,1,1,79,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,50,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,50,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,55,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,55,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,56,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,63,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,63,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,71,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,76,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,76,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,80,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,81,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,85,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,88,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,105,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,110,"mm","","O218"
"2002-05-29",1,1,2550,1,2,1,112,"mm","","O218"
"2002-05-29",2,1,43,1,9,1,15,"cm","","O218"
"2002-05-29",2,1,43,1,9,1,15,"cm","","O218"
"2002-05-29",2,1,43,1,9,1,17,"cm","","O218"
"2002-05-29",2,1,43,1,9,1,20,"cm","","O218"
"2002-05-29",2,1,43,1,9,1,20,"cm","","O218"
"2002-05-29",2,1,43,1,9,1,22,"cm","","O218"
"2002-05-29",2,1,43,1,9,1,24,"cm","","O218"
"2002-05-29",2,1,43,1,9,1,25,"cm","","O218"
"2002-05-29",2,1,43,1,9,1,25,"cm","","O218"
"2002-05-29",2,1,43,1,9,1,26,"cm","","O218"
"2002-05-29",2,1,43,1,9,1,27,"cm","","O218"
"2002-05-29",2,1,43,1,9,1,27,"cm","","O218"
"2002-05-29",3,1,43,1,9,1,31,"cm","","O218"
"2002-05-29",3,1,2550,1,1,1,73,"mm","","O218"
"2002-05-29",4,1,2539,1,2,1,65,"mm","","O218"
"2002-05-29",4,1,2550,1,1,1,50,"mm","","O218"
"2002-05-29",4,1,2550,1,1,1,51,"mm","","O218"
"2002-05-29",4,1,2550,1,2,1,52,"mm","","O218"
"2002-05-29",4,1,2550,1,2,1,63,"mm","","O218"
"2002-05-29",4,1,2550,1,2,1,68,"mm","","O218"
"2002-05-29",4,1,2550,1,2,1,76,"mm","","O218"
"2002-05-29",5,1,43,1,9,1,25,"cm","","O218"
"2002-05-29",5,1,43,1,9,1,26,"cm","","O218"
"2002-05-29",5,1,43,1,9,1,27,"cm","","O218"
"2002-05-29",5,1,43,1,9,1,28,"cm","","O218"
"2002-05-29",5,1,43,1,9,1,29,"cm","","O218"
"2002-05-29",5,1,43,1,9,1,30,"cm","","O218"
"2002-05-29",5,1,43,1,9,1,32,"cm","","O218"
"2002-05-29",5,1,2539,1,1,1,68,"mm","","O218"
"2002-05-29",5,1,2539,1,1,1,78,"mm","","O218"
"2002-05-29",5,1,2539,1,1,1,80,"mm","","O218"
"2002-05-29",5,1,2539,1,1,1,81,"mm","","O218"
"2002-05-29",5,1,2539,1,1,1,82,"mm","","O218"
"2002-05-29",5,1,2539,1,1,1,83,"mm","","O218"
"2002-05-29",5,1,2539,1,1,1,91,"mm","","O218"
"2002-05-29",5,1,2539,1,2,1,65,"mm","","O218"
"2002-05-29",5,1,2539,1,2,1,66,"mm","","O218"
"2002-05-29",6,1,43,1,9,1,30,"cm","","O218"
"2002-05-29",6,1,2539,1,1,1,66,"mm","","O218"
"2002-05-29",6,1,2539,1,1,1,78,"mm","","O218"
"2002-05-29",6,1,2539,1,1,1,81,"mm","","O218"
"2002-05-29",6,1,2539,1,2,1,67,"mm","","O218"
"2002-05-29",6,1,2539,1,2,1,71,"mm","","O218"
"2002-05-29",8,1,43,1,9,1,29,"cm","","O218"
"2002-05-29",9,1,43,1,9,1,16,"cm","","O218"
"2002-05-29",9,1,43,1,9,1,17,"cm","","O218"
"2002-05-29",9,1,43,1,9,1,20,"cm","","O218"
"2002-05-29",9,1,43,1,9,1,21,"cm","","O218"
"2002-05-29",9,1,43,1,9,1,22,"cm","","O218"
"2002-05-29",9,1,43,1,9,1,24,"cm","","O218"
"2002-05-29",9,1,43,1,9,1,26,"cm","","O218"
"2002-05-29",9,1,43,1,9,1,26,"cm","","O218"
"2002-05-29",9,1,43,1,9,1,26,"cm","","O218"
"2002-05-29",9,1,43,1,9,1,27,"cm","","O218"
"2002-05-29",9,1,43,1,9,1,28,"cm","","O218"
"2002-05-29",9,1,43,1,9,1,28,"cm","","O218"
"2002-05-29",9,1,43,1,9,1,28,"cm","","O218"
"2002-05-29",9,1,43,1,9,1,32,"cm","","O218"
"2002-05-29",9,1,2550,1,1,1,42,"mm","","O218"
"2002-05-29",9,1,2550,1,1,1,43,"mm","","O218"
"2002-05-29",9,1,2550,1,1,1,55,"mm","","O218"
"2002-05-29",9,1,2550,1,1,1,55,"mm","","O218"
"2002-05-29",9,1,2550,1,1,1,57,"mm","","O218"
"2002-05-29",9,1,2550,1,1,1,64,"mm","","O218"
"2002-05-29",9,1,2550,1,1,1,72,"mm","","O218"
"2002-05-29",9,1,2550,1,1,1,73,"mm","","O218"
"2002-05-29",9,1,2550,1,1,1,76,"mm","","O218"
"2002-05-29",9,1,2550,1,2,1,35,"mm","","O218"
"2002-05-29",9,1,2550,1,2,1,36,"mm","","O218"
"2002-05-29",9,1,2550,1,2,1,39,"mm","","O218"
"2002-05-29",9,1,2550,1,2,1,39,"mm","","O218"
"2002-05-29",9,1,2550,1,2,1,41,"mm","","O218"
"2002-05-29",9,1,2550,1,2,1,56,"mm","","O218"
"2002-05-29",9,1,2550,1,2,1,57,"mm","","O218"
"2002-05-29",9,1,2550,1,2,1,62,"mm","","O218"
"2002-05-29",9,1,2550,1,2,1,64,"mm","","O218"
"2002-05-29",9,1,2550,1,2,1,64,"mm","","O218"
"2002-05-29",9,1,2550,1,2,1,75,"mm","","O218"
"2002-05-29",9,1,2550,1,2,1,84,"mm","","O218"
"2002-05-29",9,1,2550,1,2,1,132,"mm","","O218"
"2002-05-29",10,1,43,1,9,1,22,"cm","","O218"
"2002-05-29",10,1,43,1,9,1,25,"cm","","O218"
"2002-05-29",10,1,43,1,9,1,31,"cm","","O218"
"2002-05-29",10,1,2550,1,1,1,77,"mm","","O218"
"2002-05-29",11,1,43,1,9,1,11,"cm","","O218"
"2002-05-29",11,1,43,1,9,1,11,"cm","","O218"
"2002-05-29",11,1,43,1,9,1,12,"cm","","O218"
"2002-05-29",11,1,43,1,9,1,13,"cm","","O218"
"2002-05-29",11,1,43,1,9,1,13,"cm","","O218"
"2002-05-29",11,1,43,1,9,1,15,"cm","","O218"
"2002-05-29",11,1,43,1,9,1,16,"cm","","O218"
"2002-05-29",11,1,43,1,9,1,28,"cm","","O218"
"2002-05-29",11,1,43,1,9,1,34,"cm","","O218"
"2002-05-29",11,1,43,1,9,1,35,"cm","","O218"
"2002-05-29",11,1,2513,1,1,1,98,"mm","","O218"
"2002-05-29",11,1,2513,1,2,1,77,"mm","","O218"
"2002-05-29",11,1,2513,1,2,1,78,"mm","","O218"
"2002-05-29",11,1,2550,1,2,1,76,"mm","","O218"
"2002-05-29",11,1,2550,1,2,1,138,"mm","","O218"
"2002-05-30",12,1,43,1,9,1,12,"cm","","O218"
"2002-05-30",12,1,43,1,9,1,18,"cm","","O218"
"2002-05-30",12,1,43,1,9,1,19,"cm","","O218"
"2002-05-30",12,1,43,1,9,1,20,"cm","","O218"
"2002-05-30",12,1,43,1,9,1,21,"cm","","O218"
"2002-05-30",12,1,43,1,9,1,24,"cm","","O218"
"2002-05-30",12,1,43,1,9,1,27,"cm","","O218"
"2002-05-30",12,1,43,1,9,1,28,"cm","","O218"
"2002-05-30",12,1,43,1,9,1,29,"cm","","O218"
"2002-05-30",12,1,2550,1,1,1,57,"mm","","O218"
"2002-05-30",12,1,2550,1,1,1,102,"mm","","O218"
"2002-05-30",12,1,2550,1,1,1,122,"mm","","O218"
"2002-05-30",12,1,2550,1,2,1,65,"mm","","O218"
"2002-05-30",12,1,2550,1,2,1,66,"mm","","O218"
"2002-05-30",12,1,2550,1,2,1,71,"mm","","O218"
"2002-05-30",13,1,43,1,9,1,11,"cm","","O218"
"2002-05-30",13,1,43,1,9,1,13,"cm","","O218"
"2002-05-30",13,1,43,1,9,1,13,"cm","","O218"
"2002-05-30",13,1,43,1,9,1,14,"cm","","O218"
"2002-05-30",13,1,43,1,9,1,14,"cm","","O218"
"2002-05-30",13,1,43,1,9,1,15,"cm","","O218"
"2002-05-30",13,1,43,1,9,1,16,"cm","","O218"
"2002-05-30",13,1,43,1,9,1,19,"cm","","O218"
"2002-05-30",13,1,43,1,9,1,20,"cm","","O218"
"2002-05-30",13,1,43,1,9,1,21,"cm","","O218"
"2002-05-30",13,1,43,1,9,1,21,"cm","","O218"
"2002-05-30",13,1,2550,1,1,1,45,"mm","","O218"
"2002-05-30",13,1,2550,1,1,1,66,"mm","","O218"
"2002-05-30",13,1,2550,1,1,1,80,"mm","","O218"
"2002-05-30",13,1,2550,1,2,1,48,"mm","","O218"
"2002-05-30",13,1,2550,1,2,1,57,"mm","","O218"
"2002-05-30",13,1,2550,1,2,1,58,"mm","","O218"
"2002-05-30",13,1,2550,1,2,1,63,"mm","","O218"
"2002-05-30",14,1,43,1,9,1,9,"cm","","O218"
"2002-05-30",14,1,43,1,9,1,11,"cm","","O218"
"2002-05-30",14,1,43,1,9,1,11,"cm","","O218"
"2002-05-30",14,1,43,1,9,1,12,"cm","","O218"
"2002-05-30",14,1,43,1,9,1,12,"cm","","O218"
"2002-05-30",14,1,43,1,9,1,13,"cm","","O218"
"2002-05-30",14,1,43,1,9,1,13,"cm","","O218"
"2002-05-30",14,1,43,1,9,1,13,"cm","","O218"
"2002-05-30",14,1,43,1,9,1,14,"cm","","O218"
"2002-05-30",14,1,43,1,9,1,14,"cm","","O218"
