"class","description","scotia.fundy","stacac","nafo","alpha","category"
"mobile","Bottom Otter Trawl - Charter",NA,NA,"8","OTB","trawl"
"mobile","Shrimp beam trawl",NA,"9",NA,"","trawl"
"mobile","Bottom Otter Trawl - Unspecified",NA,"10","10","OTB","trawl"
"mobile","Bottom Side Otter Trawl - <70'","11","11","11","OTB1","trawl"
"mobile","Bottom Side Otter Trawl - >70'","21","11","11","OTB1","trawl"
"mobile","Bottom Stern Otter Trawl - <70'","12","12","12","OTB2","trawl"
"mobile","Bottom Stern Otter Trawl - >70'","22","12","12","OTB2","trawl"
"mobile","Midwater Otter Trawl - Charter",NA,"13","9","OTM","trawl"
"mobile","Midwater Otter Trawl - Unspecified",NA,"13","13","OTM","trawl"
"mobile","Midwater Side Otter Trawl - <70'","19","14","14","OTM1","trawl"
"mobile","Midwater Side Otter Trawl - >70'","29","14","14","OTM1","trawl"
"mobile","Midwater Stern Otter Trawl - <70'","19","15","15","OTM2","trawl"
"mobile","Midwater Stern Otter Trawl - >70'","29","15","15","OTM2","trawl"
"mobile","Bottom Pair Trawl",NA,"16","16","PTB","trawl"
"mobile","Midwater Pair Trawl",NA,"17","17","PTM","trawl"
"mobile","Semi-midwater pelagic trawl",NA,"18",NA,"","trawl"
"mobile","Shrimp Trawl <70'","10","19",NA,"TXS","trawl"
"mobile","Shrimp Trawl >70'","20","19",NA,"TXS","trawl"
"mobile","Modified shrimp midwater trawl",NA,"20",NA,"","trawl"
"mobile","Scallop Draggers <70'","13",NA,NA,"PTM","dragger"
"mobile","Scallop Draggers >70'","23",NA,NA,"PTM","dragger"
"mobile","Beam Trawl",NA,NA,"18","TBB","trawl"
"mobile","Danish Seine - Charter",NA,NA,"20","SDN","seine"
"mobile","Danish Seines","17","21","21","SDN","seine"
"mobile","Scottish Seines","18","22","22","SSC","seine"
"fixed","Beach Seines","4","24","24","SB","seine"
"fixed","tuck seine",NA,"25",NA,"","seine"
"fixed","Turbot gillnet",NA,"27",NA,"","seine"
"fixed","Cod gillnet",NA,"28",NA,"","seine"
"fixed","Mackerel gillnet",NA,"29",NA,"","seine"
"fixed","Herring gillnet",NA,"30",NA,"","seine"
"mobile","Purse Seines - Charter",NA,NA,NA,"PS","seine"
"mobile","Purse Seines <70'","15","31","31","PS","seine"
"mobile","Purse Seines >70'","25","31","31","PS","seine"
"mobile","Lampara",NA,"32",NA,"LA","seine"
"mobile","Pair Seines","55","33","23","SPR","seine"
"fixed","Plaice gillnet",NA,"34",NA,"GN","gillnet"
"fixed","Herring driftnet",NA,"35",NA,"","driftnet"
"fixed","Mackerel driftnet",NA,"36",NA,"","driftnet"
"fixed","Cod - longline",NA,"37",NA,"","longline"
"fixed","Plaice - longline",NA,"38",NA,"","longline"
"fixed","Turbot - longline",NA,"39",NA,"","longline"
"fixed","Tuna - longline",NA,"40",NA,"","longline"
"fixed","Gillnets - Charter",NA,NA,"39","GN","gillnet"
"fixed","Gillnets - Unspecified",NA,NA,"40","GN","gillnet"
"fixed","Gillnet unspecified","43",NA,NA,"GNS","gillnet"
"fixed","Drift Gillnets","5","41","41","GNS","gillnet"
"fixed","Fixed Gillnets","6","42","42","GND","gillnet"
"fixed","Gillnet unspecified",NA,"43",NA,"GN","gillnet"
"fixed","Square net",NA,"44",NA,"",""
"fixed","Box Net",NA,"45",NA,"BXN","boxnet"
"fixed","Bag net",NA,"46",NA,"",""
"fixed","Fyke net",NA,"47",NA,"",""
"fixed","Shoal Net",NA,"48",NA,"",""
"fixed","Tethered hooks",NA,"50",NA,"",""
"fixed","Longliners - Charter",NA,NA,"49","LL","longline"
"fixed","Longliners <70'","14","51","50","LLS","longline"
"fixed","Longliners >70'","24","51","50","LLS","longline"
"fixed","Set Line(near-bottom longline)",NA,"51","51","LLS","longline"
"fixed","Automated jigger - Shark jigger",NA,"52",NA,"","jigger"
"fixed","Jigger",NA,"53","53","LHP","handline"
"mobile","Troller Lines",NA,"54","54","LTL","handline"
"fixed","Mechanized Squid Jiggers - Charter",NA,NA,"56","LHM","handline"
"fixed","Mechanized Squid Jiggers","49","55","55","LHM","handline"
"fixed","Automated jigger (hand line)",NA,"56",NA,"","handline"
"fixed","Rod and reel (chumming)",NA,"58",NA,"","handline"
"fixed","Handlines","7","59","53","LHB","handline"
"fixed","Angling",NA,"60",NA,"",""
"fixed","Dory Vessel Line Gears",NA,NA,"58","LDV","handline"
"fixed","Traps","1","61","60","FIX","trap"
"fixed","Pots",NA,"62","62","FPO","pot"
"fixed","Weirs","2","63","63","FWR","weir"
"fixed","Stationary Lift Nets",NA,"64",NA,"LNS","lift net"
"fixed","Bow net",NA,"65",NA,"",""
"fixed","Japanese trap",NA,"66",NA,"",""
"fixed","Rectangular trap",NA,"67",NA,"",""
"fixed","Conical trap",NA,"68",NA,"",""
"fixed","Pyramidal trap",NA,"69",NA,"",""
"fixed","Dip net",NA,"70",NA,"",""
"fixed","Automatic gear",NA,"73",NA,"",""
"fixed","Hydraulic device",NA,"74",NA,"",""
"fixed","Diving (with or without hand tool)",NA,"75",NA,"",""
"fixed","Rope",NA,"76",NA,"",""
"fixed","Sea cucumber drag",NA,"77",NA,"",""
"fixed","Uncovered Pound Nets",NA,NA,"61","FPN","pound net"
"fixed","Rakes & Tongs","3","91",NA,"",""
"mobile","Boat Dredge",NA,"71","71","DRB","dredge"
"fixed","Hand Dredge",NA,"72","72","DRH","dredge"
"mobile","Harpoons <70'","16","81","81","HAR","harpoon"
"mobile","Harpoons >70'","26","81","81","HAR","harpoon"
"","Seal Hunting",NA,"82",NA,"",""
"fixed","Spear",NA,"83",NA,"",""
"fixed","Eel pot",NA,"84",NA,"",""
"fixed","Electric harpoon",NA,"85",NA,"",""
"fixed","Hagfish barrel",NA,"86",NA,"",""
"fixed","Trap net less than 0.15 m3",NA,"88",NA,"",""
"fixed","Trap net 0.16 to 0.30 m3",NA,"89",NA,"",""
"","Labrador Float - Cod Traps","41",NA,NA,"",""
"","Labrador Float - Longlines","44",NA,NA,"",""
"","Labrador Float - Gillnets","46",NA,NA,"",""
"","Labrador Float - Handlines","47",NA,NA,"",""
"","Labrador Float - Miscellaneous","48",NA,NA,"",""
"","Seal: Landsmen","50",NA,NA,"",""
"","Seal: 150+G.T. Front","51",NA,NA,"",""
"","Seal: 150+G.T. Gulf","52",NA,NA,"",""
"","Seal: 150-G.T. Front","53",NA,NA,"",""
"","Seal: 150-G.T. Gulf","54",NA,NA,"",""
"","Salmon Trap Nets","61",NA,NA,"",""
"","Salmon Drift Nets","65",NA,NA,"",""
"","Salmon Surface Gillnets","66",NA,NA,"",""
"","Salmon Bottom Gillnets","67",NA,NA,"",""
