date,tow.id,probe,location,position,event,time
2014-08-24,GP175F,Star Oddi DST-Tilt,footrope,center,touchdown,18:16:06
2014-08-24,GP133F,Star Oddi DST-Tilt,footrope,center,touchdown,7:15:28
2014-08-24,GP111F,Star Oddi DST-Tilt,footrope,center,touchdown,8:38:10
2014-08-24,GP110F,Star Oddi DST-Tilt,footrope,center,touchdown,9:44:38
2014-08-24,GP127F,Star Oddi DST-Tilt,footrope,center,touchdown,11:09:51
2014-08-24,GP143F,Star Oddi DST-Tilt,footrope,center,touchdown,12:15:53
2014-08-24,GP135F,Star Oddi DST-Tilt,footrope,center,touchdown,13:10:48
2014-08-24,GP154F,Star Oddi DST-Tilt,footrope,center,touchdown,14:52:38
2014-08-24,GP166F,Star Oddi DST-Tilt,footrope,center,touchdown,15:59:50
2014-08-25,GP193A1,Star Oddi DST-Tilt,footrope,center,touchdown,6:13:20
2014-08-25,GP118F,Star Oddi DST-Tilt,footrope,center,touchdown,17:39:48
2014-08-25,GP107F,Star Oddi DST-Tilt,footrope,center,touchdown,18:56:51
2014-08-25,GP169F,Star Oddi DST-Tilt,footrope,center,touchdown,8:04:28
2014-08-25,GP172F,Star Oddi DST-Tilt,footrope,center,touchdown,8:58:47
2014-08-25,GP161A3,Star Oddi DST-Tilt,footrope,center,touchdown,13:49:47
2014-08-25,GP147F,Star Oddi DST-Tilt,footrope,center,touchdown,14:52:16
2014-08-25,GP137F,Star Oddi DST-Tilt,footrope,center,touchdown,16:13:44
2014-08-26,GP078F,Star Oddi DST-Tilt,footrope,center,touchdown,6:20:06
2014-08-26,GP050F,Star Oddi DST-Tilt,footrope,center,touchdown,17:50:35
2014-08-26,GP059F,Star Oddi DST-Tilt,footrope,center,touchdown,20:10:20
2014-08-26,GP067F,Star Oddi DST-Tilt,footrope,center,touchdown,7:35:06
2014-08-26,GP066F,Star Oddi DST-Tilt,footrope,center,touchdown,9:06:05
2014-08-26,GP044A1,Star Oddi DST-Tilt,footrope,center,touchdown,16:43:22
2014-09-02,GP181F,Star Oddi DST-Tilt,footrope,center,touchdown,6:28:51
2014-09-02,GP185F,Star Oddi DST-Tilt,footrope,center,touchdown,7:25:52
2014-09-02,GP194F,Star Oddi DST-Tilt,footrope,center,touchdown,8:24:04
2014-09-02,GP198F,Star Oddi DST-Tilt,footrope,center,touchdown,9:27:28
2014-09-02,GP208F,Star Oddi DST-Tilt,footrope,center,touchdown,11:05:54
2014-09-02,GP217A1,Star Oddi DST-Tilt,footrope,center,touchdown,13:20:22
2014-09-04,GP228F,Star Oddi DST-Tilt,footrope,center,touchdown,6:19:02
2014-09-04,GP282F,Star Oddi DST-Tilt,footrope,center,touchdown,19:46:53
2014-09-04,GP236F,Star Oddi DST-Tilt,footrope,center,touchdown,7:43:13
2014-09-04,GP262F,Star Oddi DST-Tilt,footrope,center,touchdown,9:25:56
2014-09-04,GP260F,Star Oddi DST-Tilt,footrope,center,touchdown,10:44:25
2014-09-09,GP068F,Star Oddi DST-Tilt,footrope,center,touchdown,14:09:38
