species,year,fishing.zone,sub.fishing.zone,size,size.unit,size.measurement
10,,,,43,cm,fork length
12,,,,45,cm,fork length
30,,,,85,cm,fork length
40,,,,30,cm,fork length
41,,,,30,cm,fork length
42,,,,25,cm,fork length
43,,,,25,cm,fork length
60,,,,26,cm,pinched length
2526,,,,95,mm,carapace width
2550,2002,23, ,67.5,mm,carapace length
2550,2003,23, ,68.5,mm,carapace length
2550,2004,23, ,70,mm,carapace length
2550,2005,23, ,70,mm,carapace length
2550,2006,23, ,70,mm,carapace length
2550,2007,23, ,70,mm,carapace length
2550,2008,23,A,71,mm,carapace length
2550,2009,23,A,72,mm,carapace length
2550,2010,23,A,73,mm,carapace length
2550,2011,23,A,74,mm,carapace length
2550,2008,23,B,71,mm,carapace length
2550,2009,23,B,72,mm,carapace length
2550,2010,23,B,73,mm,carapace length
2550,2011,23,B,74,mm,carapace length
2550,2008,23,C,70,mm,carapace length
2550,2009,23,C,72,mm,carapace length
2550,2010,23,C,72,mm,carapace length
2550,2011,23,C,72,mm,carapace length
2550,2008,23,D,70,mm,carapace length
2550,2009,23,D,72,mm,carapace length
2550,2010,23,D,72,mm,carapace length
2550,2011,23,D,72,mm,carapace length
2550,2002,24, ,67.5,mm,carapace length
2550,2003,24, ,68.5,mm,carapace length
2550,2004,24, ,69.5,mm,carapace length
2550,2005,24, ,70,mm,carapace length
2550,2006,24, ,70,mm,carapace length
2550,2007,24, ,70,mm,carapace length
2550,2008,24, ,70,mm,carapace length
2550,2009,24, ,70,mm,carapace length
2550,2010,24, ,70,mm,carapace length
2550,2011,24, ,71,mm,carapace length
2550,2002,25, ,67.5,mm,carapace length
2550,2003,25, ,68.5,mm,carapace length
2550,2004,25, ,70,mm,carapace length
2550,2005,25, ,70,mm,carapace length
2550,2006,25, ,70,mm,carapace length
2550,2007,25, ,70,mm,carapace length
2550,2008,25, ,70,mm,carapace length
2550,2009,25, ,70,mm,carapace length
2550,2010,25, ,70,mm,carapace length
2550,2011,25, ,71,mm,carapace length
2550,2002,26A, ,67.5,mm,carapace length
2550,2003,26A, ,68.5,mm,carapace length
2550,2004,26A, ,69.5,mm,carapace length
2550,2005,26A, ,70,mm,carapace length
2550,2006,26A, ,70,mm,carapace length
2550,2007,26A, ,70,mm,carapace length
2550,2008,26A, ,70,mm,carapace length
2550,2009,26A, ,70,mm,carapace length
2550,2010,26A, ,70,mm,carapace length
2550,2011,26A, ,71,mm,carapace length
2550,2005,26A,2,71.5,mm,carapace length
2550,2006,26A,2,71.5,mm,carapace length
2550,2007,26A,2,71.5,mm,carapace length
2550,2008,26A,2,73,mm,carapace length
2550,2009,26A,2,73,mm,carapace length
2550,2010,26A,2,73,mm,carapace length
2550,2011,26A,2,73,mm,carapace length
2550,2002,26A,3,70,mm,carapace length
2550,2003,26A,3,70,mm,carapace length
2550,2004,26A,3,70,mm,carapace length
2550,2005,26A,3,73,mm,carapace length
2550,2006,26A,3,76,mm,carapace length
2550,2007,26A,3,76,mm,carapace length
2550,2008,26A,3,76,mm,carapace length
2550,2009,26A,3,76,mm,carapace length
2550,2010,26A,3,76,mm,carapace length
2550,2011,26A,3,76,mm,carapace length
2550,2002,26B, ,70,mm,carapace length
2550,2003,26B, ,72,mm,carapace length
2550,2004,26B, ,73,mm,carapace length
2550,2005,26B, ,74,mm,carapace length
2550,2006,26B, ,75,mm,carapace length
2550,2007,26B, ,76,mm,carapace length
2550,2008,26B,North,77,mm,carapace length
2550,2009,26B,North,78,mm,carapace length
2550,2010,26B,North,79,mm,carapace length
2550,2011,26B,North,80,mm,carapace length
2550,2008,26B,South,76,mm,carapace length
2550,2009,26B,South,76,mm,carapace length
2550,2010,26B,South,77,mm,carapace length
2550,2011,26B,South,79,mm,carapace length
