"date","tow.id","probe","location","position","event","time"
"2021-07-12","XP001","","","","stop","7:53:08"
"2021-07-12","XP002","","","","stop","9:23:48"
"2021-07-12","XP003","","","","stop","10:43:50"
"2021-07-12","XP004","","","","stop","12:01:14"
"2021-07-12","XP005","","","","stop","13:33:06"
"2021-07-12","XP006","","","","stop","14:45:07"
"2021-07-12","XP007","","","","stop","15:52:12"
"2021-07-12","XP008","","","","stop","17:13:11"
"2021-07-13","XP009","","","","stop","7:44:29"
"2021-07-13","XP010","","","","stop","8:40:53"
"2021-07-13","XP011","","","","stop","9:38:23"
"2021-07-13","XP012","","","","stop","10:38:08"
"2021-07-13","XP013","","","","stop","11:39:00"
"2021-07-13","XP014","","","","stop","12:46:11"
"2021-07-13","XP015","","","","stop","13:46:24"
"2021-07-13","XP016","","","","stop","14:52:45"
"2021-07-13","XP017","","","","stop","15:56:30"
"2021-07-13","XP018","","","","stop","16:53:25"
"2021-07-13","XP019","","","","stop","17:55:35"
"2021-07-13","XP020","","","","stop","18:53:53"
"2021-07-12","XP001","Star Oddi DST-Tilt","door","starboard","touchdown","7:48:00"
"2021-07-12","XP002","Star Oddi DST-Tilt","door","starboard","touchdown","9:18:31"
"2021-07-12","XP003","Star Oddi DST-Tilt","door","starboard","touchdown","10:38:32"
"2021-07-12","XP004","Star Oddi DST-Tilt","door","starboard","touchdown","11:56:00"
"2021-07-12","XP005","Star Oddi DST-Tilt","door","starboard","touchdown","13:27:37"
"2021-07-12","XP006","Star Oddi DST-Tilt","door","starboard","touchdown","14:39:51"
"2021-07-12","XP007","Star Oddi DST-Tilt","door","starboard","touchdown","15:46:52"
"2021-07-12","XP008","Star Oddi DST-Tilt","door","starboard","touchdown","17:07:42"
"2021-07-13","XP009","Star Oddi DST-Tilt","door","starboard","touchdown","7:39:16"
"2021-07-13","XP010","Star Oddi DST-Tilt","door","starboard","touchdown","8:35:38"
"2021-07-13","XP011","Star Oddi DST-Tilt","door","starboard","touchdown","9:33:04"
"2021-07-13","XP012","Star Oddi DST-Tilt","door","starboard","touchdown","10:32:47"
"2021-07-13","XP013","Star Oddi DST-Tilt","door","starboard","touchdown","11:33:49"
"2021-07-13","XP014","Star Oddi DST-Tilt","door","starboard","touchdown","12:41:03"
"2021-07-13","XP015","Star Oddi DST-Tilt","door","starboard","touchdown","13:40:55"
"2021-07-13","XP016","Star Oddi DST-Tilt","door","starboard","touchdown","14:47:23"
"2021-07-13","XP017","Star Oddi DST-Tilt","door","starboard","touchdown","15:51:06"
"2021-07-13","XP018","Star Oddi DST-Tilt","door","starboard","touchdown","16:48:00"
"2021-07-13","XP019","Star Oddi DST-Tilt","door","starboard","touchdown","17:50:12"
"2021-07-13","XP020","Star Oddi DST-Tilt","door","starboard","touchdown","18:48:39"
"2021-07-12","XP001","Star Oddi DST-Tilt","door","starboard","liftoff","7:54:47"
"2021-07-12","XP002","Star Oddi DST-Tilt","door","starboard","liftoff","9:23:54"
"2021-07-12","XP003","Star Oddi DST-Tilt","door","starboard","liftoff","10:43:49"
"2021-07-12","XP004","Star Oddi DST-Tilt","door","starboard","liftoff","12:01:17"
"2021-07-12","XP005","Star Oddi DST-Tilt","door","starboard","liftoff","13:33:07"
"2021-07-12","XP006","Star Oddi DST-Tilt","door","starboard","liftoff","14:45:08"
"2021-07-12","XP007","Star Oddi DST-Tilt","door","starboard","liftoff","15:52:13"
"2021-07-12","XP008","Star Oddi DST-Tilt","door","starboard","liftoff","17:14:26"
"2021-07-13","XP009","Star Oddi DST-Tilt","door","starboard","liftoff","7:45:51"
"2021-07-13","XP010","Star Oddi DST-Tilt","door","starboard","liftoff","8:40:44"
