project,year,id,vessel,type,start.month,start.day,end.month,end.day,trawl.type,trawl.sensor,minilog,star-oddi
rvs,1970,P079,E.E. Prince,,,,,,Yankee 36,,,
rvs,1971,P091,E.E. Prince,,,,,,Yankee 36,,,
rvs,1972,P106,E.E. Prince,,,,,,Yankee 36,,,
rvs,1973,P122,E.E. Prince,,,,,,Yankee 36,,,
rvs,1974,P143,E.E. Prince,,,,,,Yankee 36,,,
rvs,1975,P157,E.E. Prince,,,,,,Yankee 36,,,
rvs,1976,P172,E.E. Prince,,,,,,Yankee 36,,,
rvs,1977,P188,E.E. Prince,,,,,,Yankee 36,,,
rvs,1978,P204,E.E. Prince,,,,,,Yankee 36,,,
rvs,1979,P229,E.E. Prince,,,,,,Yankee 36,,,
rvs,1980,P244,E.E. Prince,,,,,,Yankee 36,,,
rvs,1981,P260,E.E. Prince,,,,,,Yankee 36,,,
rvs,1982,P278,E.E. Prince,,,,,,Yankee 36,,,
rvs,1983,P296,E.E. Prince,,,,,,Yankee 36,,,
rvs,1984,P312,E.E. Prince,,,,,,Yankee 36,,,
rvs,1985,P327,E.E. Prince,,,,,,Yankee 36,,,
rvs,1985,H141,Lady Hammond,,,,,,Western IIA,,,
rvs,1986,H159,Lady Hammond,,,,,,Western IIA,,,
rvs,1987,H179,Lady Hammond,,,,,,Western IIA,,,
rvs,1988,H192,Lady Hammond,,,,,,Western IIA,,,
rvs,1989,H204,Lady Hammond,,,,,,Western IIA,,,
rvs,1990,H219,Lady Hammond,,,,,,Western IIA,,,
rvs,1991,H232,Lady Hammond,,,,,,Western IIA,,,
rvs,1992,N176,CCGS Alfred Needler,,,,,,Western IIA,,,
rvs,1992,N178,CCGS Alfred Needler,,,,,,Western IIA,,,
rvs,1992,H245,Lady Hammond,,,,,,Western IIA,,,
rvs,1993,N192,CCGS Alfred Needler,,,,,,Western IIA,,,
rvs,1994,N210,CCGS Alfred Needler,,,,,,Western IIA,,,
rvs,1995,N230,CCGS Alfred Needler,,,,,,Western IIA,,,
rvs,1996,N249,CCGS Alfred Needler,,,,,,Western IIA,,,
rvs,1997,N746,CCGS Alfred Needler,,,,,,Western IIA,,,
rvs,1998,N846,CCGS Alfred Needler,,,,,,Western IIA,,,
rvs,1999,N941,CCGS Alfred Needler,,,,,,Western IIA,,,
rvs,2000,N045,CCGS Alfred Needler,,,,,,Western IIA,,,
rvs,2001,N150,CCGS Alfred Needler,,,,,,Western IIA,,,
rvs,2002,N251,CCGS Alfred Needler,,,,,,Western IIA,,,
rvs,2003,T352,CCGS Wilfred Templeman,,,,,,Western IIA,,,
rvs,2004,T434,CCGS Teleost,,,,,,Western IIA,,,
rvs,2004,N446,CCGS Alfred Needler,,,,,,Western IIA,,,
rvs,2005,T507,CCGS Teleost,,,,,,Western IIA,,,
rvs,2005,N542,CCGS Teleost,,,,,,Western IIA,,,
rvs,2006,T678,CCGS Teleost,,,,,,Western IIA,,,
rvs,2007,T749,CCGS Teleost,,,,,,Western IIA,,,
rvs,2008,T815,CCGS Teleost,,,,,,Western IIA,,,
rvs,2009,T992,CCGS Teleost,,,,,,Western IIA,,,
rvs,2010,T074,CCGS Teleost,,,,,,Western IIA,,,
rvs,2011,T194,CCGS Teleost,,,,,,Western IIA,,,
rvs,2012,T205,CCGS Teleost,,,,,,Western IIA,,,
