"tow.id","longitude","latitude","new.station","zone","fish.sample","longitude.alt1","latitude.alt1","longitude.alt2","latitude.alt2","longitude.alt3","latitude.alt3"
"GP001F",-65.6297833333333,47.9750333333333,"No","12","Yes",-65.6757146119361,47.9968220402211,-65.6921087298112,47.995306433456,-65.6209853328724,47.9950518694534
"GP002F",-65.5396666666667,47.78715,"No","12","No",-65.6111628292502,47.8828193088208,-65.535270646148,47.8767782066177,-65.5382434415303,47.8806877780203
"GP003F",-65.4924333333333,47.9162666666667,"No","12","No",-65.5103624024562,47.9281774284156,-65.4708140411095,47.9410436563855,-65.5006201252243,47.8982176688495
"GP004F",-65.4829833333333,47.8618666666667,"No","12","No",-65.5265452075331,47.8430610197098,-65.3759952533675,47.8063295376099,-65.459458553194,47.8299585886652
"GP005F",-65.34525,47.9595333333333,"No","12","Yes",-65.2676614946184,47.927313442621,-65.2904562291851,47.9433268456113,-65.1974032202461,47.9652462785341
"GP006F",-65.2072,47.89385,"No","12","No",-65.3162108728051,47.8724606832272,-65.3057361587128,47.8963909613759,-65.2717162662117,47.8938482420982
"GP007F",-65.1861,47.9284333333333,"No","12","No",-65.1402672653916,47.9835080994882,-65.1874901110343,47.9365792189274,-65.1762774578262,47.9722367563765
"GP008F",-65.1386833333333,47.89695,"No","12","No",-65.0523590752089,47.8740553651972,-65.1413433127339,47.8792521609642,-65.1759382634028,47.8711936142474
"GP009F",-64.98445,47.88685,"No","12","Yes",-64.9942552461564,47.8836862373336,-64.9665009877739,47.8891986707253,-64.9956981873603,47.9037508417184
"GP010F",-64.9908166666667,48.0418,"No","12","No",-64.9505898273515,48.0701671553566,-64.8997639221168,48.1150157272176,-64.951853446918,48.0615420845661
"GP011F",-65.0151,47.9515666666667,"No","12","No",-64.934619056043,47.9372732960404,-64.8752888520044,47.9700744235732,-65.0114076139748,47.9714394514746
"GP012F",-64.7755833333333,48.0646,"No","12","No",-64.6881839628,48.0304303240192,-64.7519774479375,48.0311231676082,-64.7565876380437,48.0347635076677
"GP013F",-64.6769666666667,48.2439166666667,"No","12","No",-64.6234642090335,48.188831869072,-64.6744347288292,48.2390449771445,-64.5779358140922,48.2438765616869
"GP014F",-64.3617166666667,48.3442,"No","12","No",-64.4552269253508,48.2624725518808,-64.3511118400802,48.3695719797948,-64.4272365283496,48.3058307464511
"GP015F",-64.47045,48.1190166666667,"No","12","No",-64.4994013549054,48.11188830638,-64.472028080413,48.1177437941325,-64.4854805186766,48.1380946859468
