abbreviation,region.english,region.french,description.english,description.french
g,Gulf,Golfe,Gulf Fisheries Centre,Centre des Peches du Golfe
m,Maritimes,Maritime,Bedford Institute of Oceanography,Institut Oceanographique de Bedford
q,Quebec,Quebec,Maurice-Lamontagne Institute,Institut Maurice-Lamontagne
n,Newfoundland,Terre-Neuve,Newfoundland and Labrador,Region Terre-Neuve
a,Arctic,Arctique,Central and Arctic,Region Centrale et Arctique
p,Pacific,Pacifique,Pacific,Pacific Biologic Station
