name,date.closed,comment
GZ37,2022-05-24,
Sector 1,2021-06-16,
GW35,2021-04-29,
GX41,2021-05-17,
GY36,2021-05-04,
GZ36,2021-05-06,
GZ39,2021-05-27,
GZ40,2021-05-27,
GZ41,2021-05-13,
HA39,2021-05-20,
HA41,2021-05-20,
HB40,2021-04-26,
HE47,2021-05-12,
HH52,2021-05-26,
GX32,2021-06-03,
GV36,2021-06-03,AREA 12 PORTION / PORTION de la ZONE 12
GT35,2019-06-27,
GT36,2019-06-17,
GW33,2019-06-30,
GW36,2019-06-13,
GZ39,2019-06-19,
HC38,2019-06-25,
HC39,2018-06-24,
HC42,2019-06-30,
HD46,2018-06-20,
HE44,2019-05-23,
HE45,2018-06-24,
HG51,2019-06-12,
HH51,2018-06-28,
Sector A,2021-07-30,
Sector B,2021-07-30,
Sector F,2021-07-30,
Sector C,2021-07-30,
Sector E,2021-07-30,
Sector D,2021-08-06,
GW33,2022-06-23,
GW34,2022-06-30,
GZ37,2022-05-24,
Sector B,2022-08-05,
Sector C,2022-07-30,
Sector E,2022-07-30,
Sector F,2022-07-30,
HE47,2021-05-30,
Sector E,2022-07-29,
HE47,2023-05-30,
Sector E,2023-07-29,
Sector G,2023-07-29
