"date","zone","tow.id","tow.number","valid","longitude","latitude","longitude.start.logbook","longitude.end.logbook","latitude.start.logbook","latitude.end.logbook","start.time","end.time","start.time.logbook","end.time.logbook","depth","bottom.temperature","warp","swept.area","swept.area.method","groundfish.sample","water.sample","comment","haul.time","touchdown.time","liftoff.time"
"2017-07-10","F","GP354F",1,1,NA,NA,6023645,6023437,4722923,4723031,"08:49:20","08:54:54","08:49:56","08:54:54",44,1,125,3262,"model",1,0,"Stable ~ 2.0 kts","8:57:44","8:49:27","8:56:00"
"2017-07-10","F","GP351F",2,1,NA,NA,6028045,6027886,4725712,4725852,"10:05:43","10:11:11","10:06:09","10:11:11",51,1.5,150,3028,"model",1,0,"Stable ~ 2.0 kts","10:14:32","10:05:47","10:12:39"
"2017-07-10","F","GP353F",3,1,NA,NA,6024250,6024065,4731518,4731639,"11:27:41","11:32:39","11:27:41","11:32:39",165,6.6,475,2592.5,"average",0,0,"Stable ~ 2.1 kts","11:46:31","11:26:58","11:39:12"
"2017-07-10","F","GP352F",4,1,NA,NA,6026830,6026621,4733541,4733647,"12:56:05","13:01:05","12:54:01","13:01:05",125,5.8,375,1726,"model",0,0,"Force a cause de vase ~ 2.0 kts","13:10:51","12:53:59","13:04:48"
"2017-07-10","F","GP350F",5,1,NA,NA,6029181,6028981,4730609,4730730,"14:15:37","14:21:14","14:16:09","14:21:14",77,3.3,225,2929,"model",0,0,"Stable ~ 2.1 kts","14:26:29","14:15:48","14:22:48"
"2017-07-10","12","GP346F",6,1,NA,NA,6036531,6036383,4728744,4728890,"15:34:02","15:39:22","15:34:22","15:39:22",42,0.9,125,2590,"model",1,0,"Stable ~ 2.1 kts","15:42:17","15:34:04","15:40:19"
"2017-07-10","F","GP342F",7,1,NA,NA,6041552,6041416,4734186,4734340,"16:52:19","16:57:34","16:52:31","16:57:34",31,0.8,100,2576,"model",0,0,"Stable ~ 2.1 kts","16:59:50","16:52:16","16:58:18"
"2017-07-10","F","GP334F",8,1,NA,NA,6051910,6051732,4733644,4733780,"18:14:56","18:20:05","18:15:05","18:20:05",27,0.7,75,2346,"model",1,0,"Stable ~ 2.1 kts","18:21:40","18:14:49","18:20:19"
"2017-07-10","F","GP323F",9,1,NA,NA,6100015,6100256,4737544,4737622,"19:29:37","19:34:54","19:29:54","19:34:54",21,3.3,75,2833,"model",0,0,"Stable ~ 2.2 kts","19:36:29","19:29:29","19:35:34"
"2017-07-10","F","GP325F",10,1,NA,NA,6057369,6057248,4746788,4746937,"20:59:45","21:04:33","20:59:33","21:04:33",30,0.8,100,2459,"model",0,0,"Stable ~ 2.1 kts","21:07:21","20:59:36","21:05:53"
"2017-07-11","F","GP335F",1,1,NA,NA,6049960,6049898,4746063,4746234,"05:24:39","05:29:55","05:24:59","05:29:55",38,0.7,125,2572,"model",0,0,"Stable ~ 2.1 kts","5:32:55","5:24:38","5:31:09"
"2017-07-11","F","GP344F",2,1,NA,NA,6040628,6040585,4744435,4744613,"06:41:37","06:47:11","06:42:10","06:47:11",46,0.9,150,2601,"model",0,0,"Stable ~ 2.1 kts","6:50:34","6:41:42","6:48:32"
"2017-07-11","F","GP341F",3,1,NA,NA,6041662,6041498,4748770,4748909,"07:42:58","07:48:17","07:43:17","07:48:17",105,4.5,325,2547,"model",0,0,"Stable ~ 2.1 kts","7:56:33","7:43:04","7:51:36"
"2017-07-11","F","GP331F",4,1,NA,NA,6054064,6053962,4749761,4749924,"09:28:20","09:33:36","09:28:37","09:33:36",39,0.5,125,2643,"model",1,0,"Stable ~ 2.1 kts","9:36:49","9:28:19","9:34:41"
"2017-07-11","F","GP326F",5,1,NA,NA,6057913,6057790,4749184,4749341,"10:27:42","10:32:43","10:27:42","10:32:43",33,0.4,100,2612.9,"average",0,0,"Stable ~ 2.1 kts","10:34:54","10:27:28","10:33:25"
"2017-07-11","F","GP315F",6,0,NA,NA,6105139,6105004,4750719,4750882,"11:37:22","11:42:22","11:37:22","11:42:22",30,0.6,100,NA,"",0,0,"Chalut dechire (aile et poche) - accrochages ~ 2.1 kts","11:44:32","        ","        "
"2017-07-11","12","GP315A1",7,0,NA,NA,6113949,6113798,4754190,4754346,"13:33:24","13:38:23","13:33:24","13:38:23",30,0.6,100,NA,"",0,0,"Chalut dechire (aile et belly) - accroche et force ~ 2.2 kts","13:40:36","        ","        "
