grid,date.close,date.open
GV42,5/8/2020,
GV44,5/8/2020,
GW42,5/8/2020,
GW43,5/8/2020,
GW44,5/8/2020,
GW45,5/16/2020,
GW46,5/16/2020,
GX45,5/16/2020,
GX46,5/16/2020,
GY45,5/16/2020,
GY46,5/16/2020,
GX42,5/21/2020,
GX43,5/21/2020,
GX44,5/21/2020,
GY42,5/21/2020,
GY43,5/21/2020,
GY44,5/21/2020,
GV40,5/25/2020,
GV41,5/25/2020,
GW40,5/25/2020,
GW41,5/25/2020,
GZ40,5/31/2020,
GZ41,5/31/2020,
GZ42,5/31/2020,
HA40,5/31/2020,
HA41,5/31/2020,
HA42,5/31/2020,
GY35,6/2/2020,
GY36,6/2/2020,
GY37,6/2/2020,
GZ35,6/2/2020,
GZ36,6/2/2020,
GZ37,6/2/2020,
HA35,6/2/2020,
HA36,6/2/2020,
HA37,6/2/2020,
GV37,6/5/2020,
GV38,6/5/2020,
GW36,6/5/2020,
GW37,6/5/2020,
GW38,6/5/2020,
GX36,6/5/2020,
GX37,6/5/2020,
GX38,6/5/2020,
GX40,6/5/2020,
GY38,6/5/2020,
GV36,6/5/2020,
GZ38,6/7/2020,
GZ39,6/7/2020,
HA38,6/7/2020,
HA39,6/7/2020,
HB37,6/7/2020,
HB38,6/7/2020,
HB39,6/7/2020,
GU37,6/10/2020,
GU38,6/10/2020,
GV39,6/10/2020,
GW39,6/10/2020,
GX39,6/10/2020,
GU36,6/10/2020,
GU39,6/14/2020,
GY39,6/14/2020,
GY40,6/17/2020,
GT37,6/17/2020,
GT38,6/17/2020,
GT36,6/17/2020,
GT39,6/23/2020,
GT40,6/23/2020,
GU40,6/23/2020,
GX35,6/26/2020,
GU41,7/5/2020,
HB35,7/16/2020,
HB36,7/16/2020,
HB40,7/24/2020,
HB41,7/24/2020,
GV34,7/26/2020,
GV33,7/26/2020,
GV35,7/26/2020,
GW33,7/26/2020,
GW34,7/26/2020,
GW35,7/26/2020,
GX33,7/26/2020,
GX34,7/26/2020,
GY41,7/30/2020,
GN27,7/30/2020,
GN28,7/30/2020,
GN29,7/30/2020,
GO27,7/30/2020,
GO28,7/30/2020,
GO29,7/30/2020,
GL32,8/9/2020,
GL33,8/9/2020,
GL34,8/9/2020,
GM32,8/9/2020,
GM33,8/9/2020,
GL31,8/9/2020,
GM31,8/9/2020,
