grid,date.close,date.open
GN30,8/9/2020,
GN31,8/9/2020,
GN32,8/9/2020,
GN33,8/9/2020,
GK32,8/9/2020,
GK33,8/9/2020,
GK34,8/9/2020,
GM35,8/9/2020,
GM34,8/9/2020,
GN34,8/10/2020,
GT42,8/14/2020,
GW32,8/14/2020,
GX31,8/14/2020,
GX32,8/16/2020,
GK35,8/15/2020,
GL35,8/15/2020,
GM35,8/15/2020,
GK31,8/16/2020,
GL30,8/19/2020,
GM30,8/19/2020,
GY31,8/19/2020,
GY32,8/19/2020,
GX41,8/22/2020,
GT47,8/23/2020,
GT48,8/23/2020,
GU47,8/23/2020,
GU48,8/23/2020,
GV47,8/23/2020,
GV48,8/23/2020,
GS45,8/23/2020,
GS46,8/23/2020,
GT45,8/23/2020,
GT46,8/23/2020,
GU45,8/23/2020,
GU46,8/23/2020,
GS44,8/29/2020,
GT44,8/29/2020,
GL39,9/2/2020,
GL40,9/2/2020,
GM39,9/2/2020,
GM40,9/2/2020,
HC41,9/18/2020,
GO31,9/20/2020,
GO32,9/20/2020,
GO33,9/20/2020,
GP36,9/20/2020,
GP37,9/20/2020,
GP38,9/20/2020,
GQ36,9/20/2020,
GQ37,9/20/2020,
GQ38,9/20/2020,
GR36,9/20/2020,
GR37,9/20/2020,
GR38,9/20/2020,
GP31,10/2/2020,
GP32,10/2/2020,
GP33,10/2/2020,
GQ33,10/2/2020,
GS43,10/8/2020,
GS44,10/8/2020,
GT43,10/8/2020,
GZ46,10/8/2020,
HA45,10/8/2020,
HA46,10/8/2020,
HB45,10/8/2020,
HB46,10/8/2020,
HB47,10/8/2020,
HC45,10/8/2020,
HC46,10/8/2020,
HC47,10/8/2020,
HC39,10/16/2020,
HC40,10/16/2020,
HD39,10/16/2020,
HD40,10/16/2020,
HD41,10/16/2020,
GY47,10/16/2020,
GY48,10/16/2020,
GZ47,10/16/2020,
GZ48,10/16/2020,
HA47,10/16/2020,
HA48,10/16/2020,
GU43,5/8/2020,5/22/2020
GU44,5/8/2020,5/22/2020
GV43,5/8/2020,5/22/2020
GX52,5/16/2020,5/26/2020
GX53,5/16/2020,5/26/2020
GX54,5/16/2020,5/26/2020
GV52,5/16/2020,5/28/2020
GV53,5/16/2020,5/28/2020
GV54,5/16/2020,5/28/2020
GW52,5/16/2020,5/28/2020
GW53,5/16/2020,5/28/2020
GW54,5/16/2020,5/28/2020
GQ39,5/21/2020,6/2/2020
GR39,5/21/2020,6/2/2020
GR40,5/21/2020,6/2/2020
GR41,5/21/2020,6/2/2020
GS39,5/21/2020,6/2/2020
GS40,5/21/2020,6/2/2020
GS41,5/21/2020,6/2/2020
GQ40,5/21/2020,6/2/2020
GQ41,5/21/2020,6/2/2020
GV45,5/21/2020,6/9/2020
GV46,5/21/2020,6/9/2020
GU40,5/25/2020,6/9/2020
GU42,5/8/2020,6/11/2020
GU41,5/25/2020,6/11/2020
GW48,5/28/2020,6/12/2020
GW49,5/28/2020,6/12/2020
GW50,5/28/2020,6/12/2020
GX48,5/28/2020,6/12/2020
GX49,5/28/2020,6/12/2020
GX50,5/28/2020,6/12/2020
GY48,5/28/2020,6/12/2020
GY49,5/28/2020,6/12/2020
GY50,5/28/2020,6/12/2020
GY40,5/31/2020,6/12/2020
GY41,5/31/2020,6/12/2020
GW35,6/5/2020,6/17/2020
GV35,6/5/2020,6/17/2020
GX35,6/5/2020,6/17/2020
HC38,6/7/2020,6/19/2020
HC39,6/7/2020,6/19/2020
HC37,6/7/2020,6/19/2020
GX41,6/5/2020,6/23/2020
HA34 ,6/10/2020,6/23/2020
GZ34,6/10/2020,6/23/2020
GS36,6/22/2020,6/23/2020
GS37,6/22/2020,6/23/2020
GS35,6/22/2020,6/23/2020
GT35,6/22/2020,6/23/2020
GU35,6/22/2020,6/23/2020
HB40,6/14/2020,6/25/2020
HB41,6/14/2020,6/25/2020
HB42,6/14/2020,6/25/2020
GW47,5/16/2020,10/27/2020
GX47,5/16/2020,10/27/2020
GY47,5/16/2020,10/27/2020
GO31,7/4/2020,7/16/2020
GO32,7/4/2020,7/16/2020
GO33,7/4/2020,7/16/2020
GP31,7/4/2020,7/16/2020
GP32,7/4/2020,7/16/2020
GP33,7/4/2020,7/16/2020
GQ31,7/4/2020,7/16/2020
GQ32,7/4/2020,7/16/2020
GQ33,7/4/2020,7/16/2020
GX41,7/7/2020,7/19/2020
GY41,7/7/2020,7/19/2020
GT41,7/5/2020,7/21/2020
GU42,7/22/2020,8/1/2020
GX41,7/22/2020,8/3/2020
HQ20,7/26/2020,8/5/2020
HP18,7/26/2020,8/5/2020
HP19,7/26/2020,8/5/2020
HP20,7/26/2020,8/5/2020
HQ18,7/26/2020,8/5/2020
HQ19,7/26/2020,8/5/2020
HR19,7/26/2020,8/5/2020
GM30,8/9/2020,8/6/2020
HC39,7/24/2020,8/11/2020
HC40,7/24/2020,8/11/2020
HC41,7/24/2020,8/11/2020
HR20,7/26/2020,8/11/2020
HR21,7/31/2020,8/11/2020
HR22,7/31/2020,8/11/2020
HS20,7/31/2020,8/11/2020
HS21,7/31/2020,8/11/2020
HS22,7/31/2020,8/11/2020
HT20,7/31/2020,8/11/2020
HT21,7/31/2020,8/11/2020
HT22,7/31/2020,8/11/2020
HB42,7/30/2020,8/11/2020
GM27,7/30/2020,8/12/2020
GM28,7/30/2020,8/12/2020
GM29,7/30/2020,8/12/2020
GS37,7/25/2020,8/18/2020
GS38,7/25/2020,8/18/2020
GS39,7/25/2020,8/18/2020
GP22,8/9/2020,8/18/2020
GP23,8/9/2020,8/18/2020
GP24,8/9/2020,8/18/2020
GP27,8/9/2020,8/18/2020
GP28,8/9/2020,8/18/2020
GP29,8/9/2020,8/18/2020
GP30,8/9/2020,8/18/2020
GO30,8/9/2020,8/18/2020
GO31,8/9/2020,8/18/2020
GQ22,8/9/2020,8/18/2020
GQ23,8/9/2020,8/18/2020
GQ24,8/9/2020,8/18/2020
GO32,8/10/2020,8/19/2020
GO33,8/10/2020,8/19/2020
GT41,8/14/2020,8/26/2020
GU42,8/14/2020,8/26/2020
HC57,8/14/2020,8/25/2020
HC58,8/14/2020,8/25/2020
HC59,8/14/2020,8/25/2020
HD57,8/14/2020,8/25/2020
HD58,8/14/2020,8/25/2020
HD59,8/14/2020,8/25/2020
HE53,8/19/2020,9/2/2020
HE54,8/19/2020,9/2/2020
HE55,8/19/2020,9/2/2020
HF53,8/19/2020,9/2/2020
HF54,8/19/2020,9/2/2020
HF55,8/19/2020,9/2/2020
HG53,8/19/2020,9/2/2020
HG54,8/19/2020,9/2/2020
GS47,8/23/2020,9/3/2020
GT49,8/23/2020,9/3/2020
GU49,8/23/2020,9/5/2020
GV49,8/23/2020,9/5/2020
GY54,8/22/2020,9/9/2020
GY55,8/22/2020,9/9/2020
GY56,8/22/2020,9/9/2020
GZ54,8/22/2020,9/9/2020
GZ55,8/22/2020,9/9/2020
GZ56,8/22/2020,9/9/2020
HA54,8/22/2020,9/9/2020
HA55,8/22/2020,9/9/2020
HA56,8/22/2020,9/9/2020
GR42,8/29/2020,9/9/2020
GR43,8/29/2020,9/9/2020
GR44,8/29/2020,9/9/2020
GS42,8/29/2020,9/9/2020
GS43,8/29/2020,9/9/2020
GK30,8/29/2020,9/9/2020
GL36,8/29/2020,9/9/2020
GM36,8/29/2020,9/9/2020
GV46,8/30/2020,9/9/2020
GO33,8/29/2020,9/15/2020
GO34,8/29/2020,9/15/2020
GO35,8/29/2020,9/15/2020
GU44,9/2/2020,9/15/2020
GM38,9/2/2020,9/15/2020
GL38,9/2/2020,9/15/2020
GN35,8/29/2020,9/15/2020
HS20,9/6/2020,9/16/2020
HS21,9/6/2020,9/16/2020
HS22,9/6/2020,9/16/2020
HT20,9/6/2020,9/16/2020
HT21,9/6/2020,9/16/2020
HT22,9/6/2020,9/16/2020
HU21,9/6/2020,9/16/2020
HU22,9/6/2020,9/16/2020
GX30,9/10/2020,9/22/2020
GY30,9/10/2020,9/22/2020
HD39,9/18/2020,9/29/2020
HD40,9/18/2020,9/29/2020
HD41,9/18/2020,9/29/2020
HE39,9/18/2020,9/29/2020
HE40,9/18/2020,9/29/2020
HE41,9/18/2020,9/29/2020
GL27,9/18/2020,9/29/2020
GL28,9/18/2020,9/29/2020
GL29,9/18/2020,9/29/2020
GM27,9/18/2020,9/29/2020
GM28,9/18/2020,9/29/2020
GM29,9/18/2020,9/29/2020
GK27,9/18/2020,9/29/2020
GK28,9/18/2020,9/29/2020
GK29,9/18/2020,9/29/2020
HC39,9/18/2020,9/29/2020
HC40,9/18/2020,9/29/2020
IE28,9/18/2020,9/29/2020
HA43,9/20/2020,9/30/2020
HB42,9/20/2020,9/30/2020
HB43,9/20/2020,9/30/2020
HC42,9/20/2020,9/30/2020
HC43,9/20/2020,9/30/2020
IA29,9/20/2020,10/6/2020
IB26,9/14/2020,10/6/2020
IB27,9/14/2020,10/6/2020
IB28,9/14/2020,10/6/2020
IC26,9/14/2020,10/6/2020
IC27,9/14/2020,10/6/2020
IC28,9/14/2020,10/6/2020
ID26,9/14/2020,10/6/2020
ID27,9/14/2020,10/6/2020
ID28,9/14/2020,10/6/2020
GS36,9/26/2020,10/7/2020
GS37,9/26/2020,10/7/2020
GS38,9/26/2020,10/7/2020
IB29,9/18/2020,10/9/2020
IB30,9/20/2020,10/9/2020
IB31,9/20/2020,10/9/2020
IC29,9/18/2020,10/9/2020
IC30,9/18/2020,10/9/2020
IC31,9/20/2020,10/9/2020
ID29,9/18/2020,10/9/2020
ID30,9/18/2020,10/9/2020
ID31,9/20/2020,10/9/2020
GL41,9/18/2020,10/14/2020
GL42,10/2/2020,10/14/2020
GM41,9/18/2020,10/14/2020
GM42,10/2/2020,10/14/2020
GN41,9/18/2020,10/14/2020
GN42,10/2/2020,10/14/2020
GQ31,10/2/2020,10/14/2020
GQ32,10/2/2020,10/14/2020
GV04,9/30/2020,10/22/2020
GV05,9/30/2020,10/22/2020
GW03,9/30/2020,10/22/2020
GW04,9/30/2020,10/22/2020
GW05,9/30/2020,10/22/2020
GX03,9/30/2020,10/22/2020
GX04,9/30/2020,10/22/2020
GX05,9/30/2020,10/22/2020
GX02,10/4/2020,10/22/2020
GY02,10/4/2020,10/22/2020
GY03,10/4/2020,10/22/2020
GY04,10/4/2020,10/22/2020
GR42,10/8/2020,10/22/2020
GR43,10/8/2020,10/22/2020
GR44,10/8/2020,10/22/2020
GS42,10/8/2020,10/22/2020
GZ44,10/8/2020,10/22/2020
GZ45,10/8/2020,10/22/2020
HA44,10/8/2020,10/22/2020
HB44,10/8/2020,10/22/2020
HD45,10/8/2020,10/22/2020
HD46,10/8/2020,10/22/2020
HD47,10/8/2020,10/22/2020
GU43,10/12/2020,10/22/2020
GU44,10/12/2020,10/22/2020
GQ34,10/12/2020,10/22/2020
GQ35,10/12/2020,10/22/2020
GR33,10/12/2020,10/22/2020
GR34,10/12/2020,10/22/2020
GR35,10/12/2020,10/22/2020
GS35,10/12/2020,10/22/2020
