"date","set.number","species","cruise","valid","experiment","number.caught","weight.caught","number.basket","extra","weight.sampled","comment"
"2012-07-17",2,17,"O026",1,1,1,0.063,1,"",0.063,""
"2012-07-17",2,43,"O026",1,1,21,0.96,1,"",0.96,""
"2012-07-17",2,63,"O026",1,1,16,0.149,1,"",0.149,""
"2012-07-17",2,70,"O026",1,1,5,0.91,1,"",0.91,""
"2012-07-17",2,122,"O026",1,1,2,0.105,1,"",0.105,""
"2012-07-17",2,143,"O026",1,1,4,0.41,1,"",0.41,""
"2012-07-17",2,204,"O026",1,1,2,1.96,1,"",1.96,""
"2012-07-17",2,2550,"O026",1,1,21,6.06,1,"",6.06,""
"2012-07-17",3,43,"O026",1,1,1,0.144,1,"",0.144,""
"2012-07-17",3,63,"O026",1,1,2,0.053,1,"",0.053,""
"2012-07-17",3,70,"O026",1,1,34,6.58,1,"",6.58,""
"2012-07-17",3,122,"O026",1,1,6,0.202,1,"",0.202,""
"2012-07-17",3,204,"O026",1,1,2,0.81,1,"",0.81,""
"2012-07-17",3,2518,"O026",1,1,5,0.003,1,"",0.003,""
"2012-07-17",3,2539,"O026",1,1,3,0.44,1,"",0.44,""
"2012-07-17",3,2550,"O026",1,1,15,4.88,1,"",4.88,""
"2012-07-17",3,6211,"O026",1,1,0,0.001,1,"",0,""
"2012-07-17",3,8621,"O026",1,1,0,0.65,1,"",0,""
"2012-07-17",4,43,"O026",1,1,1,0.048,1,"",0.048,""
"2012-07-17",4,62,"O026",1,1,1,0.005,1,"",0.005,""
"2012-07-17",4,63,"O026",1,1,16,0.167,1,"",0.167,""
"2012-07-17",4,70,"O026",1,1,3,0.58,1,"",0.58,""
"2012-07-17",4,122,"O026",1,1,2,0.003,1,"",0.003,""
"2012-07-17",4,204,"O026",1,1,1,1.17,1,"",1.17,""
"2012-07-17",4,2539,"O026",1,1,4,0.45,1,"",0.45,""
"2012-07-17",4,2550,"O026",1,1,9,3.66,1,"",3.66,""
"2012-07-17",4,6110,"O026",1,1,0,0.005,1,"",0,""
"2012-07-17",4,6118,"O026",1,1,0,0.002,1,"",0,""
"2012-07-17",4,8621,"O026",1,1,0,0.043,1,"",0,""
"2012-07-17",4,8623,"O026",1,1,0,0.028,1,"",0,""
"2012-07-17",5,43,"O026",1,1,2,0.086,1,"",0.086,""
"2012-07-17",5,122,"O026",1,1,1,0.001,1,"",0.001,""
"2012-07-17",5,204,"O026",1,1,2,1.07,1,"",1.07,""
"2012-07-17",5,2539,"O026",1,1,3,0.39,1,"",0.39,""
"2012-07-17",5,2550,"O026",1,1,3,3.61,1,"",3.61,""
