tow.id,longitude,latitude,station,new.station,fish.sample,longitude.alt1,latitude.alt1,longitude.alt2,latitude.alt2,longitude.alt3,latitude.alt3
GP001F,-65.62763167,47.97511417,regular,No,Yes,-65.61983646,48.00162349,-65.53507293,47.93972351,-65.59231504,47.89963387
GP002F,-65.54058167,47.78562,regular,No,No,-65.52863148,47.82910016,-65.57778714,47.88446961,-65.55689667,47.8062908
GP003F,-65.51768333,47.9091,fixed 2013,Yes,No,NA,NA,NA,NA,NA,NA
GP004F,-65.4786175,47.86207,regular,No,Yes,-65.4768344,47.83122814,-65.43614113,47.82087229,-65.41294516,47.79277944
GP005F,-65.34597583,47.9557075,regular,No,No,-65.26693717,47.982247,-65.23717516,47.91944584,-65.26550721,47.95286105
GP006F,-65.3357,47.82406667,fixed 2013,Yes,No,NA,NA,NA,NA,NA,NA
GP007F,-65.15276667,47.96916667,fixed 2013,Yes,No,NA,NA,NA,NA,NA,NA
GP008F,-65.13703833,47.89596833,regular,No,No,-65.17240267,47.86707933,-65.18261995,47.86967537,-65.18441774,47.85388237
GP009F,-64.987165,47.88679917,regular,No,Yes,-64.93283217,47.89889102,-64.96211902,47.89001964,-65.01234409,47.89568082
GP010F,-64.98892,48.04227667,regular,No,Yes,-64.88602355,48.13158448,-64.98584755,48.07197993,-64.94392019,48.08349178
GP011F,-65.014025,47.95075333,regular,No,Yes,-64.86495123,47.96475959,-64.909327,47.97885657,-64.89268887,47.93844611
GP012F,-64.7721,48.06805,fixed 2013,Yes,No,NA,NA,NA,NA,NA,NA
GP013F,-64.67758333,48.24558333,fixed 2013,Yes,Yes,NA,NA,NA,NA,NA,NA
GP014F,-64.363175,48.34434167,regular,No,Yes,-64.40934459,48.31584074,-64.48293695,48.34542668,-64.35496746,48.36943094
GP015F,-64.46704333,48.1173175,regular,No,No,-64.50628232,48.12826223,-64.41492326,48.14362281,-64.45095349,48.13054184
GP016F,-64.4408825,47.30059667,regular,No,Yes,-64.3177594,47.25583832,-64.45171472,47.33489277,-64.34550362,47.25918346
GP017F,-64.42245167,48.19691333,regular,No,Yes,-64.42562218,48.20353766,-64.41416657,48.1604744,-64.3669767,48.15912102
GP018F,-64.32766667,47.54103333,fixed 2013,Yes,No,NA,NA,NA,NA,NA,NA
GP019F,-64.34653333,47.43353833,regular,No,No,-64.36394166,47.45114122,-64.42629,47.39629307,-64.35511747,47.36645181
GP020F,-64.3376925,48.27062667,regular,No,No,-64.17639935,48.312968,-64.34316623,48.34971364,-64.29230151,48.36558452
GP021F,-64.30667417,48.25156667,regular,No,No,-64.33685257,48.18249993,-64.20273389,48.19600699,-64.22870525,48.16398144
GP022F,-64.30143333,47.6742,fixed 2013,Yes,No,NA,NA,NA,NA,NA,NA
GP023F,-64.286635,47.35605,regular,No,No,-64.28003423,47.43935793,-64.21185067,47.4274982,-64.30932346,47.44291248
GP024F,-64.24642,47.18945917,regular,No,No,-64.23297876,47.20608854,-64.22539776,47.13132441,-64.15656713,47.22078193
GP025F,-64.19037167,47.31241667,regular,No,No,-64.30099398,47.26794021,-64.19817334,47.24899096,-64.21084907,47.23241164
GP026F,-64.18844333,47.08826083,regular,No,Yes,-64.21427232,47.07968948,-64.24409211,47.07074081,-64.25502254,47.10379473
GP027F,-64.18171667,48.54251667,fixed 2013,Yes,Yes,NA,NA,NA,NA,NA,NA
GP028F,-64.1818275,47.54167667,regular,No,No,-64.30675909,47.54802626,-64.23090469,47.45683187,-64.19223755,47.53468537
GP029F,-64.16896667,48.35765,fixed 2013,Yes,No,NA,NA,NA,NA,NA,NA
GP030F,-64.15721417,47.69652333,regular,No,No,-64.22873318,47.79243463,-64.19857325,47.76682053,-64.2770396,47.72671293
GP031F,-64.251895,47.820375,regular,No,Yes,-64.21662149,47.80596093,-64.26896479,47.84263518,-64.25652099,47.81895183
GP032F,-64.13361083,47.550265,regular,No,Yes,-63.98300367,47.46160881,-64.06757224,47.50470755,-64.07015557,47.5036527
GP033F,-64.12628167,48.53917583,regular,No,No,-64.16799982,48.58596409,-64.05308398,48.52798222,-64.07931834,48.51037821
GP034F,-64.11752583,48.45222,regular,No,No,-64.13707212,48.46334675,-64.00618866,48.4599399,-64.00710601,48.43021179
GP035F,-64.06401583,48.75494417,regular,No,No,-64.0359658,48.73717763,-64.02997535,48.76353415,-64.1142864,48.73558931
GP036F,-64.0932,47.22495,fixed 2013,Yes,Yes,NA,NA,NA,NA,NA,NA
GP037F,-64.06702583,48.23125833,regular,No,No,-64.0988634,48.17727956,-64.07362235,48.17073246,-64.0074039,48.18681619
GP038F,-64.06591025,48.65843914,regular,Yes,Yes,-64.13288878,48.67988262,-64.15108317,48.6975535,-64.06232807,48.70838994
GP039F,-64.0911,47.96305,fixed 2013,Yes,No,NA,NA,NA,NA,NA,NA
GP040F,-64.09559917,47.6797025,regular,No,No,-63.9915843,47.59957168,-64.08864176,47.5996672,-64.08753656,47.67137566
GP041F,-64.01781083,47.8231225,regular,No,No,-64.08133254,47.8468225,-64.06855947,47.90602973,-64.03020554,47.90579353
GP042F,-64.00096667,47.76666667,fixed 2013,Yes,No,NA,NA,NA,NA,NA,NA
