grid,date.closed,date.open,grid.portion,comment
GY56,4/29/2021,5/10/2021,Full Grid,72 hour Gear Removal - High Impact CFA12F
GY57,4/29/2021,5/10/2021,Full Grid,72 hour Gear Removal - High Impact CFA12F
GZ57,4/29/2021,5/10/2021,Full Grid,72 hour Gear Removal - High Impact CFA12F
HA57,4/29/2021,5/10/2021,Full Grid,72 hour Gear Removal - High Impact CFA12F
HB55,5/8/2021,5/19/2021,Full Grid,72 hour Gear Removal - High Impact CFA12F & CFA12E
HB56,5/8/2021,5/19/2021,Full Grid,72 hour Gear Removal - High Impact CFA12F
GX55,5/9/2021,5/20/2021,Full Grid,72 hour Gear Removal - High Impact CFA12F
HB35,5/14/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; LFA23C & LFA23D - Entangled Whale (Snow Cone #3560)
HB36,5/14/2021,6/1/2021,>20 Fathom ,48 hour Gear Removal - Medium Impact CFA12; LFA23C & LFA23D - Entangled Whale (Snow Cone #3560)
HB37,5/14/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; LFA23C & LFA23D - Entangled Whale (Snow Cone #3560)
GZ51,5/15/2021,5/31/2021,>20 Fathom ,48 hour Gear Removal - High Impact CFA12E; Medium Impact: CFA12F; CFA12
GX44,5/18/2021,6/1/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GX45,5/18/2021,6/1/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GY44,5/18/2021,6/1/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GY45,5/18/2021,6/1/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GZ44,5/18/2021,6/1/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GZ45,5/18/2021,6/1/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GZ46,5/18/2021,6/1/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GV41,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GV42,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GV43,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GW42,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GW43,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GX42,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GX43,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GY42,5/18/2021,6/1/2021,Full Grid,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GZ52,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GZ53,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GZ54,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
HA52,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
HA53,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
HA54,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
HB52,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
HB53,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
HB54,5/18/2021,5/31/2021,>10 Fathom,48 hour Gear Removal - Medium Impact CFA12; Medium Impact LFA22
GW51,5/29/2021,6/8/2021,Full Grid,96 hour Gear Removal
GX46,5/18/2021,6/15/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GY46,5/18/2021,6/15/2021,Full Grid,72 hour Gear Removal - Medium Impact CFA12; Low Impact LFA22
GU47,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GU48,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GU49,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GV47,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GV48,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GV49,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GW46,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GW47,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GW48,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GW49,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GX47,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GX48,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GX49,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
GY47,6/2/2021,6/15/2021,Full Grid,48 hour Gear Removal  - CFA12 & CFA12E - Low Impact
