"date","cruise","set.number","experiment","start.time","stop.time","station","duration","latitude.start","longitude.start","latitude.stop","longitude.stop","area","depth.start","depth.end","wind","wind.force","current","gear","auxiliary","warp","comment"
"2020-07-07","P150",1,1,"08:15:00","08:25:00",242,10,4623.66,6426.25,4624.08,6426.36,NA,11,11,5,3,1,19,1,41,"First set of 2020"
"2020-07-07","P150",2,1,"10:31:00","10:41:00",179,10,4636.24,6431.57,4636.64,6431.45,NA,19,21,5,3,1,19,1,70,""
"2020-07-07","P150",3,1,"14:24:00","14:34:00",162,10,4642.18,6428.68,4641.78,6428.53,NA,14,13,6,4,1,19,1,52,"gadoids kept. Lobster with growth kept."
"2020-07-08","P150",4,1,"07:35:00","07:45:00",250,10,4622.35,6428.87,4621.92,6428.8,NA,8,6,4,4,1,19,1,36,""
"2020-07-08","P150",5,1,"09:56:00","10:06:00",171,10,4638.1,6434.42,4637.65,6434.26,NA,14,15,6,5,1,19,1,NA,"old trap in net. No tears. Valid set."
"2020-07-08","P150",6,1,"12:38:00","12:48:00",152,10,4643.77,6437.45,4644.22,6437.51,NA,16,17,6,5,1,19,1,51,""
"2020-07-08","P150",7,1,"14:35:00","14:45:00",176,10,4636.42,6440.06,4636.88,6439.92,NA,10,9,5,5,1,19,1,41,""
"2020-07-09","P150",8,1,"07:52:00","08:02:00",233,10,4625.95,6426.05,4625.51,6426.17,433,10,12,7,3,1,19,1,41,""
"2020-07-09","P150",9,1,"10:38:00","10:48:00",169,10,4638.15,6440.48,4638.54,6440.28,NA,10,11,7,2,1,19,1,41,""
"2020-07-09","P150",10,NA,"12:54:00","13:04:00",156,10,4644.01,6428.92,4644.46,6429.03,NA,16,17,6,2,1,19,1,61,""
"2020-07-09","P150",11,1,"14:21:00","14:31:00",157,10,4643.97,6426.08,4643.54,6426.15,NA,14,14,6,2,1,19,1,55,""
"2020-07-10","P150",12,1,"08:41:00","08:56:00",242,15,4624.42,6425.98,4623.82,6429.3,NA,12,11,4,2,1,13,1,43,"First try we caught a rock crab fishing buoy. Put catch back in and re-set. Same set number (i.e. Null set not numbered)."
"2020-07-10","P150",13,1,"11:08:00","11:23:00",179,15,4635.89,6431.7,4636.52,6431.73,NA,18,20,0,0,1,13,1,70,""
"2020-07-10","P150",14,1,"13:03:00","13:18:00",156,15,4643.94,6428.98,4644.59,6428.85,NA,16,17,0,0,1,13,1,56,""
"2020-07-10","P150",15,1,"14:04:00","14:19:00",162,15,4641.78,6428.9,4642.45,6428.97,NA,12,13,5,1,1,13,1,50,""
"2020-07-11","P150",16,1,"07:37:00","07:52:00",250,15,4622.16,6428.94,4621.52,6428.85,NA,6,6,6,3,1,13,1,34,""
"2020-07-11","P150",17,1,"09:56:00","10:11:00",176,15,4636.25,6440,4635.57,6439.99,NA,10,10,4,3,1,13,1,42,""
"2020-07-11","P150",18,1,"12:43:00","12:58:00",157,15,4643.74,6426.19,4644.37,6426.33,NA,14,17,4,3,2,13,1,55,""
"2020-07-11","P150",19,1,"14:11:00","14:26:00",171,15,4637.77,6434.52,4638.39,6434.38,NA,14,15,4,4,1,13,1,55,""
"2020-07-12","P150",20,1,"07:48:00","08:03:00",233,15,4626.27,6426.06,4625.66,6426.34,433,9,12,5,4,1,13,1,42,""
