year,zone,species,landings,trap.hauls,cpue
1966,12,2526,30,,
1967,12,2526,158,,
1968,12,2526,3939,129914,
1969,12,2526,7580,198015,
1970,12,2526,5634,107890,
1971,12,2526,5374,113113,
1972,12,2526,5392,127833,
1973,12,2526,6969,353040,
1974,12,2526,6704,259845,
1975,12,2526,4632,145295,
1976,12,2526,7568,328900,
1977,12,2526,9537,324608,
1978,12,2526,10462,438697,
1979,12,2526,15794,506853,
1980,12,2526,14854,328178,
1981,12,2526,21877,396759,
1982,12,2526,31585,499709,
1983,12,2526,24342,362772,
1984,12,2526,26062,,
1985,12,2526,25158,439096,
1986,12,2526,24267,415670,
1987,12,2526,11782,449293,26.2
1988,12,2526,12355,528844,23.4
1989,12,2526,7882,356442,22.1
1990,12,2526,6950,254578,27.3
1991,12,2526,10019,326671,30.7
1992,12,2526,11235,362967,31
1993,12,2526,14336,344698,41.6
1994,12,2526,19995,390833,51.2
1995,12,2526,19944,416890,47.8
1996,12,2526,15978,318796,50.1
1997,12,2526,15413,303286,50.8
1998,12,2526,11136,243339,45.8
1999,12,2526,12682,289003,43.9
2000,12,2526,15046,436782,34.5
2001,12,2526,13819,326382,42.3
2002,12,2526,21869,544454,40.2
2003,12,2526,16898,337960,50
2004,12,2526,26626,484991,54.9
2005,12,2526,32363,508053,63.7
2006,12,2526,25934,402702,64.4
2007,12,2526,23243,353775,65.7
2008,12,2526,20911,370762,56.4
2009,12,2526,20896,433527,48.2
2010,12,2526,7719,161148,47.9
2011,12,2526,8618,162604,53
2012,12,2526,18159,267044,68
2013,12,2526,22645,296398,76.4
2014,12,2526,19674,317689,61.8
2015,12,2526,23080,339912,67.9
2016,12,2526,19499,304624,64
2017,12,2526,39825,553125,72
2018,12,2526,20769,469887,44.2
2019,12,2526,27554,496468,55.5
2020,12,2526,24554,556780,44.1
2021,12,2526,20843,363136,57.4
2022,12,2526,27652,537820,51.41
1967,19,2526,241,,
1968,19,2526,713,,
1969,19,2526,98,,
1970,19,2526,90,,
1971,19,2526,136,,
1972,19,2526,51,,
1973,19,2526,122,,
1974,19,2526,217,,
1975,19,2526,379,,
1976,19,2526,489,,
1977,19,2526,936,,
1978,19,2526,3189,,
1979,19,2526,3225,,
1980,19,2526,2500,,
1981,19,2526,1615,,
1982,19,2526,2190,,
1983,19,2526,2209,,
1984,19,2526,1916,,
1985,19,2526,1856,,
1986,19,2526,1703,,
1987,19,2526,1151,37987,30.3
1988,19,2526,1337,22794,58.7
1989,19,2526,1334,29978,44.5
1990,19,2526,1333,28422,46.9
1991,19,2526,1337,16733,79.9
1992,19,2526,1678,17140,97.9
1993,19,2526,1678,18204,92.2
1994,19,2526,1672,24495,68.3
1995,19,2526,1575,24854,63.4
1996,19,2526,1342,24583,54.6
1997,19,2526,1386,21930,63.2
1998,19,2526,1988,31232,63.1
1999,19,2526,1979,19088,103.7
2000,19,2526,3225,55977,64.1
2001,19,2526,3910,46251,88.5
2002,19,2526,3279,43662,72.3
2003,19,2526,3103,29952,103.6
2004,19,2526,3894,56517,68.9
2005,19,2526,2827,41512,68.1
2006,19,2526,1989,23566,84.4
2007,19,2526,3034,42553,71.3
2008,19,2526,2929,38388,76.3
2009,19,2526,2370,33193,71.4
2010,19,2526,1360,11138,122.1
2011,19,2526,1701,12761,133.3
2012,19,2526,2906,16317,178.1
2013,19,2526,2657,17890,148.5
2014,19,2526,3745,25407,147.4
2015,19,2526,2129,14703,144.8
2016,19,2526,1701,11937,142.5
2017,19,2526,2944,20616,142.8
2018,19,2526,2048,13120,156.1
2019,19,2526,2763,24518,112.7
2020,19,2526,2284,22458,101.7
2021,19,2526,2240,18384,121.0
2022,19,2526,2668,23690,112.62
1995,E,2526,217,4033,53.8
1996,E,2526,164,2714,60.3
1997,E,2526,163,4695,34.7
1998,E,2526,161,5624,28.6
1999,E,2526,159,5415,29.4
2000,E,2526,150,6528,22.9
2001,E,2526,155,6700,23.2
2002,E,2526,165,2916,56.6
2003,E,2526,345,5471,63.1
2004,E,2526,349,6277,55.6
2005,E,2526,449,5571,80.6
2006,E,2526,411,10074,40.8
2007,E,2526,220,5914,37.2
2008,E,2526,187,9232,20.3
2009,E,2526,67,4653,14.4
2010,E,2526,50,1825,27.4
2011,E,2526,76,2413,31.5
2012,E,2526,185,5623,32.9
2013,E,2526,204,5097,40.1
2014,E,2526,178,3765,47.3
2015,E,2526,192,2918,65.8
2016,E,2526,144,2796,51.5
2017,E,2526,203,3333,60.9
2018,E,2526,260,5579,46.6
2019,E,2526,224,3415,65.7
2020,E,2526,234,5098,45.9
2021,E,2526,296,5314,55.7
2022,E,2526,197,2509,78.52
1995,F,2526,317,11561,27.4
1996,F,2526,238,5604,42.4
1997,F,2526,287,6390,44.9
1998,F,2526,290,6035,48.1
1999,F,2526,290,5072,57.2
2000,F,2526,291,5136,56.7
2001,F,2526,378,5736,63
2002,F,2526,378,4437,85.2
2003,F,2526,817,10460,78.1
2004,F,2526,806,10775,74.8
2005,F,2526,479,5112,93.7
2006,F,2526,787,14079,55.9
2007,F,2526,370,12252,30.2
2008,F,2526,431,15504,27.8
2009,F,2526,309,14045,22
2010,F,2526,420,14335,29.3
2011,F,2526,313,9631,32.5
2012,F,2526,706,16890,41.8
2013,F,2526,543,11086,49
2014,F,2526,882,23163,38.1
2015,F,2526,510,13351,38.2
2016,F,2526,381,8667,43.9
2017,F,2526,684,9421,72.6
2018,F,2526,1183,17120,69.1
2019,F,2526,1166,18083,64.5
2020,F,2526,1084,22168,45.2
2021,F,2526,1100,18612,59.1
2022,F,2526,1165,15240,76.45
2023,12,2526,32083,444466,72.18
2023,19,2526,1700,12088,140.63
2023,E,2526,291,3678,79.12
2023,F,2526,1329,13718,96.88
