"project","year","month","day","zone","tow.id","tow.number","valid","longitude","latitude","longitude.start.logbook","longitude.end.logbook","latitude.start.logbook","latitude.end.logbook","start.time","end.time","start.time.logbook","end.time.logbook","depth","bottom.temperature","warp","swept.area","swept.area.method","groundfish.sample","water.sample","comment","season","vessel","samplers"
"scs",2018,7,19,"F","GP354F",1,1,-60.390275,47.3825666666667,-60.3881,-60.39245,47.3827666666667,47.3823666666667,"05:27:30","05:32:22","05:27:23","05:32:22",44,1.5,125,2303,"model",,,"Stable ~ 2.1 kts","fall","Jean-Mathieu","Murray McWilliams"
"scs",2018,7,19,"F","GP351F",2,1,-60.4649,47.4302833333333,-60.46285,-60.46695,47.4307333333333,47.4298333333333,"06:38:07","06:43:13","06:38:13","06:43:13",52,1.8,150,2753,"model",,,"Stable ~ 2.1 kts","fall","Jean-Mathieu","Murray McWilliams"
"scs",2018,7,19,"F","GP353F",3,1,-60.4016833333333,47.5261916666667,-60.4032833333333,-60.4000833333333,47.5271166666667,47.5252666666667,"08:22:47","08:28:36","08:22:47","08:28:36",170,6.6,500,2466,"average",,,"Stable ~ 2.0 kts","fall","Jean-Mathieu","Murray McWilliams"
"scs",2018,7,19,"F","GP352F",4,1,-60.4415,47.5575666666667,-60.4431666666667,-60.4398333333333,47.5584666666667,47.5566666666667,"09:53:28","09:58:28","09:53:28","09:58:28",128,6.1,375,2482,"average",,,"Stable ~ 2.0 kts","fall","Jean-Mathieu","Murray McWilliams"
"scs",2018,7,19,"F","GP350F",5,1,-60.48295,47.5093,-60.4842333333333,-60.4816666666667,47.5104333333333,47.5081666666667,"11:03:27","11:08:33","11:03:35","11:08:33",77,2.7,225,1981,"model",,,"Stable ~ 2.0 kts","fall","Jean-Mathieu","Murray McWilliams"
"scs",2018,7,19,"F","GP346F",6,1,-60.6083916666667,47.4803583333333,-60.6095833333333,-60.6072,47.4815166666667,47.4792,"12:26:20","12:31:35","12:26:20","12:31:35",40,1.3,125,2605,"model",,,"Stable ~ 2.0 kts","fall","Jean-Mathieu","Murray McWilliams"
"scs",2018,7,19,"F","GP342F",7,1,-60.69165,47.5708083333333,-60.6930333333333,-60.6902666666667,47.5718833333333,47.5697333333333,"13:51:24","13:57:18","13:51:18","13:57:18",31,0.9,100,2935,"model",,,"Stable ~ 2.1 kts","fall","Jean-Mathieu","Murray McWilliams"
"scs",2018,7,19,"F","GP334F",8,1,-60.8659333333333,47.5628583333333,-60.8675833333333,-60.8642833333333,47.56375,47.5619666666667,"15:13:44","15:18:55","15:13:44","15:18:55",27,2.1,75,2445,"model",,,"Stable ~ 2.0 kts","fall","Jean-Mathieu","Murray McWilliams"
"scs",2018,7,19,"F","GP323F",9,1,-61.0035083333333,47.6270083333333,-61.0052833333333,-61.0017333333333,47.6278166666667,47.6262,"16:31:48","16:36:55","16:31:42","16:36:55",22,4.3,75,2283,"model",,,"Stable ~ 2.0 kts","fall","Jean-Mathieu","Murray McWilliams"
"scs",2018,7,19,"F","GP325F",10,1,-60.9551,47.7819833333333,-60.9554333333333,-60.9547666666667,47.7834166666667,47.78055,"18:10:42","18:15:56","18:10:40","18:15:56",29,1.3,100,2485,"model",,,"Stable ~ 2.1 kts","fall","Jean-Mathieu","Murray McWilliams"
