date,tow.id,probe,type,location,position,event,time
2018-07-19,GP354F,Star Oddi ,DST-Tilt,footrope,center,touchdown,5:27:25
2018-07-19,GP351F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:38:05
2018-07-19,GP350F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:03:35
2018-07-19,GP346F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:26:18
2018-07-19,GP342F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:51:15
2018-07-19,GP334F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:13:46
2018-07-19,GP323F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:31:32
2018-07-19,GP325F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:10:41
2018-07-19,GP335F,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:10:14
2018-07-19,GP344F,Star Oddi ,DST-Tilt,footrope,center,touchdown,20:21:44
2018-07-20,GP341F,Star Oddi ,DST-Tilt,footrope,center,touchdown,5:24:57
2018-07-20,GP331F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:11:49
2018-07-20,GP326F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:08:32
2018-07-20,GP315F,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:14:55
2018-07-20,GP324F,Star Oddi ,DST-Tilt,footrope,center,touchdown,10:24:16
2018-07-20,GP313F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:49:41
2018-07-20,GP320F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:56:22
2018-07-20,GP312F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:48:49
2018-07-20,GP316F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:08:57
2018-07-20,GP295F,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:22:15
2018-07-20,GP290F,Star Oddi ,DST-Tilt,footrope,center,touchdown,20:23:13
2018-07-21,GP293F,Star Oddi ,DST-Tilt,footrope,center,touchdown,5:35:56
2018-07-21,GP282F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:52:26
2018-07-21,GP273F,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:56:40
2018-07-21,GP260F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:48:43
2018-07-21,GP269F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:06:03
2018-07-21,GP250F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:03:13
2018-07-21,GP251F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:23:37
2018-07-21,GP235F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:14:29
2018-07-22,GP237A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,5:33:46
2018-07-22,GP203F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:53:54
2018-07-22,GP208F,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:30:36
2018-07-22,GP201A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:58:56
2018-07-22,GP181F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:03:04
2018-07-22,GP187F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:34:26
2018-07-22,GP166F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:30:38
2018-07-22,GP156F,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:33:19
2018-07-23,GP072F,Star Oddi ,DST-Tilt,footrope,center,touchdown,5:36:41
2018-07-23,GP085F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:28:33
2018-07-23,GP081F,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:21:26
2018-07-23,GP098F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:39:10
2018-07-23,GP120F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:30:40
2018-07-23,GP109F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:08:28
2018-07-23,GP122F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:47:02
2018-07-23,GP142F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:20:54
2018-07-24,GP121A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,5:38:53
2018-07-24,GP134F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:45:08
2018-07-24,GP139F,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:04:41
2018-07-24,GP112A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:24:37
2018-07-24,GP115F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:24:41
2018-07-24,GP130F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:01:47
2018-07-24,GP138F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:22:46
