date,probe,location,position,event,tow.id,time
2024-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP354F,05:15:48
2024-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP354F,05:20:59
2024-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP351F,06:29:53
2024-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP351F,06:34:59
2024-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP353F,07:51:07
2024-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP353F,07:57:20
2024-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP352F,09:45:57
2024-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP352F,09:51:23
2024-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP350F,11:04:17
2024-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP350F,11:10:42
2024-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP346F,12:41:05
2024-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP346F,12:46:32
2024-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP342F,13:54:00
2024-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP342F,13:59:12
2024-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP043F,15:17:21
2024-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP043F,15:22:25
2024-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP323F,17:03:06
2024-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP323F,17:08:16
2024-07-11,Star Oddi DST-TD,footrope,center,touchdown,GP225FR2,05:17:44
2024-07-11,Star Oddi DST-TD,footrope,center,liftoff,GP225FR2,05:23:04
2024-07-11,Star Oddi DST-TD,footrope,center,touchdown,GP344F,06:20:43
2024-07-11,Star Oddi DST-TD,footrope,center,liftoff,GP344F,06:26:19
2024-07-11,Star Oddi DST-TD,footrope,center,touchdown,GP341F,07:36:41
2024-07-11,Star Oddi DST-TD,footrope,center,liftoff,GP341F,07:41:56
2024-07-11,Star Oddi DST-TD,footrope,center,touchdown,GP335F,08:59:10
2024-07-11,Star Oddi DST-TD,footrope,center,liftoff,GP335F,09:04:21
2024-07-11,Star Oddi DST-TD,footrope,center,touchdown,GP325F,10:16:30
2024-07-11,Star Oddi DST-TD,footrope,center,liftoff,GP325F,10:22:18
2024-07-11,Star Oddi DST-TD,footrope,center,touchdown,GP331F,11:10:55
2024-07-11,Star Oddi DST-TD,footrope,center,liftoff,GP331F,11:16:20
2024-07-11,Star Oddi DST-TD,footrope,center,touchdown,GP324F,12:36:07
2024-07-11,Star Oddi DST-TD,footrope,center,liftoff,GP324F,12:41:17
2024-07-11,Star Oddi DST-TD,footrope,center,touchdown,GP320F,14:26:59
2024-07-11,Star Oddi DST-TD,footrope,center,liftoff,GP320F,14:31:52
2024-07-11,Star Oddi DST-TD,footrope,center,touchdown,GP316F,17:00:41
2024-07-11,Star Oddi DST-TD,footrope,center,liftoff,GP316F,17:08:39
2024-07-11,Star Oddi DST-TD,footrope,center,touchdown,GP312F,18:37:31
2024-07-11,Star Oddi DST-TD,footrope,center,liftoff,GP312F,18:47:49
2024-07-11,Star Oddi DST-TD,footrope,center,touchdown,GP313F,20:31:08
2024-07-11,Star Oddi DST-TD,footrope,center,liftoff,GP313F,20:35:46
2024-07-12,Star Oddi DST-TD,footrope,center,touchdown,GP315FR1,09:34:26
2024-07-12,Star Oddi DST-TD,footrope,center,liftoff,GP315FR1,09:39:27
2024-07-12,Star Oddi DST-TD,footrope,center,touchdown,GP303F,12:59:54
2024-07-12,Star Oddi DST-TD,footrope,center,liftoff,GP303F,13:05:07
2024-07-12,Star Oddi DST-TD,footrope,center,touchdown,GP287F,13:47:14
2024-07-12,Star Oddi DST-TD,footrope,center,liftoff,GP287F,13:52:27
2024-07-12,Star Oddi DST-TD,footrope,center,touchdown,GP290F,14:41:52
2024-07-12,Star Oddi DST-TD,footrope,center,liftoff,GP290F,14:46:54
2024-07-12,Star Oddi DST-TD,footrope,center,touchdown,GP295F,15:23:40
2024-07-12,Star Oddi DST-TD,footrope,center,liftoff,GP295F,15:29:13
2024-07-12,Star Oddi DST-TD,footrope,center,touchdown,GP293F,17:01:16
2024-07-12,Star Oddi DST-TD,footrope,center,liftoff,GP293F,17:07:24
2024-07-12,Star Oddi DST-TD,footrope,center,touchdown,GP282F,18:34:14
2024-07-12,Star Oddi DST-TD,footrope,center,liftoff,GP282F,18:43:36
2024-07-12,Star Oddi DST-TD,footrope,center,touchdown,GP273F,20:41:32
2024-07-12,Star Oddi DST-TD,footrope,center,liftoff,GP273F,20:46:44
2024-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP260F,05:20:48
2024-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP260F,05:27:18
2024-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP269F,06:58:07
2024-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP269F,07:05:57
2024-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP251F,08:52:28
2024-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP251F,08:57:27
2024-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP250F,10:17:27
2024-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP250F,10:23:28
2024-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP237F,12:26:10
2024-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP237F,12:35:30
2024-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP235F,14:21:20
2024-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP235F,14:27:48
2024-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP334F,17:17:50
2024-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP334F,17:24:54
2024-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP187F,19:27:18
2024-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP187F,19:34:54
2024-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP166F,20:59:14
2024-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP166F,21:05:05
2024-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP156F,05:32:05
2024-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP156F,05:38:58
2024-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP142F,07:19:21
2024-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP142F,07:26:38
2024-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP122F,09:07:34
2024-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP122F,09:16:29
2024-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP109F,10:30:41
2024-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP109F,10:37:28
2024-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP120F,12:28:24
2024-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP120F,12:33:20
2024-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP098F,15:10:18
2024-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP098F,15:15:53
2024-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP081F,17:20:58
2024-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP081F,17:27:40
2024-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP085F,19:06:07
2024-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP085F,19:14:57
2024-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP072F,21:08:30
2024-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP072F,21:13:52
2024-07-15,Star Oddi DST-TD,footrope,center,touchdown,GP078F,05:21:17
2024-07-15,Star Oddi DST-TD,footrope,center,liftoff,GP078F,05:26:21
2024-07-15,Star Oddi DST-TD,footrope,center,touchdown,GP107F,06:37:18
2024-07-15,Star Oddi DST-TD,footrope,center,liftoff,GP107F,06:42:37
2024-07-15,Star Oddi DST-TD,footrope,center,touchdown,GP134F,13:17:14
2024-07-15,Star Oddi DST-TD,footrope,center,liftoff,GP134F,13:22:16
2024-07-15,Star Oddi DST-TD,footrope,center,touchdown,GP203F,14:44:27
2024-07-15,Star Oddi DST-TD,footrope,center,liftoff,GP203F,14:50:57
2024-07-15,Star Oddi DST-TD,footrope,center,touchdown,GP138F,16:41:04
2024-07-15,Star Oddi DST-TD,footrope,center,liftoff,GP138F,16:45:31
2024-07-15,Star Oddi DST-TD,footrope,center,touchdown,GP152F,17:45:11
2024-07-15,Star Oddi DST-TD,footrope,center,liftoff,GP152F,17:50:30
2024-07-15,Star Oddi DST-TD,footrope,center,touchdown,GP165F,18:36:40
2024-07-15,Star Oddi DST-TD,footrope,center,liftoff,GP165F,18:41:41
2024-07-15,Star Oddi DST-TD,footrope,center,touchdown,GP165FR1,19:37:42
2024-07-15,Star Oddi DST-TD,footrope,center,liftoff,GP165FR1,19:43:42
2024-07-16,Star Oddi DST-TD,footrope,center,touchdown,GP153F,05:17:50
2024-07-16,Star Oddi DST-TD,footrope,center,liftoff,GP153F,05:23:11
2024-07-16,Star Oddi DST-TD,footrope,center,touchdown,GP169F,06:21:32
2024-07-16,Star Oddi DST-TD,footrope,center,liftoff,GP169F,06:26:49
2024-07-16,Star Oddi DST-TD,footrope,center,touchdown,GP185F,07:49:32
2024-07-16,Star Oddi DST-TD,footrope,center,liftoff,GP185F,07:54:58
2024-07-16,Star Oddi DST-TD,footrope,center,touchdown,GP201F,09:01:36
2024-07-16,Star Oddi DST-TD,footrope,center,liftoff,GP201F,09:06:50
2024-07-16,Star Oddi DST-TD,footrope,center,touchdown,GP180F,10:26:53
2024-07-16,Star Oddi DST-TD,footrope,center,liftoff,GP180F,10:32:08
2024-07-16,Star Oddi DST-TD,footrope,center,touchdown,GP181F,11:37:25
2024-07-16,Star Oddi DST-TD,footrope,center,liftoff,GP181F,11:42:36
2024-07-16,Star Oddi DST-TD,footrope,center,touchdown,GP208F,13:21:23
2024-07-16,Star Oddi DST-TD,footrope,center,liftoff,GP208F,13:26:31
2024-07-16,Star Oddi DST-TD,footrope,center,touchdown,GP207F,14:14:15
2024-07-16,Star Oddi DST-TD,footrope,center,liftoff,GP207F,14:19:20
2024-07-16,Star Oddi DST-TD,footrope,center,touchdown,GP227F,15:38:21
