"date","set.number","species","cruise","valid","experiment","number.caught","weight.caught","number.basket","extra","weight.sampled","comment"
"1999-07-06",2,43,"O901",1,1,0,2.5,1,"",0,"Presence"
"1999-07-06",2,143,"O901",1,1,0,1,1,"",0,"Presence"
"1999-07-06",2,204,"O901",1,1,0,0.1,1,"",0,"Presence"
"1999-07-06",2,2513,"O901",1,1,2,0.2,1,"",0.2,""
"1999-07-06",2,2550,"O901",1,1,2,1,1,"",1,""
"1999-07-06",3,12,"O901",1,1,1,3.5,1,"",0,""
"1999-07-06",3,43,"O901",1,1,0,1,1,"",0,"Presence"
"1999-07-06",3,143,"O901",1,1,0,0.5,1,"",0,"Presence"
"1999-07-06",3,204,"O901",1,1,0,0.5,1,"",0,"Presence"
"1999-07-06",3,2513,"O901",1,1,0,0,1,"",0,""
"1999-07-06",3,2550,"O901",1,1,2,1,1,"",1,""
"1999-07-06",4,43,"O901",1,1,0,2,1,"",0,"Presence"
"1999-07-06",4,143,"O901",1,1,0,1,1,"",0,"Presence"
"1999-07-06",4,204,"O901",1,1,0,1.5,1,"",0,"Presence"
"1999-07-06",4,2100,"O901",1,1,2,2,1,"",0,""
"1999-07-06",4,2513,"O901",1,1,1,0.1,1,"",0.1,""
"1999-07-06",5,43,"O901",1,1,0,2.5,1,"",0,"Presence"
"1999-07-06",5,143,"O901",1,1,0,0.5,1,"",0,"Presence"
"1999-07-06",5,204,"O901",1,1,0,2.5,1,"",0,"Presence"
"1999-07-06",5,2100,"O901",1,1,3,3,1,"",0,""
"1999-07-06",5,2513,"O901",1,1,4,0.1,1,"",0.1,""
"1999-07-06",5,2550,"O901",1,1,1,0.5,1,"",0.5,""
"1999-07-06",6,43,"O901",1,1,0,1,1,"",0,"Presence"
"1999-07-06",6,122,"O901",1,1,2,0.1,1,"",0,""
"1999-07-06",6,143,"O901",1,1,0,0.1,1,"",0,"Presence"
"1999-07-06",6,2513,"O901",1,1,2,0.1,1,"",0.1,""
"1999-07-06",6,2550,"O901",1,1,5,2,1,"",2,""
"1999-07-06",7,43,"O901",1,1,0,0.1,1,"",0,"Presence"
"1999-07-06",7,63,"O901",1,1,1,0.05,1,"",0,""
"1999-07-06",7,122,"O901",1,1,2,0.1,1,"",0,""
"1999-07-06",7,2513,"O901",1,1,2,0.1,1,"",0.1,""
"1999-07-06",7,2539,"O901",1,1,1,0.2,1,"",0.2,""
"1999-07-06",7,2550,"O901",1,1,5,1.5,1,"",1.5,""
"1999-07-07",8,43,"O901",1,1,0,0.5,1,"",0,"Presence"
"1999-07-07",8,122,"O901",1,1,2,0.2,1,"",0,""
"1999-07-07",8,300,"O901",1,1,2,0.5,1,"",0,""
"1999-07-07",8,320,"O901",1,1,1,0.05,1,"",0,""
"1999-07-07",8,2550,"O901",1,1,2,0.5,1,"",0.5,""
"1999-07-07",9,10,"O901",1,1,0,0.05,1,"",0,"Presence"
"1999-07-07",9,43,"O901",1,1,0,0.75,1,"",0,"Presence"
