"date","tow.number","species","species.name.logbook","number.caught","weight.caught","presence","comment"
"1993-07-14",1,10,"morue","6",NA,1,""
"1993-07-14",1,346,"plie grise et blanche","50",NA,1,""
"1993-07-14",1,NA,"","25",NA,1,"pas dans le logbook"
"1993-07-14",1,2100,"crevette",NA,NA,1,""
"1993-07-14",1,4210,"bigorneau",NA,NA,1,""
"1993-07-14",1,6100,"etoile de mer",NA,NA,1,""
"1993-07-14",1,6400,"oursin",NA,NA,1,""
"1993-07-14",1,8300,"anemone",NA,NA,1,""
"1993-07-14",2,10,"morue","4",NA,1,""
"1993-07-14",2,41,"plie grise  ","30",NA,1,""
"1993-07-14",2,501,"poule de mer","1",NA,1,""
"1993-07-14",2,640,"loche","1",NA,1,""
"1993-07-14",2,6100,"etoile de mer",NA,NA,1,""
"1993-07-14",2,8300,"anemone",NA,NA,1,""
"1993-07-14",2,3200,"pelotte de mer",NA,NA,1,""
"1993-07-14",3,10,"morue","14",NA,1,""
"1993-07-14",3,20,"poisson rouge","1",NA,1,""
"1993-07-14",3,41,"plie grise","20",NA,1,""
"1993-07-14",3,211,"raie","1",NA,1,""
"1993-07-14",3,640,"loche","2",NA,1,""
"1993-07-14",3,6100,"etoile de mer",NA,NA,1,""
"1993-07-14",3,8300,"anemone",NA,NA,1,""
"1993-07-14",3,3200,"pelotte de mer",NA,NA,1,"beaucoup"
"1993-07-14",4,10,"morue","2",NA,1,""
"1993-07-14",4,41,"plie grise","5",NA,1,""
"1993-07-14",4,640,"loche",NA,NA,1,""
"1993-07-14",4,3200,"pelotte de mer",NA,NA,1,""
"1993-07-14",4,6400,"oursin",NA,NA,1,""
"1993-07-14",4,8300,"anemone",NA,NA,1,""
"1993-07-14",5,41,"plie grise",NA,NA,1,""
"1993-07-14",5,640,"loche","3",NA,1,""
"1993-07-14",5,1823,"gosse de mer",NA,NA,1,""
"1993-07-14",5,2100,"crevette",NA,NA,1,""
"1993-07-14",5,2520,"hyas","5",NA,1,""
"1993-07-14",5,4322,"petoncle d'islande",NA,NA,1,""
"1993-07-14",5,6100,"etoile de mer",NA,NA,1,""
"1993-07-14",5,6400,"oursin",NA,NA,1,""
"1993-07-14",5,8600,"eponge",NA,NA,1,""
"1993-07-14",5,3200,"pelotte de mer",NA,NA,1,"beaucoup"
"1993-07-15",1,10,"morue","1",NA,1,""
"1993-07-15",1,20,"poisson rouge","4",NA,1,""
"1993-07-15",1,41,"plie grise",NA,NA,1,""
"1993-07-15",1,211,"raie","2",NA,1,""
"1993-07-15",1,640,"loche","5",NA,1,""
"1993-07-15",1,1823,"gosse de mer",NA,NA,1,""
"1993-07-15",1,4322,"petoncle d'islande",NA,NA,1,""
"1993-07-15",1,6100,"etoile de mer",NA,NA,1,""
"1993-07-15",1,8600,"eponge",NA,NA,1,""
"1993-07-15",2,10,"morue","1",NA,1,""
"1993-07-15",2,31,"turbot","1",NA,1,""
"1993-07-15",2,41,"plie grise","30",NA,1,""
"1993-07-15",2,211,"raie","2",NA,1,""
"1993-07-15",2,1823,"gosse de mer",NA,NA,1,""
"1993-07-15",2,8300,"anemone",NA,NA,1,""
