date,probe,location,position,event,tow.id,time
2023-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP354F,05:19:34
2023-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP351F,06:09:27
2023-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP351F,06:14:49
2023-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP353F,07:29:00
2023-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP353F,07:34:24
2023-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP352F,08:59:02
2023-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP352F,09:03:50
2023-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP350F,10:17:33
2023-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP350F,10:22:31
2023-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP346F,11:54:15
2023-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP346F,11:59:55
2023-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP342F,13:07:41
2023-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP043F,14:26:12
2023-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP043F,14:31:44
2023-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP328F,18:15:06
2023-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP328F,18:20:38
2023-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP321F,19:39:32
2023-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP321F,19:44:48
2023-07-10,Star Oddi DST-TD,footrope,center,touchdown,GP310F,20:30:28
2023-07-10,Star Oddi DST-TD,footrope,center,liftoff,GP310F,20:36:02
2023-07-12,Star Oddi DST-TD,footrope,center,touchdown,GP308F,16:34:55
2023-07-12,Star Oddi DST-TD,footrope,center,liftoff,GP308F,16:40:32
2023-07-12,Star Oddi DST-TD,footrope,center,touchdown,GP314F,17:25:20
2023-07-12,Star Oddi DST-TD,footrope,center,liftoff,GP314F,17:30:14
2023-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP325F,05:19:53
2023-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP335F,06:19:42
2023-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP335F,06:24:58
2023-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP344F,07:51:08
2023-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP344F,07:56:44
2023-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP341F,08:41:36
2023-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP341F,08:48:08
2023-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP331F,10:20:39
2023-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP331F,10:26:26
2023-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP326F,11:11:34
2023-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP326F,11:16:39
2023-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP315F,12:09:40
2023-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP315F,12:16:14
2023-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP324FR1,14:04:14
2023-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP324FR1,14:10:01
2023-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP320F,15:31:22
2023-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP320F,15:38:39
2023-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP312F,16:46:47
2023-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP312F,16:54:23
2023-07-13,Star Oddi DST-TD,footrope,center,touchdown,GP313F,18:45:25
2023-07-13,Star Oddi DST-TD,footrope,center,liftoff,GP313F,18:50:42
2023-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP303F,06:27:06
2023-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP287F,07:08:14
2023-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP287F,07:13:27
2023-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP290F,06:09:30
2023-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP295F,08:48:26
2023-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP295F,08:53:40
2023-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP316F,10:56:36
2023-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP316F,11:00:06
2023-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP293F,12:24:54
2023-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP293F,12:28:47
2023-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP282F,14:17:26
2023-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP282F,14:22:42
2023-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP273F,16:03:16
2023-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP273F,16:08:19
2023-07-14,Star Oddi DST-TD,footrope,center,touchdown,GP260F,17:45:26
2023-07-14,Star Oddi DST-TD,footrope,center,liftoff,GP260F,17:51:02
2023-07-15,Star Oddi DST-TD,footrope,center,liftoff,GP250F,05:34:19
2023-07-15,Star Oddi DST-TD,footrope,center,touchdown,GP235F,07:31:10
2023-07-15,Star Oddi DST-TD,footrope,center,liftoff,GP235F,07:35:42
2023-07-15,Star Oddi DST-TD,footrope,center,touchdown,GP237F,09:24:38
2023-07-15,Star Oddi DST-TD,footrope,center,liftoff,GP237F,09:30:38
2023-07-15,Star Oddi DST-TD,footrope,center,touchdown,GP334F,11:32:18
