date,tow.id,probe,type,location,position,event,time
2019-07-12,GP354F,,,,,start,5:12:48
2019-07-12,GP351F,,,,,start,6:55:00
2019-07-12,GP353F,,,,,start,8:43:30
2019-07-12,GP353FR,,,,,start,9:51:05
2019-07-12,GP352F,,,,,start,11:09:54
2019-07-12,GP350F,,,,,start,12:32:50
2019-07-12,GP346F,,,,,start,13:56:42
2019-07-12,GP342F,,,,,start,15:07:20
2019-07-12,GP334F,,,,,start,16:32:21
2019-07-12,GP334A1,,,,,start,17:51:26
2019-07-12,GP323F,,,,,start,19:48:54
2019-07-13,GP334A2,,,,,start,5:42:53
2019-07-13,GP334A3,,,,,start,9:08:14
2019-07-13,GP344F,,,,,start,11:23:02
2019-07-13,GP341F,,,,,start,14:06:21
2019-07-13,GP335F,,,,,start,15:43:25
2019-07-13,GP331F,,,,,start,16:42:53
2019-07-13,GP325F,,,,,start,17:45:57
2019-07-13,GP326F,,,,,start,18:58:58
2019-07-13,GP315F,,,,,start,20:03:51
2019-07-14,GP324F,,,,,start,5:21:27
2019-07-14,GP313F,,,,,start,6:42:20
2019-07-14,GP320F,,,,,start,8:10:12
2019-07-14,GP312F,,,,,start,9:52:41
2019-07-14,GP316F,,,,,start,11:48:35
2019-07-14,GP295F,,,,,start,14:07:32
2019-07-14,GP293F,,,,,start,15:41:13
2019-07-14,GP282F,,,,,start,17:40:54
2019-07-14,GP273F,,,,,start,19:56:22
2019-07-15,GP269F,,,,,start,5:27:27
2019-07-15,GP260F,,,,,start,7:30:05
2019-07-15,GP250F,,,,,start,8:58:21
2019-07-15,GP251F,,,,,start,10:16:59
2019-07-15,GP251A1,,,,,start,11:09:38
2019-07-15,GP251A2,,,,,start,12:20:24
2019-07-15,GP237F,,,,,start,14:11:25
2019-07-15,GP235F,,,,,start,16:03:51
2019-07-15,GP208F,,,,,start,19:08:05
2019-07-15,GP207F,,,,,start,20:22:12
2019-07-16,GP227F,,,,,start,5:29:44
2019-07-16,GP230F,,,,,start,6:26:22
2019-07-16,GP249F,,,,,start,8:05:20
2019-07-16,GP243F,,,,,start,8:46:35
2019-07-16,GP261F,,,,,start,9:43:28
2019-07-16,GP257F,,,,,start,10:42:05
2019-07-16,GP278F,,,,,start,12:12:55
2019-07-16,GP287F,,,,,start,13:31:25
2019-07-16,GP290F,,,,,start,14:20:51
2019-07-16,GP303F,,,,,start,15:27:27
2019-07-16,GP300F,,,,,start,16:09:59
2019-07-16,GP281F,,,,,start,18:20:22
2019-07-16,GP258F,,,,,start,19:32:37
2019-07-16,GP247F,,,,,start,20:24:48
2019-07-17,GP223F,,,,,start,5:29:26
2019-07-17,GP216F,,,,,start,7:10:11
2019-07-17,GP195F,,,,,start,8:43:25
2019-07-17,GP205F,,,,,start,10:28:47
2019-07-17,GP213F,,,,,start,11:27:10
2019-07-17,GP228F,,,,,start,12:51:35
2019-07-17,GP242F,,,,,start,14:33:14
2019-07-17,GP253F,,,,,start,15:19:53
2019-07-17,GP239F,,,,,start,16:40:34
2019-07-17,GP239A1,,,,,start,18:07:42
2019-07-17,GP224F,,,,,start,19:50:14
2019-07-18,GP222F,,,,,start,5:29:21
2019-07-18,GP211F,,,,,start,6:50:01
2019-07-18,GP194F,,,,,start,8:21:10
2019-07-18,GP186F,,,,,start,9:21:06
2019-07-18,GP182F,,,,,start,10:12:56
2019-07-18,GP199F,,,,,start,11:24:46
2019-07-18,GP219F,,,,,start,12:35:01
2019-07-18,GP212F,,,,,start,13:45:08
2019-07-18,GP196F,,,,,start,15:11:49
2019-07-25,GP159F,,,,,start,5:38:21
2019-07-25,GP184F,,,,,start,7:29:17
2019-07-25,GP184A1,,,,,start,8:47:22
2019-07-25,GP184A2,,,,,start,9:42:25
2019-07-25,GP184A3,,,,,start,10:41:28
2019-07-25,GP202F,,,,,start,12:05:04
2019-07-25,GP202A1,,,,,start,13:06:46
2019-07-25,GP202A2,,,,,start,14:07:40
2019-07-25,GP198F,,,,,start,15:25:50
2019-07-25,GP198A1,,,,,start,16:47:43
2019-07-25,GP206F,,,,,start,18:35:33
2019-07-25,GP233F,,,,,start,20:21:35
2019-07-26,GP220F,,,,,start,5:35:15
2019-07-26,GP226F,,,,,start,6:59:10
2019-07-26,GP240F,,,,,start,8:38:27
2019-07-26,GP240A1,,,,,start,9:48:55
2019-07-26,GP240A2,,,,,start,11:06:00
2019-07-26,GP234F,,,,,start,13:09:31
2019-07-26,GP214F,,,,,start,14:24:48
2019-07-26,GP192F,,,,,start,15:38:47
2019-07-26,GP197F,,,,,start,16:36:10
2019-07-26,GP189F,,,,,start,17:26:50
2019-07-26,GP189A1,,,,,start,18:21:22
2019-07-26,GP162F,,,,,start,19:37:46
2019-07-26,GP174F,,,,,start,20:29:30
2019-07-27,GP170F,,,,,start,6:28:36
2019-07-27,GP154F,,,,,start,8:20:01
2019-07-27,GP133F,,,,,start,9:25:10
2019-07-27,GP141F,,,,,start,10:21:24
2019-07-27,GP128F,,,,,start,11:41:42
2019-07-27,GP128A1,,,,,start,12:45:22
2019-07-27,GP128A2,,,,,start,14:05:07
2019-07-27,GP094F,,,,,start,15:54:27
2019-07-27,GP099F,,,,,start,16:46:06
2019-07-27,GP123F,,,,,start,17:48:08
2019-07-27,GP147F,,,,,start,19:30:06
2019-07-27,GP149F,,,,,start,20:15:30
2019-07-28,GP158F,,,,,start,5:52:01
2019-07-28,GP176F,,,,,start,7:20:45
2019-07-28,GP179F,,,,,start,8:45:11
2019-07-28,GP163F,,,,,start,10:25:59
2019-07-28,GP150F,,,,,start,11:39:58
2019-07-28,GP150A1,,,,,start,12:37:56
2019-07-28,GP150A2,,,,,start,13:43:41
2019-07-28,GP127F,,,,,start,15:30:27
2019-07-28,GP125F,,,,,start,16:53:53
2019-07-28,GP113F,,,,,start,18:11:01
2019-07-28,GP084F,,,,,start,19:50:46
2019-07-28,GP084A1,,,,,start,20:39:16
2019-07-29,GP084A2,,,,,start,5:44:26
2019-07-29,GP077F,,,,,start,7:09:28
2019-07-29,GP068F,,,,,start,8:34:52
2019-07-29,GP049F,,,,,start,10:13:31
2019-07-29,GP049A1,,,,,start,13:14:37
2019-07-29,GP049A2,,,,,start,14:55:24
2019-07-29,GP061F,,,,,start,15:55:59
2019-07-29,GP076F,,,,,start,16:57:59
2019-07-29,GP080F,,,,,start,17:55:17
2019-07-29,GP080A1,,,,,start,18:43:57
2019-07-29,GP088F,,,,,start,19:51:10
2019-07-30,GP106F,,,,,start,5:46:49
2019-07-30,GP105F,,,,,start,7:04:17
2019-07-30,GP105A1,,,,,start,8:27:13
2019-07-30,GP105A2,,,,,start,9:19:23
2019-07-30,GP124F,,,,,start,10:21:19
2019-07-30,GP097F,,,,,start,11:34:40
2019-07-30,GP079F,,,,,start,13:00:12
2019-07-30,GP090F,,,,,start,14:01:58
2019-07-30,GP067F,,,,,start,15:45:40
2019-07-30,GP067A1,,,,,start,16:57:00
2019-07-30,GP066F,,,,,start,18:28:32
2019-07-30,GP050F,,,,,start,19:50:10
2019-07-30,GP048F,,,,,start,20:40:03
2019-07-31,GP046F,,,,,start,5:48:18
2019-07-31,GP044F,,,,,start,7:23:15
2019-07-31,GP025F,,,,,start,8:55:05
2019-07-31,GP036F,,,,,start,10:17:08
2019-07-31,GP026F,,,,,start,11:55:52
2019-07-31,GP024F,,,,,start,13:01:49
2019-07-31,GP016F,,,,,start,14:38:52
2019-07-31,GP023F,,,,,start,15:56:20
2019-07-31,GP019F,,,,,start,16:57:57
2019-07-31,GP018F,,,,,start,18:08:09
2019-07-31,GP028F,,,,,start,19:31:55
2019-07-31,GP032F,,,,,start,20:16:23
2019-08-01,GP047F,,,,,start,5:54:55
2019-08-01,GP047A1,,,,,start,6:50:20
2019-08-01,GP047A2,,,,,start,7:57:36
2019-08-01,GP047A3,,,,,start,9:15:18
2019-08-01,GP040F,,,,,start,10:58:11
2019-08-01,GP022F,,,,,start,11:45:57
2019-08-01,GP030F,,,,,start,12:57:54
2019-08-01,GP042F,,,,,start,14:21:00
2019-08-01,GP052F,,,,,start,15:27:32
2019-08-01,GP051F,,,,,start,16:45:27
2019-08-01,GP041F,,,,,start,18:26:43
2019-08-01,GP031F,,,,,start,20:22:00
