"date","tow.id","species","length","length.unit","length.precision","comment"
"2010-08-18","GP001F",31,25,"cm",1,""
"2010-08-18","GP001F",40,15,"cm",1,""
"2010-08-18","GP001F",40,17,"cm",1,""
"2010-08-18","GP001F",40,17,"cm",1,""
"2010-08-18","GP001F",40,17,"cm",1,""
"2010-08-18","GP001F",40,18,"cm",1,""
"2010-08-18","GP001F",40,18,"cm",1,""
"2010-08-18","GP001F",40,18,"cm",1,""
"2010-08-18","GP001F",40,18,"cm",1,""
"2010-08-18","GP001F",40,19,"cm",1,""
"2010-08-18","GP001F",40,19,"cm",1,""
"2010-08-18","GP001F",40,19,"cm",1,""
"2010-08-18","GP001F",40,19,"cm",1,""
"2010-08-18","GP001F",40,19,"cm",1,""
"2010-08-18","GP001F",40,19,"cm",1,""
"2010-08-18","GP001F",40,19,"cm",1,""
"2010-08-18","GP001F",40,19,"cm",1,""
"2010-08-18","GP001F",40,20,"cm",1,""
"2010-08-18","GP001F",40,20,"cm",1,""
"2010-08-18","GP001F",40,20,"cm",1,""
"2010-08-18","GP001F",40,20,"cm",1,""
"2010-08-18","GP001F",40,20,"cm",1,""
"2010-08-18","GP001F",40,20,"cm",1,""
"2010-08-18","GP001F",40,21,"cm",1,""
"2010-08-18","GP001F",40,21,"cm",1,""
"2010-08-18","GP001F",40,21,"cm",1,""
"2010-08-18","GP001F",40,22,"cm",1,""
"2010-08-18","GP001F",40,22,"cm",1,""
"2010-08-18","GP001F",40,22,"cm",1,""
"2010-08-18","GP001F",40,22,"cm",1,""
"2010-08-18","GP001F",40,22,"cm",1,""
"2010-08-18","GP001F",40,22,"cm",1,""
"2010-08-18","GP001F",40,22,"cm",1,""
"2010-08-18","GP001F",40,22,"cm",1,""
"2010-08-18","GP001F",40,23,"cm",1,""
"2010-08-18","GP001F",40,23,"cm",1,""
"2010-08-18","GP001F",40,23,"cm",1,""
"2010-08-18","GP001F",40,23,"cm",1,""
"2010-08-18","GP001F",40,24,"cm",1,""
"2010-08-18","GP001F",40,24,"cm",1,""
"2010-08-18","GP001F",40,24,"cm",1,""
"2010-08-18","GP001F",40,24,"cm",1,""
"2010-08-18","GP001F",40,25,"cm",1,""
"2010-08-18","GP001F",40,26,"cm",1,""
"2010-08-18","GP001F",40,26,"cm",1,""
"2010-08-18","GP001F",40,26,"cm",1,""
"2010-08-18","GP001F",40,26,"cm",1,""
"2010-08-18","GP001F",40,27,"cm",1,""
"2010-08-18","GP001F",40,28,"cm",1,""
"2010-08-18","GP001F",40,28,"cm",1,""
"2010-08-18","GP001F",40,28,"cm",1,""
