"code"	"english"	"latin"	"french"	"aphia.id"	"kingdom"	"phylum"	"class"	"subclass"	"order"	"superfamily"	"family"	"infraclass"	"subterclass"	"superorder"	"subkingdom"	"infrakingdom"	"subphylum"	"infraphylum"	"superclass"	"phylum (division)"	"suborder"	"infraorder"	"parvorder"	"subfamily"	"genus"	"species"	"tribe"	"section"	"subsection"	"subgenus"	"subphylum (subdivision)"	"subspecies"
1	"Orange filefish"	"Aluterus schoepfi"	"Alutère orange"	159490	"Animalia"	"Chordata"	"Actinopterygii"	""	"Tetraodontiformes"	""	"Monacanthidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Aluterus"	"Aluterus schoepfii"	""	""	""	""	""	""
2	"Filefish, scrawled"	"Aluterus scriptus"	"Alutère écrit"	159491	"Animalia"	"Chordata"	"Actinopterygii"	""	"Tetraodontiformes"	""	"Monacanthidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Aluterus"	"Aluterus scriptus"	""	""	""	""	""	""
3	"Gray triggerfish"	"Balistes capriscus"	"Baliste gris"	154721	"Animalia"	"Chordata"	"Actinopterygii"	""	"Tetraodontiformes"	""	"Balistidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Balistes"	"Balistes capriscus"	""	""	""	""	""	""
4	"Queen triggerfish"	"Balistes vetula"	"Baliste vieille"	127397	"Animalia"	"Chordata"	"Actinopterygii"	""	"Tetraodontiformes"	""	"Balistidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Balistes"	"Balistes vetula"	""	""	""	""	""	""
5	"Fringed filefish"	"Monacanthus ciliatus"	"Lime frangée"	159497	"Animalia"	"Chordata"	"Actinopterygii"	""	"Tetraodontiformes"	""	"Monacanthidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Monacanthus"	"Monacanthus ciliatus"	""	""	""	""	""	""
6	"Planehead filefish"	"Stephanolepis hispidus"	"Lime à grande tête"	127409	"Animalia"	"Chordata"	"Actinopterygii"	""	"Tetraodontiformes"	""	"Monacanthidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Stephanolepis"	"Stephanolepis hispidus"	""	""	""	""	""	""
7	"Northern kingfish"	"Menticirrhus saxatilis"	"Menticirrhus saxatilis"	159329	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Sciaenidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Percoidei"	""	""	""	"Menticirrhus"	"Menticirrhus saxatilis"	""	""	""	""	""	""
8	"Bothus sp."	"Bothus sp."	"Bothus sp."	126110	"Animalia"	"Chordata"	"Actinopterygii"	""	"Pleuronectiformes"	""	"Bothidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Bothus"	""	""	""	""	""	""	""
9	"Silver anchovy"	"Engraulis eurystole"	"Engraulis eurystole"	158702	"Animalia"	"Chordata"	"Actinopterygii"	""	"Clupeiformes"	""	"Engraulidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Engraulis"	"Engraulis eurystole"	""	""	""	""	""	""
10	"Atlantic cod"	"Gadus morhua"	"Morue franche"	126436	"Animalia"	"Chordata"	"Actinopterygii"	""	"Gadiformes"	""	"Gadidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Gadus"	"Gadus morhua"	""	""	""	""	""	""
11	"Haddock"	"Melanogrammus aeglefinus"	"Aiglefin"	126437	"Animalia"	"Chordata"	"Actinopterygii"	""	"Gadiformes"	""	"Gadidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Melanogrammus"	"Melanogrammus aeglefinus"	""	""	""	""	""	""
12	"White hake"	"Urophycis tenuis"	"Merluche blanche"	126504	"Animalia"	"Chordata"	"Actinopterygii"	""	"Gadiformes"	""	"Phycidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Urophycis"	"Urophycis tenuis"	""	""	""	""	""	""
13	"Squirrel or red hake"	"Urophycis chuss"	"Merluche-écureuil"	126503	"Animalia"	"Chordata"	"Actinopterygii"	""	"Gadiformes"	""	"Phycidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Urophycis"	"Urophycis chuss"	""	""	""	""	""	""
14	"Silver hake"	"Merluccius bilinearis"	"Merlu argenté"	158962	"Animalia"	"Chordata"	"Actinopterygii"	""	"Gadiformes"	""	"Merlucciidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Merlucciinae"	"Merluccius"	"Merluccius bilinearis"	""	""	""	""	""	""
15	"Cusk"	"Brosme brosme"	"Brosme"	126447	"Animalia"	"Chordata"	"Actinopterygii"	""	"Gadiformes"	""	"Lotidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Brosme"	"Brosme brosme"	""	""	""	""	""	""
16	"Pollock"	"Pollachius virens"	"Goberge"	126441	"Animalia"	"Chordata"	"Actinopterygii"	""	"Gadiformes"	""	"Gadidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Pollachius"	"Pollachius virens"	""	""	""	""	""	""
17	"Atlantic tomcod"	"Microgadus tomcod"	"Poulamon atlantique"	158928	"Animalia"	"Chordata"	"Actinopterygii"	""	"Gadiformes"	""	"Gadidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Microgadus"	"Microgadus tomcod"	""	""	""	""	""	""
18	"Gadiformes"	"Gadiformes"	"Merlus"	10313	"Animalia"	"Chordata"	"Actinopterygii"	""	"Gadiformes"	""	""	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	""	""	""	""	""	""	""	""
19	"Off-shore hake"	"Merluccius albidus"	"Merlu blanc"	158748	"Animalia"	"Chordata"	"Actinopterygii"	""	"Gadiformes"	""	"Merlucciidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Merlucciinae"	"Merluccius"	"Merluccius albidus"	""	""	""	""	""	""
20	"Redfish"	"Sebastes marinus"	"Sébaste atlantique"	151324	"Animalia"	"Chordata"	"Actinopterygii"	""	"Scorpaeniformes"	""	"Sebastidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Scorpaenoidei"	""	""	"Sebastinae"	"Sebastes"	"Sebastes norvegicus"	""	""	""	""	""	""
21	"Redfish, deep water"	"Sebastes mentella"	"Sébaste de profondeur"	127254	"Animalia"	"Chordata"	"Actinopterygii"	""	"Scorpaeniformes"	""	"Sebastidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Scorpaenoidei"	""	""	"Sebastinae"	"Sebastes"	"Sebastes mentella"	""	""	""	""	""	""
22	"Bonapartia pediolota"	"Bonapartia pediolota"	"Bonapartia pediolota"	127281	"Animalia"	"Chordata"	"Actinopterygii"	""	"Stomiiformes"	""	"Gonostomatidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Bonapartia"	"Bonapartia pedaliota"	""	""	""	""	""	""
23	"Redfish unsp."	"Sebastes sp."	"Sébaste non spécifié"	126175	"Animalia"	"Chordata"	"Actinopterygii"	""	"Scorpaeniformes"	""	"Sebastidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Scorpaenoidei"	""	""	"Sebastinae"	"Sebastes"	""	""	""	""	""	""	""
24	"Striped bass"	"Morone saxatilis"	"Bar d'Amérique"	151179	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Moronidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Percoidei"	""	""	""	"Morone"	"Morone saxatilis"	""	""	""	""	""	""
25	"Tile fish"	"Lopholatilus chamaeleonticeps"	"Tile"	159406	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Malacanthidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Percoidei"	""	""	"Latilinae"	"Lopholatilus"	"Lopholatilus chamaeleonticeps"	""	""	""	""	""	""
26	"Smoothhead scorpionfish"	"Scorpaena calcarata"	"Scorpaena calcarata"	159563	"Animalia"	"Chordata"	"Actinopterygii"	""	"Scorpaeniformes"	""	"Scorpaenidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Scorpaenoidei"	""	""	"Scorpaeninae"	"Scorpaena"	"Scorpaena calcarata"	""	""	""	""	""	""
