"date","set.number","species","cruise","valid","experiment","number.caught","weight.caught","number.basket","extra","weight.sampled","comment"
"2019-07-09",1,10,"P140",1,1,14,0.175,1,"",0.175,"Observations Completed."
"2019-07-09",1,42,"P140",1,1,12,0.79,1,"",0.79,"Observations Completed."
"2019-07-09",1,43,"P140",1,1,134,22.9,1,"",22.9,"Observations Completed."
"2019-07-09",1,62,"P140",1,1,4,0.313,1,"",0.313,"Observations Completed."
"2019-07-09",1,63,"P140",1,1,5,0.037,1,"",0.037,"Observations Completed. Wt verified"
"2019-07-09",1,70,"P140",1,1,12,2.51,1,"",2.51,"Observations Completed."
"2019-07-09",1,143,"P140",1,1,16,1.55,1,"",1.55,"Observations Completed. Wt v"
"2019-07-09",1,204,"P140",1,1,6,2.81,1,"",2.81,"Observations Completed."
"2019-07-09",1,640,"P140",1,1,1,0.343,1,"",0.343,"Observations Completed."
"2019-07-09",1,2550,"P140",1,1,661,142,7,"",62.1,"Observations Completed."
"2019-07-09",1,4348,"P140",1,1,0,0.138,1,"",0,""
"2019-07-09",1,8500,"P140",1,1,0,0.164,1,"",0,""
"2019-07-09",2,10,"P140",1,1,8,0.274,1,"",0.274,"Observations Completed."
"2019-07-09",2,43,"P140",1,1,121,14.5,1,"",14.5,"Observations Completed."
"2019-07-09",2,60,"P140",1,1,1,0.29,1,"",0.29,"Observations Completed. 88.5 cm herring. One fish."
"2019-07-09",2,63,"P140",1,1,146,2.07,1,"",2.07,"Observations Completed."
"2019-07-09",2,70,"P140",1,1,2,0.607,1,"",0.607,"Observations Completed."
"2019-07-09",2,122,"P140",1,1,2,0.105,1,"",0.105,"Observations Completed."
"2019-07-09",2,143,"P140",1,1,1,0.123,1,"",0.123,"Observations Completed."
"2019-07-09",2,204,"P140",1,1,5,4.26,1,"",4.26,"Observations Completed."
"2019-07-09",2,303,"P140",1,1,1,0.004,1,"",0.004,"Observations Completed."
"2019-07-09",2,640,"P140",1,1,1,0.421,1,"",0.421,"Observations Completed."
"2019-07-09",2,2417,"P140",1,1,0,0.003,1,"",0,""
"2019-07-09",2,2513,"P140",1,1,2,0.2,1,"",0.2,"Observations Completed. Legs missing."
"2019-07-09",2,2539,"P140",1,1,1,0.112,1,"",0.112,"Observations Completed. Weight verified."
"2019-07-09",2,2550,"P140",1,1,491,87,5,"",56,"Observations Completed."
"2019-07-09",2,8500,"P140",1,1,0,1,1,"",0,""
"2019-07-09",2,8600,"P140",1,1,0,0.019,1,"",0,""
"2019-07-09",3,10,"P140",1,1,100,2.11,1,"",2.11,"Observations Completed."
"2019-07-09",3,12,"P140",1,1,1,0.119,1,"",0.119,"Observations Completed."
"2019-07-09",3,43,"P140",1,1,1176,57.1,4,"",8.01,"Observations Completed."
"2019-07-09",3,60,"P140",1,1,1,0.048,1,"",0.048,"Observations Completed."
"2019-07-09",3,62,"P140",1,1,1,0.106,1,"",0.106,"Observations Completed."
"2019-07-09",3,63,"P140",1,1,2079,23.8,3,"",3.08,"Observations Completed."
"2019-07-09",3,70,"P140",1,1,1,0.193,1,"",0.193,"Observations Completed."
"2019-07-09",3,122,"P140",1,1,5,0.066,1,"",0.066,"Observations Completed. Wt v"
"2019-07-09",3,143,"P140",1,1,38,2.56,1,"",2.56,"Observations Completed."
"2019-07-09",3,204,"P140",1,1,2,0.459,1,"",0.459,"Observations Completed."
"2019-07-09",3,2550,"P140",1,1,930,208,10,"",63.3,"Observations Completed."
"2019-07-09",3,4511,"P140",1,1,3,0.165,1,"",0.165,"Observations Completed."
"2019-07-09",3,8300,"P140",1,1,0,0,1,"",0,""
"2019-07-09",3,8500,"P140",1,1,0,0.216,1,"",0,""
"2019-07-09",3,8600,"P140",1,1,0,0.076,1,"",0,""
"2019-07-10",4,17,"P140",1,1,4,0.343,1,"",0.343,"Observations Completed."
"2019-07-10",4,43,"P140",1,1,736,29.8,3,"",15.5,"Observations Completed."
"2019-07-10",4,60,"P140",1,1,1,0.031,1,"",0.031,"Observations Completed."
"2019-07-10",4,62,"P140",1,1,1,0.1,1,"",0.1,"Observations Completed."
"2019-07-10",4,63,"P140",1,1,1201,9.77,4,"",2.09,"Observations Completed."
"2019-07-10",4,70,"P140",1,1,4,0.865,1,"",0.865,"Observations Completed."
"2019-07-10",4,114,"P140",1,1,1,0.016,1,"",0.016,"Observations Completed."
"2019-07-10",4,122,"P140",1,1,9,0.248,1,"",0.248,"Observations Completed."
"2019-07-10",4,143,"P140",1,1,66,3.55,2,"",3.55,"Observations Completed."
"2019-07-10",4,204,"P140",1,1,11,5.44,1,"",5.44,"Observations Completed."
"2019-07-10",4,251,"P140",1,1,5,0.08,1,"",0.08,"Observations Completed."
"2019-07-10",4,640,"P140",1,1,2,0.451,1,"",0.451,"Observations Completed."
"2019-07-10",4,2513,"P140",1,1,2,0.027,1,"",0.027,"Observations Completed."
"2019-07-10",4,2550,"P140",1,1,1997,298,15,"",64.3,"Observations Completed."
"2019-07-10",4,8300,"P140",1,1,0,0.016,1,"",0,""
"2019-07-10",4,8500,"P140",1,1,0,0.131,1,"",0,""
"2019-07-10",4,8623,"P140",1,1,0,0.004,1,"",0,""
"2019-07-10",4,9300,"P140",1,1,0,0.072,1,"",0,""
"2019-07-10",5,10,"P140",1,1,1,0.035,1,"",0.035,"Observations Completed."
"2019-07-10",5,17,"P140",1,1,13,1.21,1,"",1.21,"Observations Completed."
"2019-07-10",5,43,"P140",1,1,241,15.9,1,"",15.9,"Observations Completed."
"2019-07-10",5,60,"P140",1,1,1,0.002,1,"",0.002,"Observations Completed."
"2019-07-10",5,62,"P140",1,1,14,1.19,1,"",1.19,"Observations Completed."
"2019-07-10",5,63,"P140",1,1,1148,19.9,2,"",5.06,"Observations Completed."
"2019-07-10",5,122,"P140",1,1,1,0.019,1,"",0.019,"Observations Completed."
"2019-07-10",5,143,"P140",1,1,1,0.161,1,"",0.161,"Observations Completed."
"2019-07-10",5,204,"P140",1,1,1,0.356,1,"",0.356,"Observations Completed."
"2019-07-10",5,251,"P140",1,1,10,0.172,2,"",0.172,"Observations Completed."
"2019-07-10",5,300,"P140",1,1,1,0.132,1,"",0.132,"Observations Completed."
"2019-07-10",5,640,"P140",1,1,1,0.018,1,"",0.018,"Observations Completed."
"2019-07-10",5,2513,"P140",1,1,4,0.106,1,"",0.106,"Observations Completed."
"2019-07-10",5,2550,"P140",1,1,512,107,6,"",59.6,"Observations Completed."
"2019-07-10",5,6119,"P140",1,1,0,0.004,1,"",0,""
"2019-07-10",5,8500,"P140",1,1,0,0.033,1,"",0,""
"2019-07-10",5,8623,"P140",1,1,0,0.111,1,"",0,""
"2019-07-10",6,43,"P140",1,1,173,15.8,1,"",15.8,"Observations Completed."
"2019-07-10",6,63,"P140",1,1,10,0.24,1,"",0.24,"Observations Completed."
"2019-07-10",6,2212,"P140",1,1,0,0.001,1,"",0,""
"2019-07-10",6,2550,"P140",1,1,349,80.3,4,"",61.6,"Observations Completed."
"2019-07-10",6,8500,"P140",1,1,0,0.064,1,"",0,""
"2019-07-10",6,8623,"P140",1,1,0,0.055,1,"",0,""
"2019-07-11",7,42,"P140",1,1,1,0.041,1,"",0.041,"Observations Completed."
"2019-07-11",7,43,"P140",1,1,6,0.838,1,"",0.838,"Observations Completed."
"2019-07-11",7,60,"P140",1,1,11,1.35,1,"",1.35,"Observations Completed."
"2019-07-11",7,62,"P140",1,1,13,1.38,1,"",1.38,"Observations Completed."
"2019-07-11",7,63,"P140",1,1,17,0.371,1,"",0.371,"Observations Completed."
"2019-07-11",7,70,"P140",1,1,23,4.54,1,"",4.54,"Observations Completed."
"2019-07-11",7,143,"P140",1,1,1,0.05,1,"",0.05,"Observations Completed."
"2019-07-11",7,204,"P140",1,1,1,0.278,1,"",0.278,"Observations Completed."
"2019-07-11",7,251,"P140",1,1,11,0.172,1,"",0.172,"Observations Completed."
"2019-07-11",7,2550,"P140",1,1,307,76.7,4,"",54.2,"Observations Completed."
"2019-07-11",8,10,"P140",1,1,7,0.264,1,"",0.264,"Observations Completed."
"2019-07-11",8,43,"P140",1,1,150,6.19,1,"",6.19,"Observations Completed."
"2019-07-11",8,62,"P140",1,1,4,0.427,1,"",0.427,"Observations Completed."
"2019-07-11",8,63,"P140",1,1,276,4.78,1,"",4.78,"Observations Completed."
