year,month,day,tow.id,crab.number,sex,shell.condition,body.part,colour.L,colour.a,colour.b,durometer,comment
2018,7,19,GP323F,1,1,1,chela,35.89,0.3078,0.3225,73,
2018,7,19,GP323F,2,1,1,chela,18.27,0.3104,0.3238,68,
2018,7,19,GP325F,1,1,1,chela,32.95,0.3079,0.3267,61,
2018,7,19,GP325F,2,1,1,chela,25.48,0.2985,0.3144,67,
2018,7,19,GP325F,47,1,3,chela,36.39,0.3131,0.3323,90,
2018,7,19,GP325F,61,1,3,chela,40.26,0.3158,0.3354,91,
2018,7,19,GP335F,1,1,1,chela,25.96,0.304,0.3187,67,
2018,7,19,GP335F,21,1,3,chela,32.16,0.3089,0.3264,91,
2018,7,19,GP335F,22,1,3M,chela,21.28,0.3364,0.3528,73,
2018,7,19,GP335F,34,1,4,chela,20.87,0.3391,0.3489,66,
2018,7,19,GP342F,1,1,3,chela,20.15,0.3121,0.3267,70,
2018,7,19,GP342F,2,1,1,chela,27.35,0.3021,0.3179,57,
2018,7,19,GP342F,3,1,1,chela,30.49,0.302,0.3185,52,
2018,7,19,GP342F,5,1,1,chela,32.49,0.3026,0.3187,53,
2018,7,19,GP342F,16,1,3,chela,27.68,0.3142,0.3306,85,
2018,7,19,GP344F,3,1,3M,chela,27.1,0.3251,0.3396,82,
2018,7,19,GP344F,11,1,3,chela,30.29,0.3294,0.3487,81,
2018,7,19,GP344F,13,1,1,chela,25.26,0.3037,0.3177,68,
2018,7,19,GP344F,21,1,1,chela,30.97,0.2998,0.3139,65,
2018,7,19,GP346F,8,1,3,chela,28.41,0.3355,0.3526,88,
2018,7,19,GP346F,9,1,3,chela,30.07,0.3186,0.3382,72,
2018,7,19,GP346F,16,1,1,chela,35.27,0.3063,0.323,42,
2018,7,19,GP346F,32,1,1,chela,14.37,0.3104,0.321,56,
2018,7,19,GP346F,41,1,2,chela,24.34,0.3533,0.3642,72,
2018,7,19,GP350F,1,1,1,chela,27.42,0.3396,0.3551,87,
2018,7,19,GP350F,2,1,1,chela,32.42,0.3184,0.3352,88,
2018,7,19,GP350F,3,1,3,chela,37.33,0.3145,0.3283,92,
2018,7,19,GP350F,7,1,3,chela,25.37,0.2938,0.3086,58,
2018,7,19,GP350F,12,1,2,chela,36.46,0.3096,0.3223,51,
2018,7,19,GP351F,1,1,1,chela,27.59,0.2975,0.3133,54,
2018,7,19,GP351F,2,1,1,chela,27.39,0.2995,0.3105,48,
2018,7,19,GP351F,9,1,3,chela,33.74,0.3133,0.33,86,
2018,7,19,GP351F,20,1,2,chela,15.21,0.3204,0.3307,65,
2018,7,19,GP351F,22,1,3,chela,33.38,0.313,0.3296,86,
2018,7,19,GP351F,39,1,2,chela,18.97,0.3122,0.3246,68,
2018,7,20,GP290F,2,1,2,chela,26.2,0.3209,0.3304,,durom_tre bris‚ pour le reste du voyage
2018,7,20,GP290F,15,1,2,chela,27.08,0.3116,0.3166,,durom_tre bris‚ pour le reste du voyage
2018,7,20,GP295F,4,1,1,chela,23.47,0.3003,0.3118,50,
2018,7,20,GP295F,5,1,1,chela,28.33,0.305,0.3166,61,
2018,7,20,GP295F,7,1,2,chela,27.98,0.3167,0.3285,79,
2018,7,20,GP295F,31,1,3,chela,35.28,0.3255,0.3425,91,
2018,7,20,GP295F,34,1,2,chela,30.07,0.3188,0.3329,81,
2018,7,20,GP295F,38,1,2,chela,21.13,0.3389,0.3491,,durom_tre bris‚ pour le reste du voyage
2018,7,20,GP313F,3,1,2,chela,21.77,0.3271,0.3397,62,
2018,7,20,GP313F,4,1,1,chela,23.26,0.3002,0.3136,56,
2018,7,20,GP313F,19,1,1,chela,27.95,0.3043,0.3185,47,
2018,7,20,GP313F,24,1,3M,chela,22.4,0.3396,0.3521,66,
2018,7,20,GP315F,22,1,5,chela,10.27,0.371,0.3602,52,
2018,7,20,GP315F,23,1,3M,chela,23.86,0.3419,0.3497,78,
2018,7,20,GP315F,34,1,1,chela,21.96,0.3105,0.3198,55,
2018,7,20,GP324F,3,1,3,chela,36.16,0.3162,0.3333,87,
2018,7,20,GP324F,4,1,3,chela,22.23,0.3143,0.3277,70,
2018,7,20,GP324F,11,1,1,chela,22.88,0.3003,0.3114,56,
2018,7,20,GP324F,15,1,1,chela,30.64,0.2977,0.3118,58,
2018,7,20,GP326F,3,1,3,chela,32.4,0.3142,0.3304,83,
2018,7,20,GP326F,10,1,1,chela,34.65,0.3033,0.3186,55,
2018,7,20,GP326F,11,1,1,chela,33.68,0.3048,0.3197,53,
2018,7,20,GP331F,1,1,1,chela,22.63,0.3104,0.32,64,
2018,7,20,GP331F,5,1,1,chela,30.3,0.3026,0.317,58,
2018,7,20,GP331F,32,1,3,chela,31.03,0.3197,0.3361,84,
2018,7,20,GP331F,36,1,3,chela,30.99,0.3141,0.3307,87,
2018,7,20,GP341F,3,1,1,chela,23.31,0.3111,0.3201,56,
