year,month,day,tow.id,sex,body.part,shell.condition,crab.number ,colour.L,colour.a,colour.b,comment
2021,9,20,GP330F,1,chela,3,18,64.49,-2.67,7.57,
2021,9,20,GP330F,1,chela,3,19,55.5,-1.09,14.43,
2021,9,20,GP330F,1,chela,2,37,62.83,-2.71,4.27,
2021,9,20,GP330F,1,chela,2,42,60.84,-3.11,5.12,
2021,9,20,GP330F,1,chela,4,45,52.23,1.8,18.36,
2021,9,20,GP330F,1,chela,4,57,47.53,5.27,25.01,
2021,9,20,GP336F,1,chela,1,1,56.46,-1.39,0.15,
2021,9,20,GP336F,1,chela,3,4,51.33,-0.01,8.53,
2021,9,20,GP336F,1,chela,3,5,49.69,0.34,11.18,
2021,9,20,GP336F,1,chela,2,14,53,-0.75,1.92,
2021,9,20,GP336F,1,chela,1,15,52.72,-0.31,3.63,
2021,9,20,GP336F,1,chela,2,39,66.77,-3.35,3.14,
2021,9,20,GP340F,1,chela,2,1,61.43,-2.17,3.63,
2021,9,20,GP340F,1,chela,2,2,64.53,-2.59,1.36,
2021,9,20,GP340F,1,chela,1,3,56,-0.78,-0.04,
2021,9,20,GP340F,1,chela,3,5,51.76,0.19,7.94,
2021,9,20,GP340F,1,chela,3,7,51.8,0.42,9.13,
2021,9,20,GP340F,1,chela,1,11,55.25,-1.4,-0.48,
2021,9,20,GP339F,1,chela,2,1,66.74,-3.16,0.92,
2021,9,20,GP339F,1,chela,3,2,62.92,-1.87,10.03,
2021,9,20,GP339F,1,chela,1,3,65.26,-2.33,1.74,
2021,9,20,GP339F,1,chela,3,4,62.37,-2.51,7.87,
2021,9,20,GP343F,1,chela,1,1,64.18,-2.8,0.8,
2021,9,20,GP343F,1,chela,1,2,65.54,-3.31,1.98,
2021,9,5,GP239F,1,chela,1,10,55.13,-2.29,0.18,
2021,9,5,GP239F,1,chela,1,11,61.95,-2.65,-1.35,
2021,9,5,GP253F,1,chela,1,1,58.09,-1.68,-0.04,
2021,9,5,GP253F,1,chela,2,2,62.21,-2.77,-2.12,
2021,9,5,GP242F,1,chela,1,1,57.54,-2.16,-2.26,
2021,9,5,GP242F,1,chela,2,7,64.67,-2.75,-0.22,
2021,9,5,GP228F,1,chela,2,32,63.21,-2.83,3.98,
2021,9,5,GP228F,1,chela,2,65,65.34,-3.09,1.37,
2021,9,5,GP228F,1,chela,1,66,61.4,-2.91,1.03,
2021,9,5,GP216F,1,chela,4,5,54.48,-0.79,12.39,
2021,9,5,GP216F,1,chela,3,6,57.83,-1.33,10.38,
2021,9,5,GP216F,1,chela,2,7,64.81,-3.29,3.8,
2021,9,5,GP216F,1,chela,2,12,63.42,-3.26,1.54,
2021,9,5,GP216F,1,chela,3,13,58.92,-0.78,13.94,
2021,9,5,GP195F,1,chela,1,1,61.92,-2.77,-0.12,
2021,9,5,GP195F,1,chela,2,15,63.22,-3.27,4.76,
2021,9,5,GP195F,1,chela,1,24,56.21,-1.85,2.57,
2021,9,5,GP195F,1,chela,3,25,61.41,-0.99,11.86,
2021,9,5,GP195F,1,chela,3,26,54.33,-1.11,10.86,
2021,9,5,GP195F,1,chela,2,36,63.62,-2.69,3.92,
2021,9,5,GP171F,1,chela,2,1,67.3,-3.74,5.3,
2021,9,5,GP171F,1,chela,3,2,62.45,-3.4,2.51,
2021,9,5,GP171F,1,chela,3,4,54.32,-1.17,9.87,
2021,9,5,GP171F,1,chela,2,37,64.91,-2.81,4.61,
2021,9,5,GP171F,1,chela,5,39,47.1,1.03,16.41,
2021,9,5,GP155F,1,chela,2,1,65.01,-2.85,0.87,
2021,9,5,GP155F,1,chela,1,2,57.31,-2.2,1.86,
