"date","set.number","species","cruise","valid","experiment","number.caught","weight.caught","number.basket","extra","weight.sampled","comment"
"2016-07-12",2,42,"P018",1,1,1,0.1,1,"",0.1,""
"2016-07-12",2,43,"P018",1,1,68,3.5,1,"",3.5,""
"2016-07-12",2,63,"P018",1,1,763,10.6,2,"",3.03,""
"2016-07-12",2,70,"P018",1,1,24,3.8,1,"",3.8,""
"2016-07-12",2,143,"P018",1,1,18,1.4,1,"",1.4,""
"2016-07-12",2,2550,"P018",1,1,266,51.4,3,"",51.4,""
"2016-07-12",2,8500,"P018",1,1,0,0.1,1,"",0,""
"2016-07-13",3,43,"P018",1,1,9,0.254,1,"",0.254,""
"2016-07-13",3,63,"P018",1,1,263,3.19,1,"",3.19,""
"2016-07-13",3,70,"P018",1,1,9,0.724,1,"",0.724,""
"2016-07-13",3,2539,"P018",1,1,3,0.273,1,"",0.273,""
"2016-07-13",3,2550,"P018",1,1,64,12.8,1,"",12.8,""
"2016-07-13",3,6118,"P018",1,1,0,0.001,1,"",0,""
"2016-07-13",3,8500,"P018",1,1,0,0.038,1,"",0,""
"2016-07-13",3,9300,"P018",1,1,0,0.025,1,"",0,""
"2016-07-13",4,17,"P018",1,1,1,0.12,1,"",0.12,""
"2016-07-13",4,43,"P018",1,1,45,2.33,1,"",2.33,""
"2016-07-13",4,63,"P018",1,1,201,3.98,2,"",3.98,""
"2016-07-13",4,70,"P018",1,1,2,0.16,1,"",0.16,""
"2016-07-13",4,122,"P018",1,1,1,0.1,1,"",0.1,""
"2016-07-13",4,303,"P018",1,1,1,0.003,1,"",0.003,""
"2016-07-13",4,2539,"P018",1,1,1,0.006,1,"",0.006,""
"2016-07-13",4,2550,"P018",1,1,127,21.7,1,"",21.7,""
"2016-07-13",4,8600,"P018",1,1,0,0.01,1,"",0,""
"2016-07-13",5,43,"P018",1,1,10,1.23,1,"",1.23,""
"2016-07-13",5,122,"P018",1,1,1,0.014,1,"",0.014,""
"2016-07-13",5,2539,"P018",1,1,1,0.116,1,"",0.116,""
"2016-07-13",5,2550,"P018",1,1,116,19.2,1,"",19.2,""
"2016-07-13",6,43,"P018",1,1,49,4.91,1,"",4.91,""
"2016-07-13",6,63,"P018",1,1,344,7.54,2,"",5,""
"2016-07-13",6,70,"P018",1,1,2,0.28,1,"",0.28,""
"2016-07-13",6,122,"P018",1,1,2,0.033,1,"",0.033,""
"2016-07-13",6,2539,"P018",1,1,1,0.086,1,"",0.086,""
