name,vessel.length,vessel.weight,vessel.horsepower,vessel.hull,trawl.method
E.E. Prince,,,,,stern
Lady Hammond,,,,,stern
CCGS Alfred Needler,50.3m,958,3500,steel,stern
CCGS Wilfred Templeman,50.3m,925,1970,steel,stern
CCGS Teleost,63m,2405,4000,steel,stern
CCGS Opilio,18.2m,74,382,steel,stern
CCGS M. Pearly,22m,211,957,steel,stern
CFV Emy Serge D.,64ft,,375,wood,side
CFV Den C. Martin,64ft,,402,steel,stern
CFV Marco-Michel,65ft,,660,fiberglass,stern
CFV Jean-Mathieu,65ft,99,720,steel,stern
CFV Avalon Voyager II,65ft,137.6,850,steel,stern
