"date","zone","subzone","data.type","tow.number","crab.number","sex","carapace.width","abdomen.width","chela.height","maturity","shell.condition","shell.condition.mossy","gonad.colour","egg.colour","eggs.remaining","tag.number","missing.legs","position.type","latitude.start","longitude.start","depth","soak.days","durometer","trap.code","samplers","weight","comments","tow.id"
"1996-08-31","19","","3",1,1,"2",70,51,NA,"*",4,"",NA,2,"4","00000000","*********1","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,2,"2",65,47,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,3,"2",73,51,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,4,"2",62,43,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,5,"2",64,46,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,6,"2",72,48,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,7,"2",84,58,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,8,"2",60,42,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,9,"2",77,53,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,10,"2",58,39,NA,"*",3,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,11,"2",62,41,NA,"*",3,"",NA,1,"4","00000000","*1********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,12,"2",72,42,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,13,"2",76,52,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,14,"2",73,51,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,15,"2",83,57,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,16,"2",69,49,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,17,"2",71,47,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,18,"2",77,52,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,19,"2",72,51,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,20,"2",73,51,NA,"*",4,"",NA,2,"4","00000000","********1*","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,21,"2",72,51,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,22,"2",76,53,NA,"*",3,"",NA,2,"4","00000000","*********1","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,23,"2",65,46,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,24,"2",62,44,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,25,"2",78,53,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
"1996-08-31","19","","3",1,26,"2",68,51,NA,"*",4,"",NA,2,"4","00000000","**********","LC",14525.5,29033.8,70,NA,"***","****","M.HEBERT/B.CAMPBELL",NA,"*",NA
