"date","start.time","cruise","station","stratum","block.number","valid","experiment","distance","duration","longitude.start","longitude.end","latitude.start","latitude.end","card.type","set.number","gear","auxiliary","speed","depth.start","depth.end","wind.direction","wind.force","tide","surface.temperature","bottom.temperature","warp.port","warp.starboard","comment"
"2016-07-12","16:31:00","P018","243",402,3,1,1,0.64,15,6423.21,6423.82,4624.14,4624.62,5,2,16,0,2.5,15,14,8,2,1,NA,15.2,NA,NA,"stn 243"
"2016-07-13","08:31:00","P018","247",402,3,1,1,0.62,15,6411.57,6411.11,4624,4623.47,5,3,16,0,2.5,12,11,4,3,1,NA,17.5,NA,NA,"stn 247"
"2016-07-13","09:45:00","P018","219",NA,3,1,1,0.64,15,6411.51,6411,4629.81,4629.28,5,4,16,0,2.5,10,9,4,3,1,NA,16.6,NA,NA,"stn 219"
"2016-07-13","10:51:00","P018","198",NA,3,1,1,0.64,15,6409.11,6409.43,4633.77,4633.17,5,5,16,0,2.5,5,5,4,2,1,NA,16.6,NA,NA,"stn 198"
"2016-07-13","13:04:00","P018","195",NA,3,1,1,0.62,15,6417.19,6416.71,4633.83,4633.3,5,6,16,0,2.5,7,10,4,4,1,NA,16.1,NA,NA,"stn 195"
"2016-07-13","14:33:00","P018","207",402,3,1,1,0.66,15,6417.32,6417.37,4631.94,4631.28,5,7,16,0,2.5,16,17,4,4,1,NA,15.3,NA,NA,"stn 207"
"2016-07-14","09:06:00","P018","180",421,2,1,1,0.63,15,6428.76,6428.53,4636.23,4635.62,5,8,16,0,2.5,20,21,6,5,1,NA,14,NA,NA,"stn 180"
"2016-07-14","11:13:00","P018","173",421,2,1,1,0.61,15,6429.17,6428.96,4638.08,4637.49,5,9,16,0,2.5,27,22,6,5,1,NA,14.4,NA,NA,"stn 173"
"2016-07-14","13:41:00","P018","165",NA,1,1,1,0.66,15,6434.43,6434.23,4639.77,4639.12,5,10,16,0,2.5,16,15,6,5,1,NA,13.9,NA,NA,"stn 165"
"2016-07-14","14:48:00","P018","188",NA,1,1,1,0.65,15,6436.78,6436.62,4633.82,4633.18,5,11,16,0,2.5,9,9,6,5,1,NA,15,NA,NA,"stn 188"
"2016-07-15","08:21:00","P018","213",NA,3,1,1,0.62,15,6428.91,6429.09,4630.04,4629.43,5,12,16,0,2.5,12,13,6,5,1,NA,16,NA,NA,"stn 213"
"2016-07-15","10:14:00","P018","164",NA,1,1,1,0.63,15,6437.23,6436.68,4640.04,4639.54,5,13,16,0,2.5,15,15,6,5,1,NA,13.6,NA,NA,"stn 164"
"2016-07-15","11:27:00","P018","150",NA,1,1,1,0.66,15,6442.84,6442.56,4644.23,4644.86,5,14,16,0,2.5,14,15,6,5,1,NA,11.6,NA,NA,"stn 150"
"2016-07-15","13:21:00","P018","130",NA,1,1,1,0.64,15,6448.67,6448.47,4647.96,4647.34,5,15,16,0,2.5,11,12,6,4,1,NA,9.5,NA,NA,"stn 13/"
"2016-07-15","15:11:00","P018","108",421,1,1,1,0.65,15,6443.08,6443.02,4651.59,4650.94,5,16,16,0,2.5,19,20,6,5,1,NA,7.7,NA,NA,"stn 108"
"2016-07-15","16:29:00","P018","120",421,1,1,1,0.63,15,6443.32,6443.22,4650,4649.37,5,17,16,0,2.5,21,20,6,5,1,NA,7.9,NA,NA,"stn 120"
"2016-07-15","17:18:00","P018","119",NA,1,1,1,0.62,15,6445.79,6445.69,4650.24,4650.86,5,18,16,0,2.5,16,17,6,5,1,NA,7.9,NA,NA,"stn 119"
"2016-07-16","06:55:00","P018","92",NA,1,1,1,0.66,15,6448.68,6448.42,4654.35,4654.99,5,19,16,0,2.5,10,10,7,1,1,NA,9.1,NA,NA,"stn 092"
"2016-07-16","09:31:00","P018","81",NA,1,1,1,0.63,15,6443.14,6443.04,4655.73,4655.1,5,20,16,0,2.5,17,16,1,2,1,NA,8.2,NA,NA,"stn 81"
"2016-07-16","10:49:00","P018","80",NA,1,1,1,0.64,15,6445.69,6445.41,4655.73,4655.12,5,21,16,0,2.5,14,16,1,2,1,NA,8.6,NA,NA,"stn 80"
"2016-07-16","13:12:00","P018","55",420,1,1,1,0.65,15,6434.32,6434.29,4700.17,4700.82,5,22,16,0,2.5,26,26,1,3,1,NA,6.8,NA,NA,"stn 022"
"2016-07-16","14:18:00","P018","72",420,2,1,1,0.64,15,6428.93,6429.19,4658.12,4658.73,5,23,16,0,2.5,32,31,1,3,1,NA,5,NA,NA,"stn 72"
"2016-07-16","15:10:00","P018","58",420,2,1,1,0.63,15,6426.28,6426.42,4700.07,4700.69,5,24,16,0,2.5,36,36,2,3,1,NA,3.2,NA,NA,"stn 058"
"2016-07-16","16:36:00","P018","102",421,2,1,1,0.65,15,6420.34,6420.5,4654.21,4654.85,5,25,16,0,2.5,24,24,2,4,1,NA,6.6,NA,NA,"stn 1/2"
"2016-07-17","06:27:00","P018","91",421,2,1,1,0.66,15,6416,6416.85,4655.7,4655.4,5,26,16,0,2.5,21,22,0,0,3,NA,5.9,NA,NA,"stn 091"
"2016-07-17","07:48:00","P018","140",NA,2,1,1,0.64,15,6420.24,6420.15,4648.46,4649.1,5,27,16,0,2.5,14,16,3,2,1,NA,7.7,NA,NA,"stn 140"
"2016-07-17","09:13:00","P018","124",421,2,1,1,0.65,15,6431.98,6432.06,4650.29,4650.94,5,28,16,0,2.5,26,27,3,2,1,NA,6.4,NA,NA,"stn 124"
"2016-07-17","09:54:00","P018","112",421,2,1,1,0.63,15,6431.81,6431.81,4651.69,4651.06,5,29,16,0,2.5,28,27,3,2,1,NA,6.3,NA,NA,"stn112"
"2016-07-17","11:00:00","P018","146",421,2,1,1,0.62,15,6431.69,6431.67,4646.19,4645.57,5,30,16,0,2.5,22,23,5,2,1,NA,6.6,NA,NA,"stn 146"
"2016-07-17","12:27:00","P018","144",421,1,1,1,0.64,15,6437.52,6437.67,4645.98,4645.35,5,31,16,0,2.5,19,18,5,3,1,NA,8.5,NA,NA,"stn 144"
"2016-07-17","13:13:00","P018","145",421,1,1,1,0.63,15,6434.52,6434.37,4645.74,4645.12,5,32,16,0,2.5,19,19,5,3,1,NA,7.6,NA,NA,"stn 145"
"2016-07-18","08:04:00","P018","234",402,3,1,1,0.64,15,6423,6423.18,4626.19,4626.82,5,33,16,0,2.5,17,16,6,4,1,NA,15.8,NA,NA,"stn234"
