"date","set.number","species","cruise","valid","experiment","number.caught","weight.caught","number.basket","extra","weight.sampled","comment"
"2004-07-26",1,43,"O434",1,1,56,3.69,0,"",NA,""
"2004-07-26",1,60,"O434",1,1,250,15.2,0,"",NA,""
"2004-07-26",1,62,"O434",1,1,2,0.24,0,"",NA,""
"2004-07-26",1,63,"O434",1,1,1,0.17,0,"",NA,""
"2004-07-26",1,143,"O434",1,1,1,0.02,0,"",NA,""
"2004-07-26",1,204,"O434",1,1,1,0.5,0,"",NA,""
"2004-07-26",1,2539,"O434",1,1,12,1.45,0,"",NA,""
"2004-07-26",1,2550,"O434",1,1,12,4.43,0,"",NA,""
"2004-07-26",2,43,"O434",1,1,26,1.49,0,"",NA,""
"2004-07-26",2,60,"O434",1,1,50,1.2,0,"",NA,""
"2004-07-26",2,62,"O434",1,1,1,0.11,0,"",NA,""
"2004-07-26",2,63,"O434",1,1,1,0.04,0,"",NA,""
"2004-07-26",2,143,"O434",1,1,2,0.18,0,"",NA,""
"2004-07-26",2,204,"O434",1,1,1,1.22,0,"",NA,""
"2004-07-26",2,2550,"O434",1,1,14,6.78,0,"",NA,""
"2004-07-26",3,43,"O434",1,1,18,1.46,0,"",NA,""
"2004-07-26",3,143,"O434",1,1,4,1.5,0,"",NA,""
"2004-07-26",3,2513,"O434",1,1,2,0.11,0,"",NA,""
"2004-07-26",3,2539,"O434",1,1,2,0.12,0,"",NA,""
"2004-07-26",3,2550,"O434",1,1,3,1.56,0,"",NA,""
"2004-07-26",3,4511,"O434",1,1,1,0.13,0,"",NA,""
"2004-07-26",4,43,"O434",1,1,31,2.37,0,"",NA,""
"2004-07-26",4,143,"O434",1,1,1,0.16,0,"",NA,""
"2004-07-26",4,2539,"O434",1,1,2,0.25,0,"",NA,""
"2004-07-26",4,2550,"O434",1,1,1,0.29,0,"",NA,""
"2004-07-26",5,43,"O434",1,1,83,5.9,0,"",NA,""
"2004-07-26",5,2513,"O434",1,1,1,0.05,0,"",NA,""
"2004-07-26",5,2550,"O434",1,1,2,0.5,0,"",NA,""
"2004-07-27",6,12,"O434",1,1,1,0.14,0,"",NA,""
"2004-07-27",6,30,"O434",1,1,1,0.19,0,"",NA,""
"2004-07-27",6,42,"O434",1,1,2,0.32,0,"",NA,""
"2004-07-27",6,43,"O434",1,1,100,8.14,0,"",NA,""
"2004-07-27",6,60,"O434",1,1,10000,1292,0,"",NA,""
"2004-07-27",6,63,"O434",1,1,62,0.71,0,"",NA,""
"2004-07-27",6,122,"O434",1,1,22,1,0,"",NA,""
"2004-07-27",6,204,"O434",1,1,5,2.72,0,"",NA,""
"2004-07-27",6,300,"O434",1,1,1,0.12,0,"",NA,""
"2004-07-27",6,2513,"O434",1,1,1,0.21,0,"",NA,""
"2004-07-27",6,2550,"O434",1,1,19,6.55,0,"",NA,""
"2004-07-27",7,10,"O434",1,1,1554,106,0,"",NA,""
"2004-07-27",7,12,"O434",1,1,1,0.5,0,"",NA,""
"2004-07-27",7,43,"O434",1,1,139,11.5,0,"",NA,""
"2004-07-27",7,62,"O434",1,1,4,0.58,0,"",NA,""
"2004-07-27",7,63,"O434",1,1,1,0.1,0,"",NA,""
"2004-07-27",7,122,"O434",1,1,91,6.59,0,"",NA,""
"2004-07-27",7,300,"O434",1,1,6,0.73,0,"",NA,""
"2004-07-27",7,320,"O434",1,1,1,0.44,0,"",NA,""
"2004-07-27",7,2513,"O434",1,1,1,0.24,0,"",NA,""
"2004-07-27",7,2550,"O434",1,1,10,2.8,0,"",NA,""
"2004-07-27",8,10,"O434",1,1,131,9.04,0,"",NA,""
"2004-07-27",8,43,"O434",1,1,198,12.9,0,"",NA,""
"2004-07-27",8,63,"O434",1,1,6,0.27,0,"",NA,""
"2004-07-27",8,122,"O434",1,1,49,4.24,0,"",NA,""
"2004-07-27",8,300,"O434",1,1,6,1.13,0,"",NA,""
"2004-07-27",8,320,"O434",1,1,1,0.4,0,"",NA,""
"2004-07-27",9,10,"O434",1,1,12,1.2,0,"",NA,""
"2004-07-27",9,42,"O434",1,1,14,0.89,0,"",NA,""
"2004-07-27",9,43,"O434",1,1,88,7.93,0,"",NA,""
"2004-07-27",9,60,"O434",1,1,2,0.24,0,"",NA,""
"2004-07-27",9,63,"O434",1,1,1,0.08,0,"",NA,""
"2004-07-27",9,122,"O434",1,1,1,0.03,0,"",NA,""
"2004-07-27",9,300,"O434",1,1,9,1.26,0,"",NA,""
"2004-07-27",9,301,"O434",1,1,3,2.22,0,"",NA,""
"2004-07-27",9,2513,"O434",1,1,1,0.15,0,"",NA,""
"2004-07-27",9,2550,"O434",1,1,2,1.51,0,"",NA,""
"2004-07-27",10,10,"O434",1,1,42,4.07,0,"",NA,""
"2004-07-27",10,42,"O434",1,1,19,1.34,0,"",NA,""
"2004-07-27",10,43,"O434",1,1,117,13.5,0,"",NA,""
"2004-07-27",10,300,"O434",1,1,17,2.51,0,"",NA,""
"2004-07-27",10,301,"O434",1,1,3,2.03,0,"",NA,""
"2004-07-27",11,10,"O434",1,1,4,0.53,0,"",NA,""
"2004-07-27",11,42,"O434",1,1,38,2,0,"",NA,""
"2004-07-27",11,43,"O434",1,1,185,26.9,0,"",NA,""
"2004-07-27",11,60,"O434",1,1,12,1.26,0,"",NA,""
"2004-07-27",11,300,"O434",1,1,11,1.58,0,"",NA,""
"2004-07-27",11,301,"O434",1,1,1,0.15,0,"",NA,""
"2004-07-27",11,320,"O434",1,1,1,0.24,0,"",NA,""
"2004-07-27",12,10,"O434",1,1,6,2.26,0,"",NA,""
"2004-07-27",12,12,"O434",1,1,1,0.82,0,"",NA,""
"2004-07-27",12,40,"O434",1,1,12,2.09,0,"",NA,""
"2004-07-27",12,42,"O434",1,1,39,4.3,0,"",NA,""
"2004-07-27",12,43,"O434",1,1,22,5.7,0,"",NA,""
"2004-07-27",12,60,"O434",1,1,10,0.19,0,"",NA,""
"2004-07-27",12,300,"O434",1,1,2,1.85,0,"",NA,""
"2004-07-27",13,10,"O434",1,1,15,1.19,0,"",NA,""
"2004-07-27",13,40,"O434",1,1,5,0.31,0,"",NA,""
"2004-07-27",13,42,"O434",1,1,35,2.05,0,"",NA,""
"2004-07-27",13,43,"O434",1,1,103,13.5,0,"",NA,""
"2004-07-27",13,63,"O434",1,1,1,0.04,0,"",NA,""
"2004-07-27",13,300,"O434",1,1,4,0.66,0,"",NA,""
"2004-07-27",13,301,"O434",1,1,1,0.46,0,"",NA,""
"2004-07-27",14,10,"O434",1,1,4,0.23,0,"",NA,""
"2004-07-27",14,42,"O434",1,1,1,0.24,0,"",NA,""
"2004-07-27",14,43,"O434",1,1,19,1.52,0,"",NA,""
"2004-07-27",14,63,"O434",1,1,3,0.17,0,"",NA,""
"2004-07-27",14,122,"O434",1,1,5,0.48,0,"",NA,""
"2004-07-27",14,301,"O434",1,1,1,1.16,0,"",NA,""
"2004-07-27",14,2550,"O434",1,1,3,0.84,0,"",NA,""
"2004-07-27",15,10,"O434",1,1,3,0.02,0,"",NA,""
"2004-07-27",15,42,"O434",1,1,21,0.8,0,"",NA,""
"2004-07-27",15,43,"O434",1,1,56,3.75,0,"",NA,""
"2004-07-27",15,2513,"O434",1,1,1,0.17,0,"",NA,""
"2004-07-27",15,2550,"O434",1,1,4,1.27,0,"",NA,""
"2004-07-27",15,4511,"O434",1,1,1,0.07,0,"",NA,""
"2004-07-28",16,10,"O434",1,1,2,0.18,0,"",NA,""
"2004-07-28",16,30,"O434",1,1,1,0.65,0,"",NA,""
"2004-07-28",16,42,"O434",1,1,29,1.86,0,"",NA,""
"2004-07-28",16,43,"O434",1,1,28,3.72,0,"",NA,""
"2004-07-28",16,300,"O434",1,1,2,0.34,0,"",NA,""
"2004-07-28",17,42,"O434",1,1,11,0.22,0,"",NA,""
"2004-07-28",17,43,"O434",1,1,8,1.43,0,"",NA,""
"2004-07-28",17,300,"O434",1,1,2,0.17,0,"",NA,""
"2004-07-28",18,40,"O434",1,1,1,0.01,0,"",NA,""
"2004-07-28",18,42,"O434",1,1,22,0.72,0,"",NA,""
