year,month,day,tow.id,sex,body.part,gonad.colour,shell.condition,crab.number ,colour.L,colour.a,colour.b,comment
2020,7,16,GP325F,1,chela,,1,1,58.78,-2.58,-4.35,
2020,7,16,GP325F,1,chela,,1,2,60.57,-3.21,-0.9,
2020,7,16,GP325F,1,chela,,2,16,65.63,-4.29,1.37,
2020,7,16,GP325F,1,chela,,2,32,55.06,-2.23,5.22,
2020,7,16,GP325F,1,chela,,3,51,46.98,-1,4.87,
2020,7,16,GP325F,1,chela,,3,86,58.64,-2.18,11.08,
2020,7,16,GP325F,1,chela,,3M,123,55.26,-0.69,14.16,
2020,7,16,GP335F,1,chela,,3M,2,57.67,-2.78,10.86,
2020,7,16,GP335F,1,chela,,1,4,65.09,3.11,-0.91,
2020,7,16,GP335F,1,chela,,1,9,54.61,-1.81,-2.79,
2020,7,16,GP335F,1,chela,,3,13,56.32,-2.27,7.83,
2020,7,16,GP344F,1,chela,,1,1,51.77,0.13,-1.51,
2020,7,16,GP344F,1,chela,,1,3,59.43,-0.68,-2.2,
2020,7,16,GP344F,1,chela,,3,4,64.57,-2.66,4.19,
2020,7,16,GP344F,1,chela,,3,7,58.29,-1.59,6.71,
2020,7,16,GP344F,1,chela,,3M,11,60.04,-0.21,11.53,
2020,7,16,GP341F,1,chela,,1,1,61.83,-2.01,-0.39,
2020,7,16,GP341F,1,chela,,1,2,56.498,-2.38,-4.03,
2020,7,16,GP341F,1,chela,,2,14,51.97,-0.22,3.3,
2020,7,16,GP341F,1,chela,,2,18,53.88,-2.04,4.16,
2020,7,16,GP341F,1,chela,,3,19,56.25,-2.08,4.74,
2020,7,16,GP341F,1,chela,,3,24,50.14,-0.83,5.71,
2020,7,16,GP331F,1,chela,,4,2,59.41,-1.93,-0.69,
2020,7,16,GP331F,1,chela,,3M,3,60.08,-2.79,8.52,
2020,7,16,GP331F,1,chela,,3,10,64.24,-2.87,3.34,
2020,7,16,GP331F,1,chela,,1,11,64.9,-2.66,0.19,
2020,7,16,GP331F,1,chela,,1,12,57.54,-2.06,-1.72,
2020,7,16,GP331F,1,chela,,3,21,56.19,-2.63,2.77,
2020,7,16,GP326F,1,chela,,1,1,62.01,-2.97,0.88,
2020,7,16,GP326F,1,chela,,1,10,55.53,-1.78,-3.59,
2020,7,16,GP326F,1,chela,,2,29,55.93,-1.98,5.24,
